# Team 0: JumpStreet, Team 1: super-quantum-frogtron-500M-params
hand_number,street,active_team,team_0_bankroll,team_1_bankroll,action_type,action_amount,action_keep_1,action_keep_2,team_0_cards,team_1_cards,board_cards,team_0_discarded,team_1_discarded,team_0_bet,team_1_bet
0,Pre-Flop,0,0,0,RAISE,8,0,0,"['3s', '2d', '7d', '9s', '5d']","['8d', '6s', '9d', '3d', '8s']",[],[],[],1,1
0,Pre-Flop,1,0,0,CALL,0,0,0,"['3s', '2d', '7d', '9s', '5d']","['8d', '6s', '9d', '3d', '8s']",[],[],[],2,2
0,Flop,1,0,0,DISCARD,0,2,3,"['3s', '2d', '7d', '9s', '5d']","['8d', '6s', '9d', '3d', '8s']","['Ah', '9h', '5h']",[],[],10,10
0,Flop,0,0,0,DISCARD,0,3,4,"['3s', '2d', '7d', '9s', '5d']","['9d', '3d']","['Ah', '9h', '5h']",[],"['8d', '6s', '8s']",10,10
0,Flop,1,0,0,CHECK,0,0,0,"['9s', '5d']","['9d', '3d']","['Ah', '9h', '5h']","['3s', '2d', '7d']","['8d', '6s', '8s']",10,10
0,Flop,0,0,0,CHECK,0,0,0,"['9s', '5d']","['9d', '3d']","['Ah', '9h', '5h']","['3s', '2d', '7d']","['8d', '6s', '8s']",10,10
0,Turn,1,0,0,CHECK,0,0,0,"['9s', '5d']","['9d', '3d']","['Ah', '9h', '5h', '2s']","['3s', '2d', '7d']","['8d', '6s', '8s']",10,10
0,Turn,0,0,0,CHECK,0,0,0,"['9s', '5d']","['9d', '3d']","['Ah', '9h', '5h', '2s']","['3s', '2d', '7d']","['8d', '6s', '8s']",10,10
0,River,1,0,0,CHECK,0,0,0,"['9s', '5d']","['9d', '3d']","['Ah', '9h', '5h', '2s', '4h']","['3s', '2d', '7d']","['8d', '6s', '8s']",10,10
0,River,0,0,0,CHECK,0,0,0,"['9s', '5d']","['9d', '3d']","['Ah', '9h', '5h', '2s', '4h']","['3s', '2d', '7d']","['8d', '6s', '8s']",10,10
1,Pre-Flop,1,-10,10,RAISE,6,0,0,"['As', '8s', '9s', '8d', '6h']","['2d', '8h', '5h', '9d', '7d']",[],[],[],1,1
1,Pre-Flop,0,-10,10,RAISE,11,0,0,"['As', '8s', '9s', '8d', '6h']","['2d', '8h', '5h', '9d', '7d']",[],[],[],2,2
1,Pre-Flop,1,-10,10,RAISE,45,0,0,"['As', '8s', '9s', '8d', '6h']","['2d', '8h', '5h', '9d', '7d']",[],[],[],8,8
1,Pre-Flop,0,-10,10,RAISE,36,0,0,"['As', '8s', '9s', '8d', '6h']","['2d', '8h', '5h', '9d', '7d']",[],[],[],19,19
1,Pre-Flop,1,-10,10,CALL,0,0,0,"['As', '8s', '9s', '8d', '6h']","['2d', '8h', '5h', '9d', '7d']",[],[],[],64,64
1,Flop,0,-10,10,DISCARD,0,0,2,"['As', '8s', '9s', '8d', '6h']","['2d', '8h', '5h', '9d', '7d']","['4s', 'Ad', '5s']",[],[],100,100
