# Team 0: never fold 67, Team 1: JumpStreet
hand_number,street,active_team,team_0_bankroll,team_1_bankroll,action_type,action_amount,action_keep_1,action_keep_2,team_0_cards,team_1_cards,board_cards,team_0_discarded,team_1_discarded,team_0_bet,team_1_bet
0,Pre-Flop,0,0,0,CALL,1,0,1,"['3d', '8h', '2d', 'As', '4h']","['3s', '8d', '3h', '9s', '6h']",[],[],[],1,1
0,Pre-Flop,1,0,0,RAISE,8,0,0,"['3d', '8h', '2d', 'As', '4h']","['3s', '8d', '3h', '9s', '6h']",[],[],[],2,2
0,Pre-Flop,0,0,0,FOLD,1,0,1,"['3d', '8h', '2d', 'As', '4h']","['3s', '8d', '3h', '9s', '6h']",[],[],[],2,2
1,Pre-Flop,1,-2,2,RAISE,12,0,0,"['5h', '6s', '7s', '2h', 'As']","['Ad', '3h', '2s', '8d', '9d']",[],[],[],1,1
1,Pre-Flop,0,-2,2,CALL,1,0,1,"['5h', '6s', '7s', '2h', 'As']","['Ad', '3h', '2s', '8d', '9d']",[],[],[],2,2
1,Flop,0,-2,2,DISCARD,1,0,3,"['5h', '6s', '7s', '2h', 'As']","['Ad', '3h', '2s', '8d', '9d']","['7h', '4h', '9h']",[],[],14,14
1,Flop,1,-2,2,DISCARD,0,1,4,"['5h', '2h']","['Ad', '3h', '2s', '8d', '9d']","['7h', '4h', '9h']","['6s', '7s', 'As']",[],14,14
1,Flop,0,-2,2,RAISE,21,0,1,"['5h', '2h']","['3h', '9d']","['7h', '4h', '9h']","['6s', '7s', 'As']","['Ad', '2s', '8d']",14,14
1,Flop,1,-2,2,FOLD,0,0,0,"['5h', '2h']","['3h', '9d']","['7h', '4h', '9h']","['6s', '7s', 'As']","['Ad', '2s', '8d']",14,14
2,Pre-Flop,0,12,-12,RAISE,4,0,1,"['6s', '8s', '2d', 'Ad', '8h']","['8d', '6d', 'Ah', '4h', '3h']",[],[],[],1,1
2,Pre-Flop,1,12,-12,RAISE,11,0,0,"['6s', '8s', '2d', 'Ad', '8h']","['8d', '6d', 'Ah', '4h', '3h']",[],[],[],2,2
2,Pre-Flop,0,12,-12,RAISE,25,0,1,"['6s', '8s', '2d', 'Ad', '8h']","['8d', '6d', 'Ah', '4h', '3h']",[],[],[],6,6
