# Team 0: Mind the raise, Team 1: JumpStreet
hand_number,street,active_team,team_0_bankroll,team_1_bankroll,action_type,action_amount,action_keep_1,action_keep_2,team_0_cards,team_1_cards,board_cards,team_0_discarded,team_1_discarded,team_0_bet,team_1_bet
0,Pre-Flop,0,0,0,RAISE,6,0,0,"['5h', 'Ad', '8s', 'As', '2d']","['2h', '6d', '7h', '9d', '7d']",[],[],[],1,1
0,Pre-Flop,1,0,0,RAISE,14,0,0,"['5h', 'Ad', '8s', 'As', '2d']","['2h', '6d', '7h', '9d', '7d']",[],[],[],2,2
0,Pre-Flop,0,0,0,CALL,0,0,0,"['5h', 'Ad', '8s', 'As', '2d']","['2h', '6d', '7h', '9d', '7d']",[],[],[],8,8
0,Flop,1,0,0,DISCARD,0,0,1,"['5h', 'Ad', '8s', 'As', '2d']","['2h', '6d', '7h', '9d', '7d']","['6h', '2s', '3h']",[],[],22,22
0,Flop,0,0,0,DISCARD,0,1,3,"['5h', 'Ad', '8s', 'As', '2d']","['2h', '6d']","['6h', '2s', '3h']",[],"['7h', '9d', '7d']",22,22
0,Flop,1,0,0,RAISE,18,0,0,"['Ad', 'As']","['2h', '6d']","['6h', '2s', '3h']","['5h', '8s', '2d']","['7h', '9d', '7d']",22,22
0,Flop,0,0,0,CALL,0,0,0,"['Ad', 'As']","['2h', '6d']","['6h', '2s', '3h']","['5h', '8s', '2d']","['7h', '9d', '7d']",22,22
0,Turn,1,0,0,RAISE,47,0,0,"['Ad', 'As']","['2h', '6d']","['6h', '2s', '3h', '8h']","['5h', '8s', '2d']","['7h', '9d', '7d']",40,40
0,Turn,0,0,0,FOLD,0,0,0,"['Ad', 'As']","['2h', '6d']","['6h', '2s', '3h', '8h']","['5h', '8s', '2d']","['7h', '9d', '7d']",40,40
1,Pre-Flop,1,-40,40,RAISE,2,0,0,"['Ah', '7h', '5d', '6h', '8h']","['8d', '7s', '2h', '9h', '8s']",[],[],[],1,1
1,Pre-Flop,0,-40,40,CALL,0,0,0,"['Ah', '7h', '5d', '6h', '8h']","['8d', '7s', '2h', '9h', '8s']",[],[],[],2,2
1,Flop,0,-40,40,DISCARD,0,1,2,"['Ah', '7h', '5d', '6h', '8h']","['8d', '7s', '2h', '9h', '8s']","['3h', '6d', '9d']",[],[],4,4
1,Flop,1,-40,40,DISCARD,0,0,1,"['7h', '5d']","['8d', '7s', '2h', '9h', '8s']","['3h', '6d', '9d']","['Ah', '6h', '8h']",[],4,4
1,Flop,0,-40,40,CHECK,0,0,0,"['7h', '5d']","['8d', '7s']","['3h', '6d', '9d']","['Ah', '6h', '8h']","['2h', '9h', '8s']",4,4
1,Flop,1,-40,40,RAISE,4,0,0,"['7h', '5d']","['8d', '7s']","['3h', '6d', '9d']","['Ah', '6h', '8h']","['2h', '9h', '8s']",4,4
1,Flop,0,-40,40,FOLD,0,0,0,"['7h', '5d']","['8d', '7s']","['3h', '6d', '9d']","['Ah', '6h', '8h']","['2h', '9h', '8s']",4,4
2,Pre-Flop,0,-44,44,RAISE,4,0,0,"['As', '9h', '2s', '7d', '4s']","['4h', '3s', '3d', '6d', '3h']",[],[],[],1,1
2,Pre-Flop,1,-44,44,FOLD,0,0,0,"['As', '9h', '2s', '7d', '4s']","['4h', '3s', '3d', '6d', '3h']",[],[],[],2,2
