# Team 0: super-quantum-frogtron-500M-params, Team 1: JumpStreet
hand_number,street,active_team,team_0_bankroll,team_1_bankroll,action_type,action_amount,action_keep_1,action_keep_2,team_0_cards,team_1_cards,board_cards,team_0_discarded,team_1_discarded,team_0_bet,team_1_bet
0,Pre-Flop,0,0,0,CALL,0,0,0,"['As', '6h', '3s', '6s', '6d']","['5h', '9s', '8s', '5s', '9d']",[],[],[],1,1
0,Pre-Flop,1,0,0,RAISE,10,0,0,"['As', '6h', '3s', '6s', '6d']","['5h', '9s', '8s', '5s', '9d']",[],[],[],2,2
0,Pre-Flop,0,0,0,FOLD,0,0,0,"['As', '6h', '3s', '6s', '6d']","['5h', '9s', '8s', '5s', '9d']",[],[],[],2,2
1,Pre-Flop,1,-2,2,RAISE,2,0,0,"['7h', 'Ah', '8s', '2h', '3h']","['4d', '6h', '3d', '7d', '9d']",[],[],[],1,1
1,Pre-Flop,0,-2,2,CALL,0,0,0,"['7h', 'Ah', '8s', '2h', '3h']","['4d', '6h', '3d', '7d', '9d']",[],[],[],2,2
1,Flop,0,-2,2,DISCARD,0,3,4,"['7h', 'Ah', '8s', '2h', '3h']","['4d', '6h', '3d', '7d', '9d']","['2d', '6d', '2s']",[],[],4,4
1,Flop,1,-2,2,DISCARD,0,1,4,"['2h', '3h']","['4d', '6h', '3d', '7d', '9d']","['2d', '6d', '2s']","['7h', 'Ah', '8s']",[],4,4
1,Flop,0,-2,2,RAISE,5,0,0,"['2h', '3h']","['6h', '9d']","['2d', '6d', '2s']","['7h', 'Ah', '8s']","['4d', '3d', '7d']",4,4
1,Flop,1,-2,2,CALL,0,0,0,"['2h', '3h']","['6h', '9d']","['2d', '6d', '2s']","['7h', 'Ah', '8s']","['4d', '3d', '7d']",4,4
1,Turn,0,-2,2,RAISE,14,0,0,"['2h', '3h']","['6h', '9d']","['2d', '6d', '2s', 'Ad']","['7h', 'Ah', '8s']","['4d', '3d', '7d']",9,9
