# Team 0: Ctrl+Alt+Defeat, Team 1: AA998
hand_number,street,active_team,team_0_bankroll,team_1_bankroll,action_type,action_amount,action_keep_1,action_keep_2,team_0_cards,team_1_cards,board_cards,team_0_discarded,team_1_discarded,team_0_bet,team_1_bet
0,Pre-Flop,0,0,0,RAISE,8,0,0,"['3h', '6h', '2s', '9d', '5h']","['6s', '4s', '8s', '7s', '3s']",[],[],[],1,1
0,Pre-Flop,1,0,0,FOLD,0,0,0,"['3h', '6h', '2s', '9d', '5h']","['6s', '4s', '8s', '7s', '3s']",[],[],[],2,2
1,Pre-Flop,1,2,-2,RAISE,6,0,0,"['5s', '4h', '7h', '3h', '9h']","['9s', '3s', 'Ah', '8d', '5d']",[],[],[],1,1
1,Pre-Flop,0,2,-2,RAISE,15,0,0,"['5s', '4h', '7h', '3h', '9h']","['9s', '3s', 'Ah', '8d', '5d']",[],[],[],2,2
1,Pre-Flop,1,2,-2,CALL,0,0,0,"['5s', '4h', '7h', '3h', '9h']","['9s', '3s', 'Ah', '8d', '5d']",[],[],[],8,8
1,Flop,0,2,-2,DISCARD,0,3,4,"['5s', '4h', '7h', '3h', '9h']","['9s', '3s', 'Ah', '8d', '5d']","['9d', '3d', '8s']",[],[],23,23
1,Flop,1,2,-2,DISCARD,0,0,3,"['3h', '9h']","['9s', '3s', 'Ah', '8d', '5d']","['9d', '3d', '8s']","['5s', '4h', '7h']",[],23,23
1,Flop,0,2,-2,RAISE,20,0,0,"['3h', '9h']","['9s', '8d']","['9d', '3d', '8s']","['5s', '4h', '7h']","['3s', 'Ah', '5d']",23,23
1,Flop,1,2,-2,CALL,0,0,0,"['3h', '9h']","['9s', '8d']","['9d', '3d', '8s']","['5s', '4h', '7h']","['3s', 'Ah', '5d']",23,23
1,Turn,0,2,-2,RAISE,25,0,0,"['3h', '9h']","['9s', '8d']","['9d', '3d', '8s', '6h']","['5s', '4h', '7h']","['3s', 'Ah', '5d']",43,43
1,Turn,1,2,-2,FOLD,0,0,0,"['3h', '9h']","['9s', '8d']","['9d', '3d', '8s', '6h']","['5s', '4h', '7h']","['3s', 'Ah', '5d']",43,43
2,Pre-Flop,0,45,-45,RAISE,2,0,0,"['As', '8s', '4d', '7d', '5s']","['5h', '9d', '3d', '8h', '4h']",[],[],[],1,1
2,Pre-Flop,1,45,-45,FOLD,0,0,0,"['As', '8s', '4d', '7d', '5s']","['5h', '9d', '3d', '8h', '4h']",[],[],[],2,2
3,Pre-Flop,1,47,-47,RAISE,2,0,0,"['6s', '6h', '8d', '2s', '3s']","['Ad', '4s', '7d', '9h', 'Ah']",[],[],[],1,1
3,Pre-Flop,0,47,-47,RAISE,9,0,0,"['6s', '6h', '8d', '2s', '3s']","['Ad', '4s', '7d', '9h', 'Ah']",[],[],[],2,2
3,Pre-Flop,1,47,-47,RAISE,13,0,0,"['6s', '6h', '8d', '2s', '3s']","['Ad', '4s', '7d', '9h', 'Ah']",[],[],[],4,4
3,Pre-Flop,0,47,-47,CALL,0,0,0,"['6s', '6h', '8d', '2s', '3s']","['Ad', '4s', '7d', '9h', 'Ah']",[],[],[],13,13
3,Flop,0,47,-47,DISCARD,0,0,2,"['6s', '6h', '8d', '2s', '3s']","['Ad', '4s', '7d', '9h', 'Ah']","['5d', '7s', 'As']",[],[],26,26
3,Flop,1,47,-47,DISCARD,0,0,4,"['6s', '8d']","['Ad', '4s', '7d', '9h', 'Ah']","['5d', '7s', 'As']","['6h', '2s', '3s']",[],26,26
3,Flop,0,47,-47,CHECK,0,0,0,"['6s', '8d']","['Ad', 'Ah']","['5d', '7s', 'As']","['6h', '2s', '3s']","['4s', '7d', '9h']",26,26
3,Flop,1,47,-47,RAISE,26,0,0,"['6s', '8d']","['Ad', 'Ah']","['5d', '7s', 'As']","['6h', '2s', '3s']","['4s', '7d', '9h']",26,26
3,Flop,0,47,-47,CALL,0,0,0,"['6s', '8d']","['Ad', 'Ah']","['5d', '7s', 'As']","['6h', '2s', '3s']","['4s', '7d', '9h']",26,26
3,Turn,0,47,-47,CHECK,0,0,0,"['6s', '8d']","['Ad', 'Ah']","['5d', '7s', 'As', '2h']","['6h', '2s', '3s']","['4s', '7d', '9h']",52,52
3,Turn,1,47,-47,RAISE,48,0,0,"['6s', '8d']","['Ad', 'Ah']","['5d', '7s', 'As', '2h']","['6h', '2s', '3s']","['4s', '7d', '9h']",52,52
3,Turn,0,47,-47,CALL,0,0,0,"['6s', '8d']","['Ad', 'Ah']","['5d', '7s', 'As', '2h']","['6h', '2s', '3s']","['4s', '7d', '9h']",52,52
3,River,0,47,-47,CHECK,0,0,0,"['6s', '8d']","['Ad', 'Ah']","['5d', '7s', 'As', '2h', '3d']","['6h', '2s', '3s']","['4s', '7d', '9h']",100,100
3,River,1,47,-47,CHECK,0,0,0,"['6s', '8d']","['Ad', 'Ah']","['5d', '7s', 'As', '2h', '3d']","['6h', '2s', '3s']","['4s', '7d', '9h']",100,100
4,Pre-Flop,0,-53,53,RAISE,2,0,0,"['5d', '8s', '3h', '8d', '6s']","['Ad', '4s', '4d', '9s', '7s']",[],[],[],1,1
4,Pre-Flop,1,-53,53,CALL,0,0,0,"['5d', '8s', '3h', '8d', '6s']","['Ad', '4s', '4d', '9s', '7s']",[],[],[],2,2
4,Flop,1,-53,53,DISCARD,0,2,0,"['5d', '8s', '3h', '8d', '6s']","['Ad', '4s', '4d', '9s', '7s']","['3d', '8h', '2s']",[],[],4,4
4,Flop,0,-53,53,DISCARD,0,1,3,"['5d', '8s', '3h', '8d', '6s']","['4d', 'Ad']","['3d', '8h', '2s']",[],"['4s', '9s', '7s']",4,4
4,Flop,1,-53,53,CHECK,0,0,0,"['8s', '8d']","['4d', 'Ad']","['3d', '8h', '2s']","['5d', '3h', '6s']","['4s', '9s', '7s']",4,4
4,Flop,0,-53,53,RAISE,3,0,0,"['8s', '8d']","['4d', 'Ad']","['3d', '8h', '2s']","['5d', '3h', '6s']","['4s', '9s', '7s']",4,4
4,Flop,1,-53,53,CALL,0,0,0,"['8s', '8d']","['4d', 'Ad']","['3d', '8h', '2s']","['5d', '3h', '6s']","['4s', '9s', '7s']",4,4
4,Turn,1,-53,53,CHECK,0,0,0,"['8s', '8d']","['4d', 'Ad']","['3d', '8h', '2s', 'As']","['5d', '3h', '6s']","['4s', '9s', '7s']",7,7
4,Turn,0,-53,53,RAISE,10,0,0,"['8s', '8d']","['4d', 'Ad']","['3d', '8h', '2s', 'As']","['5d', '3h', '6s']","['4s', '9s', '7s']",7,7
4,Turn,1,-53,53,FOLD,0,0,0,"['8s', '8d']","['4d', 'Ad']","['3d', '8h', '2s', 'As']","['5d', '3h', '6s']","['4s', '9s', '7s']",7,7
5,Pre-Flop,1,-46,46,RAISE,6,0,0,"['6d', '8h', '2s', '2h', '8d']","['6s', '5d', '6h', 'As', '7s']",[],[],[],1,1
5,Pre-Flop,0,-46,46,RAISE,14,0,0,"['6d', '8h', '2s', '2h', '8d']","['6s', '5d', '6h', 'As', '7s']",[],[],[],2,2
5,Pre-Flop,1,-46,46,CALL,0,0,0,"['6d', '8h', '2s', '2h', '8d']","['6s', '5d', '6h', 'As', '7s']",[],[],[],8,8
5,Flop,0,-46,46,DISCARD,0,1,4,"['6d', '8h', '2s', '2h', '8d']","['6s', '5d', '6h', 'As', '7s']","['3h', '8s', '7h']",[],[],22,22
5,Flop,1,-46,46,DISCARD,0,1,2,"['8h', '8d']","['6s', '5d', '6h', 'As', '7s']","['3h', '8s', '7h']","['6d', '2s', '2h']",[],22,22
5,Flop,0,-46,46,RAISE,30,0,0,"['8h', '8d']","['5d', '6h']","['3h', '8s', '7h']","['6d', '2s', '2h']","['6s', 'As', '7s']",22,22
5,Flop,1,-46,46,FOLD,0,0,0,"['8h', '8d']","['5d', '6h']","['3h', '8s', '7h']","['6d', '2s', '2h']","['6s', 'As', '7s']",22,22
6,Pre-Flop,0,-24,24,RAISE,9,0,0,"['3s', '8h', '3h', '3d', '4h']","['8d', '2h', '5h', '4s', '7d']",[],[],[],1,1
6,Pre-Flop,1,-24,24,CALL,0,0,0,"['3s', '8h', '3h', '3d', '4h']","['8d', '2h', '5h', '4s', '7d']",[],[],[],2,2
6,Flop,1,-24,24,DISCARD,0,4,0,"['3s', '8h', '3h', '3d', '4h']","['8d', '2h', '5h', '4s', '7d']","['5s', '9d', '6h']",[],[],11,11
6,Flop,0,-24,24,DISCARD,0,2,4,"['3s', '8h', '3h', '3d', '4h']","['7d', '8d']","['5s', '9d', '6h']",[],"['2h', '5h', '4s']",11,11
6,Flop,1,-24,24,CHECK,0,0,0,"['3h', '4h']","['7d', '8d']","['5s', '9d', '6h']","['3s', '8h', '3d']","['2h', '5h', '4s']",11,11
6,Flop,0,-24,24,RAISE,14,0,0,"['3h', '4h']","['7d', '8d']","['5s', '9d', '6h']","['3s', '8h', '3d']","['2h', '5h', '4s']",11,11
6,Flop,1,-24,24,CALL,0,0,0,"['3h', '4h']","['7d', '8d']","['5s', '9d', '6h']","['3s', '8h', '3d']","['2h', '5h', '4s']",11,11
6,Turn,1,-24,24,RAISE,25,0,0,"['3h', '4h']","['7d', '8d']","['5s', '9d', '6h', '2d']","['3s', '8h', '3d']","['2h', '5h', '4s']",25,25
6,Turn,0,-24,24,RAISE,49,0,0,"['3h', '4h']","['7d', '8d']","['5s', '9d', '6h', '2d']","['3s', '8h', '3d']","['2h', '5h', '4s']",25,25
6,Turn,1,-24,24,CALL,0,0,0,"['3h', '4h']","['7d', '8d']","['5s', '9d', '6h', '2d']","['3s', '8h', '3d']","['2h', '5h', '4s']",50,50
6,River,1,-24,24,RAISE,1,0,0,"['3h', '4h']","['7d', '8d']","['5s', '9d', '6h', '2d', '9h']","['3s', '8h', '3d']","['2h', '5h', '4s']",99,99
