# Team 0: Ctrl+Alt+Defeat, Team 1: frank
hand_number,street,active_team,team_0_bankroll,team_1_bankroll,action_type,action_amount,action_keep_1,action_keep_2,team_0_cards,team_1_cards,board_cards,team_0_discarded,team_1_discarded,team_0_bet,team_1_bet
0,Pre-Flop,0,0,0,RAISE,8,0,0,"['3d', '6d', 'Ah', '5h', '2d']","['2s', 'Ad', '9s', 'As', '9d']",[],[],[],1,1
0,Pre-Flop,1,0,0,FOLD,0,0,0,"['3d', '6d', 'Ah', '5h', '2d']","['2s', 'Ad', '9s', 'As', '9d']",[],[],[],2,2
1,Pre-Flop,1,2,-2,CALL,0,0,0,"['3d', '8s', '8d', '9h', '8h']","['6s', '6h', '9d', '7h', '9s']",[],[],[],1,1
1,Pre-Flop,0,2,-2,RAISE,10,0,0,"['3d', '8s', '8d', '9h', '8h']","['6s', '6h', '9d', '7h', '9s']",[],[],[],2,2
1,Pre-Flop,1,2,-2,CALL,0,0,0,"['3d', '8s', '8d', '9h', '8h']","['6s', '6h', '9d', '7h', '9s']",[],[],[],2,2
1,Flop,0,2,-2,DISCARD,0,1,2,"['3d', '8s', '8d', '9h', '8h']","['6s', '6h', '9d', '7h', '9s']","['As', '5d', '5h']",[],[],12,12
1,Flop,1,2,-2,DISCARD,0,2,4,"['8s', '8d']","['6s', '6h', '9d', '7h', '9s']","['As', '5d', '5h']","['3d', '9h', '8h']",[],12,12
1,Flop,0,2,-2,CHECK,0,0,0,"['8s', '8d']","['9d', '9s']","['As', '5d', '5h']","['3d', '9h', '8h']","['6s', '6h', '7h']",12,12
1,Flop,1,2,-2,CHECK,0,0,0,"['8s', '8d']","['9d', '9s']","['As', '5d', '5h']","['3d', '9h', '8h']","['6s', '6h', '7h']",12,12
1,Turn,0,2,-2,CHECK,0,0,0,"['8s', '8d']","['9d', '9s']","['As', '5d', '5h', '4d']","['3d', '9h', '8h']","['6s', '6h', '7h']",12,12
1,Turn,1,2,-2,CHECK,0,0,0,"['8s', '8d']","['9d', '9s']","['As', '5d', '5h', '4d']","['3d', '9h', '8h']","['6s', '6h', '7h']",12,12
1,River,0,2,-2,CHECK,0,0,0,"['8s', '8d']","['9d', '9s']","['As', '5d', '5h', '4d', 'Ad']","['3d', '9h', '8h']","['6s', '6h', '7h']",12,12
1,River,1,2,-2,CHECK,0,0,0,"['8s', '8d']","['9d', '9s']","['As', '5d', '5h', '4d', 'Ad']","['3d', '9h', '8h']","['6s', '6h', '7h']",12,12
2,Pre-Flop,0,-10,10,RAISE,2,0,0,"['2h', '3d', '7h', 'As', '8s']","['9s', '7s', 'Ah', '5d', '5h']",[],[],[],1,1
2,Pre-Flop,1,-10,10,CALL,0,0,0,"['2h', '3d', '7h', 'As', '8s']","['9s', '7s', 'Ah', '5d', '5h']",[],[],[],2,2
2,Flop,1,-10,10,DISCARD,0,3,4,"['2h', '3d', '7h', 'As', '8s']","['9s', '7s', 'Ah', '5d', '5h']","['5s', '3h', '2d']",[],[],4,4
2,Flop,0,-10,10,DISCARD,0,0,1,"['2h', '3d', '7h', 'As', '8s']","['5d', '5h']","['5s', '3h', '2d']",[],"['9s', '7s', 'Ah']",4,4
2,Flop,1,-10,10,RAISE,96,0,0,"['2h', '3d']","['5d', '5h']","['5s', '3h', '2d']","['7h', 'As', '8s']","['9s', '7s', 'Ah']",4,4
2,Flop,0,-10,10,FOLD,0,0,0,"['2h', '3d']","['5d', '5h']","['5s', '3h', '2d']","['7h', 'As', '8s']","['9s', '7s', 'Ah']",4,4
3,Pre-Flop,1,-14,14,CALL,0,0,0,"['5d', '2d', 'Ah', '9d', '4s']","['4d', '9s', '6d', '2s', '3d']",[],[],[],1,1
3,Pre-Flop,0,-14,14,RAISE,11,0,0,"['5d', '2d', 'Ah', '9d', '4s']","['4d', '9s', '6d', '2s', '3d']",[],[],[],2,2
3,Pre-Flop,1,-14,14,FOLD,0,0,0,"['5d', '2d', 'Ah', '9d', '4s']","['4d', '9s', '6d', '2s', '3d']",[],[],[],2,2
4,Pre-Flop,0,-12,12,RAISE,2,0,0,"['9h', '4h', 'As', '5d', '2d']","['2s', '8h', '3d', '8d', '2h']",[],[],[],1,1
4,Pre-Flop,1,-12,12,CALL,0,0,0,"['9h', '4h', 'As', '5d', '2d']","['2s', '8h', '3d', '8d', '2h']",[],[],[],2,2
4,Flop,1,-12,12,DISCARD,0,1,3,"['9h', '4h', 'As', '5d', '2d']","['2s', '8h', '3d', '8d', '2h']","['7h', 'Ad', '6d']",[],[],4,4
4,Flop,0,-12,12,DISCARD,0,0,2,"['9h', '4h', 'As', '5d', '2d']","['8h', '8d']","['7h', 'Ad', '6d']",[],"['2s', '3d', '2h']",4,4
4,Flop,1,-12,12,CHECK,0,0,0,"['9h', 'As']","['8h', '8d']","['7h', 'Ad', '6d']","['4h', '5d', '2d']","['2s', '3d', '2h']",4,4
4,Flop,0,-12,12,RAISE,5,0,0,"['9h', 'As']","['8h', '8d']","['7h', 'Ad', '6d']","['4h', '5d', '2d']","['2s', '3d', '2h']",4,4
4,Flop,1,-12,12,CALL,0,0,0,"['9h', 'As']","['8h', '8d']","['7h', 'Ad', '6d']","['4h', '5d', '2d']","['2s', '3d', '2h']",4,4
4,Turn,1,-12,12,CHECK,0,0,0,"['9h', 'As']","['8h', '8d']","['7h', 'Ad', '6d', '3s']","['4h', '5d', '2d']","['2s', '3d', '2h']",9,9
4,Turn,0,-12,12,RAISE,12,0,0,"['9h', 'As']","['8h', '8d']","['7h', 'Ad', '6d', '3s']","['4h', '5d', '2d']","['2s', '3d', '2h']",9,9
4,Turn,1,-12,12,CALL,0,0,0,"['9h', 'As']","['8h', '8d']","['7h', 'Ad', '6d', '3s']","['4h', '5d', '2d']","['2s', '3d', '2h']",9,9
4,River,1,-12,12,CHECK,0,0,0,"['9h', 'As']","['8h', '8d']","['7h', 'Ad', '6d', '3s', 'Ah']","['4h', '5d', '2d']","['2s', '3d', '2h']",21,21
4,River,0,-12,12,RAISE,79,0,0,"['9h', 'As']","['8h', '8d']","['7h', 'Ad', '6d', '3s', 'Ah']","['4h', '5d', '2d']","['2s', '3d', '2h']",21,21
4,River,1,-12,12,CALL,0,0,0,"['9h', 'As']","['8h', '8d']","['7h', 'Ad', '6d', '3s', 'Ah']","['4h', '5d', '2d']","['2s', '3d', '2h']",21,21
