# Team 0: Stat crux dum volvitur orbis, Team 1: Ctrl+Alt+Defeat
hand_number,street,active_team,team_0_bankroll,team_1_bankroll,action_type,action_amount,action_keep_1,action_keep_2,team_0_cards,team_1_cards,board_cards,team_0_discarded,team_1_discarded,team_0_bet,team_1_bet
0,Pre-Flop,0,0,0,CALL,0,0,0,"['8d', '6h', '9d', '3s', '8s']","['Ah', '6d', '4s', '9h', '7d']",[],[],[],1,1
0,Pre-Flop,1,0,0,RAISE,13,0,0,"['8d', '6h', '9d', '3s', '8s']","['Ah', '6d', '4s', '9h', '7d']",[],[],[],2,2
0,Pre-Flop,0,0,0,CALL,0,0,0,"['8d', '6h', '9d', '3s', '8s']","['Ah', '6d', '4s', '9h', '7d']",[],[],[],2,2
0,Flop,1,0,0,DISCARD,0,0,4,"['8d', '6h', '9d', '3s', '8s']","['Ah', '6d', '4s', '9h', '7d']","['As', 'Ad', '7s']",[],[],15,15
0,Flop,0,0,0,DISCARD,0,0,4,"['8d', '6h', '9d', '3s', '8s']","['Ah', '7d']","['As', 'Ad', '7s']",[],"['6d', '4s', '9h']",15,15
0,Flop,1,0,0,RAISE,16,0,0,"['8d', '8s']","['Ah', '7d']","['As', 'Ad', '7s']","['6h', '9d', '3s']","['6d', '4s', '9h']",15,15
0,Flop,0,0,0,CALL,0,0,0,"['8d', '8s']","['Ah', '7d']","['As', 'Ad', '7s']","['6h', '9d', '3s']","['6d', '4s', '9h']",15,15
0,Turn,1,0,0,RAISE,53,0,0,"['8d', '8s']","['Ah', '7d']","['As', 'Ad', '7s', '2h']","['6h', '9d', '3s']","['6d', '4s', '9h']",31,31
0,Turn,0,0,0,FOLD,0,0,0,"['8d', '8s']","['Ah', '7d']","['As', 'Ad', '7s', '2h']","['6h', '9d', '3s']","['6d', '4s', '9h']",31,31
1,Pre-Flop,1,-31,31,RAISE,12,0,0,"['4s', 'Ad', '2d', '6h', '4h']","['5s', '7d', '5d', '8s', '8d']",[],[],[],1,1
1,Pre-Flop,0,-31,31,CALL,0,0,0,"['4s', 'Ad', '2d', '6h', '4h']","['5s', '7d', '5d', '8s', '8d']",[],[],[],2,2
1,Flop,0,-31,31,DISCARD,0,1,2,"['4s', 'Ad', '2d', '6h', '4h']","['5s', '7d', '5d', '8s', '8d']","['8h', '2s', 'Ah']",[],[],14,14
1,Flop,1,-31,31,DISCARD,0,3,4,"['Ad', '2d']","['5s', '7d', '5d', '8s', '8d']","['8h', '2s', 'Ah']","['4s', '6h', '4h']",[],14,14
1,Flop,0,-31,31,RAISE,35,0,0,"['Ad', '2d']","['8s', '8d']","['8h', '2s', 'Ah']","['4s', '6h', '4h']","['5s', '7d', '5d']",14,14
1,Flop,1,-31,31,RAISE,36,0,0,"['Ad', '2d']","['8s', '8d']","['8h', '2s', 'Ah']","['4s', '6h', '4h']","['5s', '7d', '5d']",14,14
1,Flop,0,-31,31,CALL,0,0,0,"['Ad', '2d']","['8s', '8d']","['8h', '2s', 'Ah']","['4s', '6h', '4h']","['5s', '7d', '5d']",49,49
1,Turn,0,-31,31,RAISE,7,0,0,"['Ad', '2d']","['8s', '8d']","['8h', '2s', 'Ah', '6d']","['4s', '6h', '4h']","['5s', '7d', '5d']",85,85
1,Turn,1,-31,31,RAISE,7,0,0,"['Ad', '2d']","['8s', '8d']","['8h', '2s', 'Ah', '6d']","['4s', '6h', '4h']","['5s', '7d', '5d']",85,85
1,Turn,0,-31,31,CALL,0,0,0,"['Ad', '2d']","['8s', '8d']","['8h', '2s', 'Ah', '6d']","['4s', '6h', '4h']","['5s', '7d', '5d']",92,92
1,River,0,-31,31,CHECK,0,0,0,"['Ad', '2d']","['8s', '8d']","['8h', '2s', 'Ah', '6d', '9d']","['4s', '6h', '4h']","['5s', '7d', '5d']",99,99
1,River,1,-31,31,RAISE,1,0,0,"['Ad', '2d']","['8s', '8d']","['8h', '2s', 'Ah', '6d', '9d']","['4s', '6h', '4h']","['5s', '7d', '5d']",99,99
1,River,0,-31,31,CALL,0,0,0,"['Ad', '2d']","['8s', '8d']","['8h', '2s', 'Ah', '6d', '9d']","['4s', '6h', '4h']","['5s', '7d', '5d']",99,99
2,Pre-Flop,0,-131,131,CALL,0,0,0,"['8h', 'As', '2s', '6s', '6d']","['4s', '9h', '5s', '3h', 'Ad']",[],[],[],1,1
2,Pre-Flop,1,-131,131,RAISE,13,0,0,"['8h', 'As', '2s', '6s', '6d']","['4s', '9h', '5s', '3h', 'Ad']",[],[],[],2,2
2,Pre-Flop,0,-131,131,CALL,0,0,0,"['8h', 'As', '2s', '6s', '6d']","['4s', '9h', '5s', '3h', 'Ad']",[],[],[],2,2
2,Flop,1,-131,131,DISCARD,0,1,3,"['8h', 'As', '2s', '6s', '6d']","['4s', '9h', '5s', '3h', 'Ad']","['6h', 'Ah', '9d']",[],[],15,15
2,Flop,0,-131,131,DISCARD,0,3,4,"['8h', 'As', '2s', '6s', '6d']","['9h', '3h']","['6h', 'Ah', '9d']",[],"['4s', '5s', 'Ad']",15,15
2,Flop,1,-131,131,RAISE,20,0,0,"['6s', '6d']","['9h', '3h']","['6h', 'Ah', '9d']","['8h', 'As', '2s']","['4s', '5s', 'Ad']",15,15
2,Flop,0,-131,131,CALL,0,0,0,"['6s', '6d']","['9h', '3h']","['6h', 'Ah', '9d']","['8h', 'As', '2s']","['4s', '5s', 'Ad']",15,15
2,Turn,1,-131,131,RAISE,60,0,0,"['6s', '6d']","['9h', '3h']","['6h', 'Ah', '9d', '9s']","['8h', 'As', '2s']","['4s', '5s', 'Ad']",35,35
2,Turn,0,-131,131,RAISE,5,0,0,"['6s', '6d']","['9h', '3h']","['6h', 'Ah', '9d', '9s']","['8h', 'As', '2s']","['4s', '5s', 'Ad']",35,35
2,Turn,1,-131,131,CALL,0,0,0,"['6s', '6d']","['9h', '3h']","['6h', 'Ah', '9d', '9s']","['8h', 'As', '2s']","['4s', '5s', 'Ad']",95,95
2,River,1,-131,131,CHECK,0,0,0,"['6s', '6d']","['9h', '3h']","['6h', 'Ah', '9d', '9s', '3d']","['8h', 'As', '2s']","['4s', '5s', 'Ad']",100,100
2,River,0,-131,131,CHECK,0,0,0,"['6s', '6d']","['9h', '3h']","['6h', 'Ah', '9d', '9s', '3d']","['8h', 'As', '2s']","['4s', '5s', 'Ad']",100,100
3,Pre-Flop,1,-231,231,CALL,0,0,0,"['5d', '4s', '3d', '7h', '5h']","['3h', '2s', '8h', '2d', '9d']",[],[],[],1,1
3,Pre-Flop,0,-231,231,CHECK,0,0,0,"['5d', '4s', '3d', '7h', '5h']","['3h', '2s', '8h', '2d', '9d']",[],[],[],2,2
3,Flop,0,-231,231,DISCARD,0,2,3,"['5d', '4s', '3d', '7h', '5h']","['3h', '2s', '8h', '2d', '9d']","['Ad', '3s', 'Ah']",[],[],2,2
3,Flop,1,-231,231,DISCARD,0,2,4,"['3d', '7h']","['3h', '2s', '8h', '2d', '9d']","['Ad', '3s', 'Ah']","['5d', '4s', '5h']",[],2,2
3,Flop,0,-231,231,CHECK,0,0,0,"['3d', '7h']","['8h', '9d']","['Ad', '3s', 'Ah']","['5d', '4s', '5h']","['3h', '2s', '2d']",2,2
3,Flop,1,-231,231,CHECK,0,0,0,"['3d', '7h']","['8h', '9d']","['Ad', '3s', 'Ah']","['5d', '4s', '5h']","['3h', '2s', '2d']",2,2
3,Turn,0,-231,231,CHECK,0,0,0,"['3d', '7h']","['8h', '9d']","['Ad', '3s', 'Ah', '6d']","['5d', '4s', '5h']","['3h', '2s', '2d']",2,2
3,Turn,1,-231,231,CHECK,0,0,0,"['3d', '7h']","['8h', '9d']","['Ad', '3s', 'Ah', '6d']","['5d', '4s', '5h']","['3h', '2s', '2d']",2,2
3,River,0,-231,231,CHECK,0,0,0,"['3d', '7h']","['8h', '9d']","['Ad', '3s', 'Ah', '6d', '8s']","['5d', '4s', '5h']","['3h', '2s', '2d']",2,2
3,River,1,-231,231,CHECK,0,0,0,"['3d', '7h']","['8h', '9d']","['Ad', '3s', 'Ah', '6d', '8s']","['5d', '4s', '5h']","['3h', '2s', '2d']",2,2
4,Pre-Flop,0,-233,233,FOLD,0,0,0,"['3h', 'Ah', '3d', '8h', '4d']","['7d', '5h', '7h', '8d', '9h']",[],[],[],1,1
5,Pre-Flop,1,-234,234,RAISE,10,0,0,"['4d', '5d', '3s', 'As', '5h']","['4h', '2d', '6s', '9h', '7s']",[],[],[],1,1
5,Pre-Flop,0,-234,234,FOLD,0,0,0,"['4d', '5d', '3s', 'As', '5h']","['4h', '2d', '6s', '9h', '7s']",[],[],[],2,2
6,Pre-Flop,0,-236,236,FOLD,0,0,0,"['5h', 'Ad', '4d', '6h', '3d']","['9h', '7s', '7d', '2h', '5d']",[],[],[],1,1
7,Pre-Flop,1,-237,237,RAISE,9,0,0,"['7h', '4s', '3d', '2d', '8h']","['4d', '6s', '5d', '2s', '8d']",[],[],[],1,1
7,Pre-Flop,0,-237,237,CALL,0,0,0,"['7h', '4s', '3d', '2d', '8h']","['4d', '6s', '5d', '2s', '8d']",[],[],[],2,2
7,Flop,0,-237,237,DISCARD,0,2,3,"['7h', '4s', '3d', '2d', '8h']","['4d', '6s', '5d', '2s', '8d']","['6d', '5h', 'Ad']",[],[],11,11
7,Flop,1,-237,237,DISCARD,0,2,4,"['3d', '2d']","['4d', '6s', '5d', '2s', '8d']","['6d', '5h', 'Ad']","['7h', '4s', '8h']",[],11,11
7,Flop,0,-237,237,CHECK,0,0,0,"['3d', '2d']","['5d', '8d']","['6d', '5h', 'Ad']","['7h', '4s', '8h']","['4d', '6s', '2s']",11,11
7,Flop,1,-237,237,RAISE,13,0,0,"['3d', '2d']","['5d', '8d']","['6d', '5h', 'Ad']","['7h', '4s', '8h']","['4d', '6s', '2s']",11,11
7,Flop,0,-237,237,FOLD,0,0,0,"['3d', '2d']","['5d', '8d']","['6d', '5h', 'Ad']","['7h', '4s', '8h']","['4d', '6s', '2s']",11,11
8,Pre-Flop,0,-248,248,CALL,0,0,0,"['3h', '2d', '2s', '5h', '8h']","['6s', '7h', 'As', '9h', '9d']",[],[],[],1,1
8,Pre-Flop,1,-248,248,RAISE,11,0,0,"['3h', '2d', '2s', '5h', '8h']","['6s', '7h', 'As', '9h', '9d']",[],[],[],2,2
8,Pre-Flop,0,-248,248,CALL,0,0,0,"['3h', '2d', '2s', '5h', '8h']","['6s', '7h', 'As', '9h', '9d']",[],[],[],2,2
8,Flop,1,-248,248,DISCARD,0,0,2,"['3h', '2d', '2s', '5h', '8h']","['6s', '7h', 'As', '9h', '9d']","['8s', '4s', '7d']",[],[],13,13
8,Flop,0,-248,248,DISCARD,0,2,4,"['3h', '2d', '2s', '5h', '8h']","['6s', 'As']","['8s', '4s', '7d']",[],"['7h', '9h', '9d']",13,13
8,Flop,1,-248,248,RAISE,15,0,0,"['2s', '8h']","['6s', 'As']","['8s', '4s', '7d']","['3h', '2d', '5h']","['7h', '9h', '9d']",13,13
8,Flop,0,-248,248,FOLD,0,0,0,"['2s', '8h']","['6s', 'As']","['8s', '4s', '7d']","['3h', '2d', '5h']","['7h', '9h', '9d']",13,13
9,Pre-Flop,1,-261,261,CALL,0,0,0,"['2h', '3h', '3d', '8d', '4s']","['2d', '5d', '7h', '2s', '9d']",[],[],[],1,1
9,Pre-Flop,0,-261,261,CHECK,0,0,0,"['2h', '3h', '3d', '8d', '4s']","['2d', '5d', '7h', '2s', '9d']",[],[],[],2,2
9,Flop,0,-261,261,DISCARD,0,3,4,"['2h', '3h', '3d', '8d', '4s']","['2d', '5d', '7h', '2s', '9d']","['8s', '6d', '5h']",[],[],2,2
9,Flop,1,-261,261,DISCARD,0,2,4,"['8d', '4s']","['2d', '5d', '7h', '2s', '9d']","['8s', '6d', '5h']","['2h', '3h', '3d']",[],2,2
9,Flop,0,-261,261,CHECK,0,0,0,"['8d', '4s']","['7h', '9d']","['8s', '6d', '5h']","['2h', '3h', '3d']","['2d', '5d', '2s']",2,2
9,Flop,1,-261,261,RAISE,2,0,0,"['8d', '4s']","['7h', '9d']","['8s', '6d', '5h']","['2h', '3h', '3d']","['2d', '5d', '2s']",2,2
9,Flop,0,-261,261,FOLD,0,0,0,"['8d', '4s']","['7h', '9d']","['8s', '6d', '5h']","['2h', '3h', '3d']","['2d', '5d', '2s']",2,2
10,Pre-Flop,0,-263,263,CALL,0,0,0,"['8s', '8h', 'As', 'Ah', '3s']","['3d', '9d', '6s', '6h', '9s']",[],[],[],1,1
10,Pre-Flop,1,-263,263,RAISE,11,0,0,"['8s', '8h', 'As', 'Ah', '3s']","['3d', '9d', '6s', '6h', '9s']",[],[],[],2,2
10,Pre-Flop,0,-263,263,CALL,0,0,0,"['8s', '8h', 'As', 'Ah', '3s']","['3d', '9d', '6s', '6h', '9s']",[],[],[],2,2
