# Team 0: Bot Lane, Team 1: Ctrl+Alt+Defeat
hand_number,street,active_team,team_0_bankroll,team_1_bankroll,action_type,action_amount,action_keep_1,action_keep_2,team_0_cards,team_1_cards,board_cards,team_0_discarded,team_1_discarded,team_0_bet,team_1_bet
0,Pre-Flop,0,0,0,CALL,0,0,0,"['8s', '6h', '3s', '9h', '3h']","['5d', '2s', '9s', '7d', 'As']",[],[],[],1,1
0,Pre-Flop,1,0,0,RAISE,11,0,0,"['8s', '6h', '3s', '9h', '3h']","['5d', '2s', '9s', '7d', 'As']",[],[],[],2,2
0,Pre-Flop,0,0,0,FOLD,0,0,0,"['8s', '6h', '3s', '9h', '3h']","['5d', '2s', '9s', '7d', 'As']",[],[],[],2,2
1,Pre-Flop,1,-2,2,RAISE,2,0,0,"['5h', '8h', '2s', '8d', '2d']","['4h', 'Ad', '5s', '3s', '8s']",[],[],[],1,1
1,Pre-Flop,0,-2,2,CALL,0,0,0,"['5h', '8h', '2s', '8d', '2d']","['4h', 'Ad', '5s', '3s', '8s']",[],[],[],2,2
1,Flop,0,-2,2,DISCARD,0,0,1,"['5h', '8h', '2s', '8d', '2d']","['4h', 'Ad', '5s', '3s', '8s']","['7d', '6d', '9h']",[],[],4,4
1,Flop,1,-2,2,DISCARD,0,1,4,"['5h', '8h']","['4h', 'Ad', '5s', '3s', '8s']","['7d', '6d', '9h']","['2s', '8d', '2d']",[],4,4
1,Flop,0,-2,2,CHECK,0,0,0,"['5h', '8h']","['Ad', '8s']","['7d', '6d', '9h']","['2s', '8d', '2d']","['4h', '5s', '3s']",4,4
1,Flop,1,-2,2,RAISE,3,0,0,"['5h', '8h']","['Ad', '8s']","['7d', '6d', '9h']","['2s', '8d', '2d']","['4h', '5s', '3s']",4,4
1,Flop,0,-2,2,CALL,0,0,0,"['5h', '8h']","['Ad', '8s']","['7d', '6d', '9h']","['2s', '8d', '2d']","['4h', '5s', '3s']",4,4
1,Turn,0,-2,2,RAISE,7,0,0,"['5h', '8h']","['Ad', '8s']","['7d', '6d', '9h', '7s']","['2s', '8d', '2d']","['4h', '5s', '3s']",7,7
1,Turn,1,-2,2,RAISE,13,0,0,"['5h', '8h']","['Ad', '8s']","['7d', '6d', '9h', '7s']","['2s', '8d', '2d']","['4h', '5s', '3s']",7,7
1,Turn,0,-2,2,CALL,0,0,0,"['5h', '8h']","['Ad', '8s']","['7d', '6d', '9h', '7s']","['2s', '8d', '2d']","['4h', '5s', '3s']",14,14
1,River,0,-2,2,CHECK,0,0,0,"['5h', '8h']","['Ad', '8s']","['7d', '6d', '9h', '7s', '5d']","['2s', '8d', '2d']","['4h', '5s', '3s']",27,27
1,River,1,-2,2,RAISE,44,0,0,"['5h', '8h']","['Ad', '8s']","['7d', '6d', '9h', '7s', '5d']","['2s', '8d', '2d']","['4h', '5s', '3s']",27,27
1,River,0,-2,2,CALL,0,0,0,"['5h', '8h']","['Ad', '8s']","['7d', '6d', '9h', '7s', '5d']","['2s', '8d', '2d']","['4h', '5s', '3s']",27,27
2,Pre-Flop,0,-73,73,CALL,0,0,0,"['3d', '4h', '7s', 'Ah', 'Ad']","['8h', '9d', '4d', '2d', '6d']",[],[],[],1,1
2,Pre-Flop,1,-73,73,RAISE,8,0,0,"['3d', '4h', '7s', 'Ah', 'Ad']","['8h', '9d', '4d', '2d', '6d']",[],[],[],2,2
2,Pre-Flop,0,-73,73,CALL,0,0,0,"['3d', '4h', '7s', 'Ah', 'Ad']","['8h', '9d', '4d', '2d', '6d']",[],[],[],2,2
2,Flop,1,-73,73,DISCARD,0,2,3,"['3d', '4h', '7s', 'Ah', 'Ad']","['8h', '9d', '4d', '2d', '6d']","['5s', '6s', '3h']",[],[],10,10
2,Flop,0,-73,73,DISCARD,0,1,2,"['3d', '4h', '7s', 'Ah', 'Ad']","['4d', '2d']","['5s', '6s', '3h']",[],"['8h', '9d', '6d']",10,10
2,Flop,1,-73,73,CHECK,0,0,0,"['4h', '7s']","['4d', '2d']","['5s', '6s', '3h']","['3d', 'Ah', 'Ad']","['8h', '9d', '6d']",10,10
2,Flop,0,-73,73,RAISE,15,0,0,"['4h', '7s']","['4d', '2d']","['5s', '6s', '3h']","['3d', 'Ah', 'Ad']","['8h', '9d', '6d']",10,10
2,Flop,1,-73,73,FOLD,0,0,0,"['4h', '7s']","['4d', '2d']","['5s', '6s', '3h']","['3d', 'Ah', 'Ad']","['8h', '9d', '6d']",10,10
