# Team 0: What's for Dinner, Team 1: Ctrl+Alt+Defeat
hand_number,street,active_team,team_0_bankroll,team_1_bankroll,action_type,action_amount,action_keep_1,action_keep_2,team_0_cards,team_1_cards,board_cards,team_0_discarded,team_1_discarded,team_0_bet,team_1_bet
0,Pre-Flop,0,0,0,CALL,0,0,0,"['9d', '2d', '7s', '2h', '6h']","['8s', '4d', '6s', 'As', '3d']",[],[],[],1,1
0,Pre-Flop,1,0,0,RAISE,11,0,0,"['9d', '2d', '7s', '2h', '6h']","['8s', '4d', '6s', 'As', '3d']",[],[],[],2,2
0,Pre-Flop,0,0,0,CALL,0,0,0,"['9d', '2d', '7s', '2h', '6h']","['8s', '4d', '6s', 'As', '3d']",[],[],[],2,2
0,Flop,1,0,0,DISCARD,0,3,4,"['9d', '2d', '7s', '2h', '6h']","['8s', '4d', '6s', 'As', '3d']","['Ah', '3h', '3s']",[],[],13,13
0,Flop,0,0,0,DISCARD,0,3,4,"['9d', '2d', '7s', '2h', '6h']","['As', '3d']","['Ah', '3h', '3s']",[],"['8s', '4d', '6s']",13,13
0,Flop,1,0,0,RAISE,13,0,0,"['2h', '6h']","['As', '3d']","['Ah', '3h', '3s']","['9d', '2d', '7s']","['8s', '4d', '6s']",13,13
0,Flop,0,0,0,FOLD,0,0,0,"['2h', '6h']","['As', '3d']","['Ah', '3h', '3s']","['9d', '2d', '7s']","['8s', '4d', '6s']",13,13
1,Pre-Flop,1,-13,13,RAISE,10,0,0,"['4s', '3s', '6h', '8d', '2s']","['5s', '6s', '9d', '7s', '8h']",[],[],[],1,1
1,Pre-Flop,0,-13,13,FOLD,0,0,0,"['4s', '3s', '6h', '8d', '2s']","['5s', '6s', '9d', '7s', '8h']",[],[],[],2,2
2,Pre-Flop,0,-15,15,RAISE,3,0,0,"['7s', '4h', '5d', '4s', '7d']","['4d', '8d', '9h', 'Ah', '6s']",[],[],[],1,1
2,Pre-Flop,1,-15,15,RAISE,7,0,0,"['7s', '4h', '5d', '4s', '7d']","['4d', '8d', '9h', 'Ah', '6s']",[],[],[],2,2
2,Pre-Flop,0,-15,15,CALL,0,0,0,"['7s', '4h', '5d', '4s', '7d']","['4d', '8d', '9h', 'Ah', '6s']",[],[],[],5,5
2,Flop,1,-15,15,DISCARD,0,2,3,"['7s', '4h', '5d', '4s', '7d']","['4d', '8d', '9h', 'Ah', '6s']","['2h', '7h', '3h']",[],[],12,12
2,Flop,0,-15,15,DISCARD,0,0,4,"['7s', '4h', '5d', '4s', '7d']","['9h', 'Ah']","['2h', '7h', '3h']",[],"['4d', '8d', '6s']",12,12
2,Flop,1,-15,15,RAISE,13,0,0,"['7s', '7d']","['9h', 'Ah']","['2h', '7h', '3h']","['4h', '5d', '4s']","['4d', '8d', '6s']",12,12
2,Flop,0,-15,15,CALL,0,0,0,"['7s', '7d']","['9h', 'Ah']","['2h', '7h', '3h']","['4h', '5d', '4s']","['4d', '8d', '6s']",12,12
2,Turn,1,-15,15,RAISE,32,0,0,"['7s', '7d']","['9h', 'Ah']","['2h', '7h', '3h', '5h']","['4h', '5d', '4s']","['4d', '8d', '6s']",25,25
2,Turn,0,-15,15,FOLD,0,0,0,"['7s', '7d']","['9h', 'Ah']","['2h', '7h', '3h', '5h']","['4h', '5d', '4s']","['4d', '8d', '6s']",25,25
3,Pre-Flop,1,-40,40,RAISE,11,0,0,"['2d', '3s', '7d', '3h', '2s']","['7s', 'Ah', '2h', 'Ad', '6d']",[],[],[],1,1
3,Pre-Flop,0,-40,40,FOLD,0,0,0,"['2d', '3s', '7d', '3h', '2s']","['7s', 'Ah', '2h', 'Ad', '6d']",[],[],[],2,2
4,Pre-Flop,0,-42,42,CALL,0,0,0,"['6h', '2h', '3h', '9h', '8s']","['2s', '9d', '5d', '9s', '4h']",[],[],[],1,1
4,Pre-Flop,1,-42,42,RAISE,10,0,0,"['6h', '2h', '3h', '9h', '8s']","['2s', '9d', '5d', '9s', '4h']",[],[],[],2,2
4,Pre-Flop,0,-42,42,FOLD,0,0,0,"['6h', '2h', '3h', '9h', '8s']","['2s', '9d', '5d', '9s', '4h']",[],[],[],2,2
5,Pre-Flop,1,-44,44,RAISE,13,0,0,"['6d', '6s', '5d', 'Ad', '2s']","['3s', '7h', '3h', '3d', '9h']",[],[],[],1,1
5,Pre-Flop,0,-44,44,FOLD,0,0,0,"['6d', '6s', '5d', 'Ad', '2s']","['3s', '7h', '3h', '3d', '9h']",[],[],[],2,2
6,Pre-Flop,0,-46,46,RAISE,3,0,0,"['7s', '2s', 'Ad', 'As', '5s']","['4h', '9h', '5d', '7h', '2h']",[],[],[],1,1
6,Pre-Flop,1,-46,46,RAISE,7,0,0,"['7s', '2s', 'Ad', 'As', '5s']","['4h', '9h', '5d', '7h', '2h']",[],[],[],2,2
6,Pre-Flop,0,-46,46,CALL,0,0,0,"['7s', '2s', 'Ad', 'As', '5s']","['4h', '9h', '5d', '7h', '2h']",[],[],[],5,5
6,Flop,1,-46,46,DISCARD,0,0,4,"['7s', '2s', 'Ad', 'As', '5s']","['4h', '9h', '5d', '7h', '2h']","['3h', '8h', '5h']",[],[],12,12
6,Flop,0,-46,46,DISCARD,0,2,3,"['7s', '2s', 'Ad', 'As', '5s']","['4h', '2h']","['3h', '8h', '5h']",[],"['9h', '5d', '7h']",12,12
6,Flop,1,-46,46,RAISE,13,0,0,"['Ad', 'As']","['4h', '2h']","['3h', '8h', '5h']","['7s', '2s', '5s']","['9h', '5d', '7h']",12,12
6,Flop,0,-46,46,FOLD,0,0,0,"['Ad', 'As']","['4h', '2h']","['3h', '8h', '5h']","['7s', '2s', '5s']","['9h', '5d', '7h']",12,12
