# Team 0: sheep army, Team 1: Ctrl+Alt+Defeat
hand_number,street,active_team,team_0_bankroll,team_1_bankroll,action_type,action_amount,action_keep_1,action_keep_2,team_0_cards,team_1_cards,board_cards,team_0_discarded,team_1_discarded,team_0_bet,team_1_bet
0,Pre-Flop,0,0,0,RAISE,7,0,0,"['Ah', 'Ad', 'As', '9d', '8h']","['6h', '2s', '9h', '9s', '6s']",[],[],[],1,1
0,Pre-Flop,1,0,0,RAISE,18,0,0,"['Ah', 'Ad', 'As', '9d', '8h']","['6h', '2s', '9h', '9s', '6s']",[],[],[],2,2
0,Pre-Flop,0,0,0,CALL,0,0,0,"['Ah', 'Ad', 'As', '9d', '8h']","['6h', '2s', '9h', '9s', '6s']",[],[],[],9,9
0,Flop,1,0,0,DISCARD,0,2,3,"['Ah', 'Ad', 'As', '9d', '8h']","['6h', '2s', '9h', '9s', '6s']","['7s', '5d', '5h']",[],[],27,27
0,Flop,0,0,0,DISCARD,0,0,1,"['Ah', 'Ad', 'As', '9d', '8h']","['9h', '9s']","['7s', '5d', '5h']",[],"['6h', '2s', '6s']",27,27
0,Flop,1,0,0,RAISE,37,0,0,"['Ah', 'Ad']","['9h', '9s']","['7s', '5d', '5h']","['As', '9d', '8h']","['6h', '2s', '6s']",27,27
0,Flop,0,0,0,CALL,0,0,0,"['Ah', 'Ad']","['9h', '9s']","['7s', '5d', '5h']","['As', '9d', '8h']","['6h', '2s', '6s']",27,27
0,Turn,1,0,0,RAISE,35,0,0,"['Ah', 'Ad']","['9h', '9s']","['7s', '5d', '5h', '6d']","['As', '9d', '8h']","['6h', '2s', '6s']",64,64
0,Turn,0,0,0,CALL,0,0,0,"['Ah', 'Ad']","['9h', '9s']","['7s', '5d', '5h', '6d']","['As', '9d', '8h']","['6h', '2s', '6s']",64,64
0,River,1,0,0,CHECK,0,0,0,"['Ah', 'Ad']","['9h', '9s']","['7s', '5d', '5h', '6d', '3s']","['As', '9d', '8h']","['6h', '2s', '6s']",99,99
0,River,0,0,0,RAISE,1,0,0,"['Ah', 'Ad']","['9h', '9s']","['7s', '5d', '5h', '6d', '3s']","['As', '9d', '8h']","['6h', '2s', '6s']",99,99
0,River,1,0,0,CALL,0,0,0,"['Ah', 'Ad']","['9h', '9s']","['7s', '5d', '5h', '6d', '3s']","['As', '9d', '8h']","['6h', '2s', '6s']",99,99
1,Pre-Flop,1,100,-100,RAISE,2,0,0,"['5s', '4h', '6d', '4s', '9s']","['7d', 'As', '7s', '9d', '2h']",[],[],[],1,1
1,Pre-Flop,0,100,-100,CALL,0,0,0,"['5s', '4h', '6d', '4s', '9s']","['7d', 'As', '7s', '9d', '2h']",[],[],[],2,2
1,Flop,0,100,-100,DISCARD,0,2,4,"['5s', '4h', '6d', '4s', '9s']","['7d', 'As', '7s', '9d', '2h']","['5d', '8d', 'Ad']",[],[],4,4
1,Flop,1,100,-100,DISCARD,0,0,3,"['6d', '9s']","['7d', 'As', '7s', '9d', '2h']","['5d', '8d', 'Ad']","['5s', '4h', '4s']",[],4,4
1,Flop,0,100,-100,CHECK,0,0,0,"['6d', '9s']","['7d', '9d']","['5d', '8d', 'Ad']","['5s', '4h', '4s']","['As', '7s', '2h']",4,4
1,Flop,1,100,-100,RAISE,4,0,0,"['6d', '9s']","['7d', '9d']","['5d', '8d', 'Ad']","['5s', '4h', '4s']","['As', '7s', '2h']",4,4
1,Flop,0,100,-100,FOLD,0,0,0,"['6d', '9s']","['7d', '9d']","['5d', '8d', 'Ad']","['5s', '4h', '4s']","['As', '7s', '2h']",4,4
2,Pre-Flop,0,96,-96,RAISE,7,0,0,"['6h', '9d', '9s', 'Ad', '7h']","['4s', '7s', '8h', '7d', '2s']",[],[],[],1,1
2,Pre-Flop,1,96,-96,FOLD,0,0,0,"['6h', '9d', '9s', 'Ad', '7h']","['4s', '7s', '8h', '7d', '2s']",[],[],[],2,2
3,Pre-Flop,1,98,-98,RAISE,8,0,0,"['5d', 'Ad', '6d', '8d', '5s']","['3d', '7h', '8s', '5h', '4s']",[],[],[],1,1
3,Pre-Flop,0,98,-98,CALL,0,0,0,"['5d', 'Ad', '6d', '8d', '5s']","['3d', '7h', '8s', '5h', '4s']",[],[],[],2,2
3,Flop,0,98,-98,DISCARD,0,1,2,"['5d', 'Ad', '6d', '8d', '5s']","['3d', '7h', '8s', '5h', '4s']","['9d', 'As', '2d']",[],[],10,10
