# Team 0: Ctrl+Alt+Defeat, Team 1: Alan Keating
hand_number,street,active_team,team_0_bankroll,team_1_bankroll,action_type,action_amount,action_keep_1,action_keep_2,team_0_cards,team_1_cards,board_cards,team_0_discarded,team_1_discarded,team_0_bet,team_1_bet
0,Pre-Flop,0,0,0,RAISE,11,0,0,"['6h', '7d', '6d', '7s', 'Ad']","['9d', '5h', 'Ah', '2d', '3d']",[],[],[],1,1
0,Pre-Flop,1,0,0,FOLD,-1,-1,-1,"['6h', '7d', '6d', '7s', 'Ad']","['9d', '5h', 'Ah', '2d', '3d']",[],[],[],2,2
1,Pre-Flop,1,2,-2,CALL,-1,-1,-1,"['6h', '8h', '7s', '3s', '2s']","['3h', '6s', '8d', '4h', '3d']",[],[],[],1,1
1,Pre-Flop,0,2,-2,CHECK,0,0,0,"['6h', '8h', '7s', '3s', '2s']","['3h', '6s', '8d', '4h', '3d']",[],[],[],2,2
1,Flop,0,2,-2,DISCARD,0,0,1,"['6h', '8h', '7s', '3s', '2s']","['3h', '6s', '8d', '4h', '3d']","['7h', '5h', '9h']",[],[],2,2
1,Flop,1,2,-2,DISCARD,0,3,0,"['6h', '8h']","['3h', '6s', '8d', '4h', '3d']","['7h', '5h', '9h']","['7s', '3s', '2s']",[],2,2
1,Flop,0,2,-2,RAISE,2,0,0,"['6h', '8h']","['4h', '3h']","['7h', '5h', '9h']","['7s', '3s', '2s']","['6s', '8d', '3d']",2,2
1,Flop,1,2,-2,CALL,-1,-1,-1,"['6h', '8h']","['4h', '3h']","['7h', '5h', '9h']","['7s', '3s', '2s']","['6s', '8d', '3d']",2,2
1,Turn,0,2,-2,RAISE,5,0,0,"['6h', '8h']","['4h', '3h']","['7h', '5h', '9h', '6d']","['7s', '3s', '2s']","['6s', '8d', '3d']",4,4
1,Turn,1,2,-2,CALL,-1,-1,-1,"['6h', '8h']","['4h', '3h']","['7h', '5h', '9h', '6d']","['7s', '3s', '2s']","['6s', '8d', '3d']",4,4
1,River,0,2,-2,RAISE,13,0,0,"['6h', '8h']","['4h', '3h']","['7h', '5h', '9h', '6d', '9d']","['7s', '3s', '2s']","['6s', '8d', '3d']",9,9
1,River,1,2,-2,RAISE,31,-1,-1,"['6h', '8h']","['4h', '3h']","['7h', '5h', '9h', '6d', '9d']","['7s', '3s', '2s']","['6s', '8d', '3d']",9,9
1,River,0,2,-2,RAISE,47,0,0,"['6h', '8h']","['4h', '3h']","['7h', '5h', '9h', '6d', '9d']","['7s', '3s', '2s']","['6s', '8d', '3d']",22,22
1,River,1,2,-2,CALL,-1,-1,-1,"['6h', '8h']","['4h', '3h']","['7h', '5h', '9h', '6d', '9d']","['7s', '3s', '2s']","['6s', '8d', '3d']",53,53
2,Pre-Flop,0,102,-102,CALL,0,0,0,"['As', '3s', '6s', '7d', '4d']","['Ah', '7s', '5h', '7h', '5s']",[],[],[],1,1
2,Pre-Flop,1,102,-102,CHECK,-1,-1,-1,"['As', '3s', '6s', '7d', '4d']","['Ah', '7s', '5h', '7h', '5s']",[],[],[],2,2
2,Flop,1,102,-102,DISCARD,0,2,4,"['As', '3s', '6s', '7d', '4d']","['Ah', '7s', '5h', '7h', '5s']","['8h', '5d', '9s']",[],[],2,2
2,Flop,0,102,-102,DISCARD,0,2,3,"['As', '3s', '6s', '7d', '4d']","['5h', '5s']","['8h', '5d', '9s']",[],"['Ah', '7s', '7h']",2,2
2,Flop,1,102,-102,RAISE,4,-1,-1,"['6s', '7d']","['5h', '5s']","['8h', '5d', '9s']","['As', '3s', '4d']","['Ah', '7s', '7h']",2,2
2,Flop,0,102,-102,RAISE,4,0,0,"['6s', '7d']","['5h', '5s']","['8h', '5d', '9s']","['As', '3s', '4d']","['Ah', '7s', '7h']",2,2
2,Flop,1,102,-102,CALL,-1,-1,-1,"['6s', '7d']","['5h', '5s']","['8h', '5d', '9s']","['As', '3s', '4d']","['Ah', '7s', '7h']",6,6
2,Turn,1,102,-102,RAISE,20,-1,-1,"['6s', '7d']","['5h', '5s']","['8h', '5d', '9s', '9h']","['As', '3s', '4d']","['Ah', '7s', '7h']",10,10
2,Turn,0,102,-102,CALL,0,0,0,"['6s', '7d']","['5h', '5s']","['8h', '5d', '9s', '9h']","['As', '3s', '4d']","['Ah', '7s', '7h']",10,10
2,River,1,102,-102,RAISE,70,-1,-1,"['6s', '7d']","['5h', '5s']","['8h', '5d', '9s', '9h', '4s']","['As', '3s', '4d']","['Ah', '7s', '7h']",30,30
2,River,0,102,-102,CALL,0,0,0,"['6s', '7d']","['5h', '5s']","['8h', '5d', '9s', '9h', '4s']","['As', '3s', '4d']","['Ah', '7s', '7h']",30,30
3,Pre-Flop,1,2,-2,CALL,-1,-1,-1,"['5d', '3s', '4h', 'As', '6h']","['3h', '4s', 'Ah', '5h', '7d']",[],[],[],1,1
3,Pre-Flop,0,2,-2,CHECK,0,0,0,"['5d', '3s', '4h', 'As', '6h']","['3h', '4s', 'Ah', '5h', '7d']",[],[],[],2,2
3,Flop,0,2,-2,DISCARD,0,3,4,"['5d', '3s', '4h', 'As', '6h']","['3h', '4s', 'Ah', '5h', '7d']","['9s', '9d', '8h']",[],[],2,2
3,Flop,1,2,-2,DISCARD,0,2,4,"['As', '6h']","['3h', '4s', 'Ah', '5h', '7d']","['9s', '9d', '8h']","['5d', '3s', '4h']",[],2,2
3,Flop,0,2,-2,RAISE,2,0,0,"['As', '6h']","['Ah', '7d']","['9s', '9d', '8h']","['5d', '3s', '4h']","['3h', '4s', '5h']",2,2
3,Flop,1,2,-2,FOLD,-1,-1,-1,"['As', '6h']","['Ah', '7d']","['9s', '9d', '8h']","['5d', '3s', '4h']","['3h', '4s', '5h']",2,2
4,Pre-Flop,0,4,-4,RAISE,11,0,0,"['7h', '4h', '3h', '5s', '8h']","['7d', '3s', '6h', '4s', '9s']",[],[],[],1,1
4,Pre-Flop,1,4,-4,FOLD,-1,-1,-1,"['7h', '4h', '3h', '5s', '8h']","['7d', '3s', '6h', '4s', '9s']",[],[],[],2,2
5,Pre-Flop,1,6,-6,CALL,-1,-1,-1,"['5h', '9h', '7s', '4s', '6h']","['7d', '8h', '3d', '5s', '7h']",[],[],[],1,1
5,Pre-Flop,0,6,-6,RAISE,9,0,0,"['5h', '9h', '7s', '4s', '6h']","['7d', '8h', '3d', '5s', '7h']",[],[],[],2,2
5,Pre-Flop,1,6,-6,CALL,-1,-1,-1,"['5h', '9h', '7s', '4s', '6h']","['7d', '8h', '3d', '5s', '7h']",[],[],[],2,2
5,Flop,0,6,-6,DISCARD,0,0,4,"['5h', '9h', '7s', '4s', '6h']","['7d', '8h', '3d', '5s', '7h']","['2d', '2h', '3h']",[],[],11,11
5,Flop,1,6,-6,DISCARD,0,1,4,"['5h', '6h']","['7d', '8h', '3d', '5s', '7h']","['2d', '2h', '3h']","['9h', '7s', '4s']",[],11,11
5,Flop,0,6,-6,RAISE,9,0,0,"['5h', '6h']","['8h', '7h']","['2d', '2h', '3h']","['9h', '7s', '4s']","['7d', '3d', '5s']",11,11
5,Flop,1,6,-6,CALL,-1,-1,-1,"['5h', '6h']","['8h', '7h']","['2d', '2h', '3h']","['9h', '7s', '4s']","['7d', '3d', '5s']",11,11
5,Turn,0,6,-6,CHECK,0,0,0,"['5h', '6h']","['8h', '7h']","['2d', '2h', '3h', '9s']","['9h', '7s', '4s']","['7d', '3d', '5s']",20,20
5,Turn,1,6,-6,RAISE,20,-1,-1,"['5h', '6h']","['8h', '7h']","['2d', '2h', '3h', '9s']","['9h', '7s', '4s']","['7d', '3d', '5s']",20,20
5,Turn,0,6,-6,CALL,0,0,0,"['5h', '6h']","['8h', '7h']","['2d', '2h', '3h', '9s']","['9h', '7s', '4s']","['7d', '3d', '5s']",20,20
5,River,0,6,-6,RAISE,29,0,0,"['5h', '6h']","['8h', '7h']","['2d', '2h', '3h', '9s', 'Ah']","['9h', '7s', '4s']","['7d', '3d', '5s']",40,40
5,River,1,6,-6,RAISE,31,-1,-1,"['5h', '6h']","['8h', '7h']","['2d', '2h', '3h', '9s', 'Ah']","['9h', '7s', '4s']","['7d', '3d', '5s']",40,40
