# Team 0: wushilandb00ba, Team 1: Ctrl+Alt+Defeat
hand_number,street,active_team,team_0_bankroll,team_1_bankroll,action_type,action_amount,action_keep_1,action_keep_2,team_0_cards,team_1_cards,board_cards,team_0_discarded,team_1_discarded,team_0_bet,team_1_bet
0,Pre-Flop,0,0,0,CALL,0,0,0,"['Ad', '9s', '8h', '7h', '3s']","['3h', '6d', '4h', '7s', '8d']",[],[],[],1,1
0,Pre-Flop,1,0,0,RAISE,9,0,0,"['Ad', '9s', '8h', '7h', '3s']","['3h', '6d', '4h', '7s', '8d']",[],[],[],2,2
0,Pre-Flop,0,0,0,CALL,0,0,0,"['Ad', '9s', '8h', '7h', '3s']","['3h', '6d', '4h', '7s', '8d']",[],[],[],2,2
0,Flop,1,0,0,DISCARD,0,0,2,"['Ad', '9s', '8h', '7h', '3s']","['3h', '6d', '4h', '7s', '8d']","['9h', '8s', '6h']",[],[],11,11
0,Flop,0,0,0,DISCARD,0,2,3,"['Ad', '9s', '8h', '7h', '3s']","['3h', '4h']","['9h', '8s', '6h']",[],"['6d', '7s', '8d']",11,11
0,Flop,1,0,0,RAISE,13,0,0,"['8h', '7h']","['3h', '4h']","['9h', '8s', '6h']","['Ad', '9s', '3s']","['6d', '7s', '8d']",11,11
0,Flop,0,0,0,CALL,0,0,0,"['8h', '7h']","['3h', '4h']","['9h', '8s', '6h']","['Ad', '9s', '3s']","['6d', '7s', '8d']",11,11
0,Turn,1,0,0,RAISE,29,0,0,"['8h', '7h']","['3h', '4h']","['9h', '8s', '6h', '5s']","['Ad', '9s', '3s']","['6d', '7s', '8d']",24,24
0,Turn,0,0,0,RAISE,47,0,0,"['8h', '7h']","['3h', '4h']","['9h', '8s', '6h', '5s']","['Ad', '9s', '3s']","['6d', '7s', '8d']",24,24
0,Turn,1,0,0,CALL,0,0,0,"['8h', '7h']","['3h', '4h']","['9h', '8s', '6h', '5s']","['Ad', '9s', '3s']","['6d', '7s', '8d']",53,53
0,River,1,0,0,CHECK,0,0,0,"['8h', '7h']","['3h', '4h']","['9h', '8s', '6h', '5s', '4d']","['Ad', '9s', '3s']","['6d', '7s', '8d']",100,100
0,River,0,0,0,CHECK,0,0,0,"['8h', '7h']","['3h', '4h']","['9h', '8s', '6h', '5s', '4d']","['Ad', '9s', '3s']","['6d', '7s', '8d']",100,100
1,Pre-Flop,1,100,-100,RAISE,2,0,0,"['8h', '9h', '4h', '6s', '5s']","['9d', 'As', '2d', '4s', '3h']",[],[],[],1,1
1,Pre-Flop,0,100,-100,CALL,0,0,0,"['8h', '9h', '4h', '6s', '5s']","['9d', 'As', '2d', '4s', '3h']",[],[],[],2,2
1,Flop,0,100,-100,DISCARD,0,0,1,"['8h', '9h', '4h', '6s', '5s']","['9d', 'As', '2d', '4s', '3h']","['5d', '6h', '9s']",[],[],4,4
1,Flop,1,100,-100,DISCARD,0,0,1,"['8h', '9h']","['9d', 'As', '2d', '4s', '3h']","['5d', '6h', '9s']","['4h', '6s', '5s']",[],4,4
1,Flop,0,100,-100,CHECK,0,0,0,"['8h', '9h']","['9d', 'As']","['5d', '6h', '9s']","['4h', '6s', '5s']","['2d', '4s', '3h']",4,4
1,Flop,1,100,-100,RAISE,2,0,0,"['8h', '9h']","['9d', 'As']","['5d', '6h', '9s']","['4h', '6s', '5s']","['2d', '4s', '3h']",4,4
1,Flop,0,100,-100,FOLD,0,0,0,"['8h', '9h']","['9d', 'As']","['5d', '6h', '9s']","['4h', '6s', '5s']","['2d', '4s', '3h']",4,4
2,Pre-Flop,0,96,-96,CALL,0,0,0,"['2h', '5h', '7s', '2s', '9s']","['Ad', '6d', '4h', '3s', '8s']",[],[],[],1,1
2,Pre-Flop,1,96,-96,RAISE,12,0,0,"['2h', '5h', '7s', '2s', '9s']","['Ad', '6d', '4h', '3s', '8s']",[],[],[],2,2
2,Pre-Flop,0,96,-96,FOLD,0,0,0,"['2h', '5h', '7s', '2s', '9s']","['Ad', '6d', '4h', '3s', '8s']",[],[],[],2,2
3,Pre-Flop,1,94,-94,RAISE,2,0,0,"['7d', '2h', '4s', '2d', '9d']","['8s', 'As', '5d', '6h', '4d']",[],[],[],1,1
3,Pre-Flop,0,94,-94,CALL,0,0,0,"['7d', '2h', '4s', '2d', '9d']","['8s', 'As', '5d', '6h', '4d']",[],[],[],2,2
3,Flop,0,94,-94,DISCARD,0,1,3,"['7d', '2h', '4s', '2d', '9d']","['8s', 'As', '5d', '6h', '4d']","['2s', '8h', '6s']",[],[],4,4
3,Flop,1,94,-94,DISCARD,0,0,1,"['2h', '2d']","['8s', 'As', '5d', '6h', '4d']","['2s', '8h', '6s']","['7d', '4s', '9d']",[],4,4
3,Flop,0,94,-94,CHECK,0,0,0,"['2h', '2d']","['8s', 'As']","['2s', '8h', '6s']","['7d', '4s', '9d']","['5d', '6h', '4d']",4,4
3,Flop,1,94,-94,RAISE,5,0,0,"['2h', '2d']","['8s', 'As']","['2s', '8h', '6s']","['7d', '4s', '9d']","['5d', '6h', '4d']",4,4
3,Flop,0,94,-94,CALL,0,0,0,"['2h', '2d']","['8s', 'As']","['2s', '8h', '6s']","['7d', '4s', '9d']","['5d', '6h', '4d']",4,4
3,Turn,0,94,-94,RAISE,10,0,0,"['2h', '2d']","['8s', 'As']","['2s', '8h', '6s', '6d']","['7d', '4s', '9d']","['5d', '6h', '4d']",9,9
3,Turn,1,94,-94,RAISE,20,0,0,"['2h', '2d']","['8s', 'As']","['2s', '8h', '6s', '6d']","['7d', '4s', '9d']","['5d', '6h', '4d']",9,9
3,Turn,0,94,-94,RAISE,34,0,0,"['2h', '2d']","['8s', 'As']","['2s', '8h', '6s', '6d']","['7d', '4s', '9d']","['5d', '6h', '4d']",19,19
3,Turn,1,94,-94,RAISE,27,0,0,"['2h', '2d']","['8s', 'As']","['2s', '8h', '6s', '6d']","['7d', '4s', '9d']","['5d', '6h', '4d']",39,39
3,Turn,0,94,-94,CALL,0,0,0,"['2h', '2d']","['8s', 'As']","['2s', '8h', '6s', '6d']","['7d', '4s', '9d']","['5d', '6h', '4d']",73,73
3,River,0,94,-94,CHECK,0,0,0,"['2h', '2d']","['8s', 'As']","['2s', '8h', '6s', '6d', '3d']","['7d', '4s', '9d']","['5d', '6h', '4d']",100,100
3,River,1,94,-94,CHECK,0,0,0,"['2h', '2d']","['8s', 'As']","['2s', '8h', '6s', '6d', '3d']","['7d', '4s', '9d']","['5d', '6h', '4d']",100,100
4,Pre-Flop,0,194,-194,CALL,0,0,0,"['9h', '6h', '2s', '5d', '8d']","['8s', '3d', '5h', '7s', 'Ad']",[],[],[],1,1
4,Pre-Flop,1,194,-194,RAISE,13,0,0,"['9h', '6h', '2s', '5d', '8d']","['8s', '3d', '5h', '7s', 'Ad']",[],[],[],2,2
4,Pre-Flop,0,194,-194,CALL,0,0,0,"['9h', '6h', '2s', '5d', '8d']","['8s', '3d', '5h', '7s', 'Ad']",[],[],[],2,2
4,Flop,1,194,-194,DISCARD,0,0,3,"['9h', '6h', '2s', '5d', '8d']","['8s', '3d', '5h', '7s', 'Ad']","['5s', '8h', 'As']",[],[],15,15
4,Flop,0,194,-194,DISCARD,0,0,4,"['9h', '6h', '2s', '5d', '8d']","['8s', '7s']","['5s', '8h', 'As']",[],"['3d', '5h', 'Ad']",15,15
4,Flop,1,194,-194,RAISE,19,0,0,"['9h', '8d']","['8s', '7s']","['5s', '8h', 'As']","['6h', '2s', '5d']","['3d', '5h', 'Ad']",15,15
4,Flop,0,194,-194,FOLD,0,0,0,"['9h', '8d']","['8s', '7s']","['5s', '8h', 'As']","['6h', '2s', '5d']","['3d', '5h', 'Ad']",15,15
5,Pre-Flop,1,179,-179,RAISE,2,0,0,"['7d', '6d', 'Ad', '7s', '4h']","['Ah', '5h', '8s', '5s', '7h']",[],[],[],1,1
5,Pre-Flop,0,179,-179,CALL,0,0,0,"['7d', '6d', 'Ad', '7s', '4h']","['Ah', '5h', '8s', '5s', '7h']",[],[],[],2,2
5,Flop,0,179,-179,DISCARD,0,1,3,"['7d', '6d', 'Ad', '7s', '4h']","['Ah', '5h', '8s', '5s', '7h']","['2s', '6s', '9s']",[],[],4,4
5,Flop,1,179,-179,DISCARD,0,2,3,"['6d', '7s']","['Ah', '5h', '8s', '5s', '7h']","['2s', '6s', '9s']","['7d', 'Ad', '4h']",[],4,4
5,Flop,0,179,-179,CHECK,0,0,0,"['6d', '7s']","['8s', '5s']","['2s', '6s', '9s']","['7d', 'Ad', '4h']","['Ah', '5h', '7h']",4,4
5,Flop,1,179,-179,RAISE,5,0,0,"['6d', '7s']","['8s', '5s']","['2s', '6s', '9s']","['7d', 'Ad', '4h']","['Ah', '5h', '7h']",4,4
5,Flop,0,179,-179,CALL,0,0,0,"['6d', '7s']","['8s', '5s']","['2s', '6s', '9s']","['7d', 'Ad', '4h']","['Ah', '5h', '7h']",4,4
5,Turn,0,179,-179,CHECK,0,0,0,"['6d', '7s']","['8s', '5s']","['2s', '6s', '9s', '3h']","['7d', 'Ad', '4h']","['Ah', '5h', '7h']",9,9
5,Turn,1,179,-179,RAISE,11,0,0,"['6d', '7s']","['8s', '5s']","['2s', '6s', '9s', '3h']","['7d', 'Ad', '4h']","['Ah', '5h', '7h']",9,9
5,Turn,0,179,-179,FOLD,0,0,0,"['6d', '7s']","['8s', '5s']","['2s', '6s', '9s', '3h']","['7d', 'Ad', '4h']","['Ah', '5h', '7h']",9,9
6,Pre-Flop,0,170,-170,CALL,0,0,0,"['7s', '8s', '6s', '2d', '4h']","['3s', '2s', '9h', '8d', '3d']",[],[],[],1,1
6,Pre-Flop,1,170,-170,CHECK,0,0,0,"['7s', '8s', '6s', '2d', '4h']","['3s', '2s', '9h', '8d', '3d']",[],[],[],2,2
6,Flop,1,170,-170,DISCARD,0,3,4,"['7s', '8s', '6s', '2d', '4h']","['3s', '2s', '9h', '8d', '3d']","['4d', 'Ad', '2h']",[],[],2,2
6,Flop,0,170,-170,DISCARD,0,3,4,"['7s', '8s', '6s', '2d', '4h']","['8d', '3d']","['4d', 'Ad', '2h']",[],"['3s', '2s', '9h']",2,2
6,Flop,1,170,-170,RAISE,2,0,0,"['2d', '4h']","['8d', '3d']","['4d', 'Ad', '2h']","['7s', '8s', '6s']","['3s', '2s', '9h']",2,2
6,Flop,0,170,-170,FOLD,0,0,0,"['2d', '4h']","['8d', '3d']","['4d', 'Ad', '2h']","['7s', '8s', '6s']","['3s', '2s', '9h']",2,2
7,Pre-Flop,1,168,-168,RAISE,8,0,0,"['2d', '4d', '5s', '3s', '7s']","['6d', '9h', '8h', '6s', '3d']",[],[],[],1,1
7,Pre-Flop,0,168,-168,FOLD,0,0,0,"['2d', '4d', '5s', '3s', '7s']","['6d', '9h', '8h', '6s', '3d']",[],[],[],2,2
8,Pre-Flop,0,166,-166,CALL,0,0,0,"['9h', '8s', '2s', 'As', 'Ah']","['6s', '5d', '3s', '9s', '9d']",[],[],[],1,1
8,Pre-Flop,1,166,-166,RAISE,9,0,0,"['9h', '8s', '2s', 'As', 'Ah']","['6s', '5d', '3s', '9s', '9d']",[],[],[],2,2
8,Pre-Flop,0,166,-166,FOLD,0,0,0,"['9h', '8s', '2s', 'As', 'Ah']","['6s', '5d', '3s', '9s', '9d']",[],[],[],2,2
9,Pre-Flop,1,164,-164,RAISE,10,0,0,"['5d', '8s', '2d', '6h', '5s']","['Ah', '3h', '7d', '5h', '8d']",[],[],[],1,1
9,Pre-Flop,0,164,-164,CALL,0,0,0,"['5d', '8s', '2d', '6h', '5s']","['Ah', '3h', '7d', '5h', '8d']",[],[],[],2,2
9,Flop,0,164,-164,DISCARD,0,0,2,"['5d', '8s', '2d', '6h', '5s']","['Ah', '3h', '7d', '5h', '8d']","['Ad', '4d', '4h']",[],[],12,12
9,Flop,1,164,-164,DISCARD,0,0,2,"['5d', '2d']","['Ah', '3h', '7d', '5h', '8d']","['Ad', '4d', '4h']","['8s', '6h', '5s']",[],12,12
9,Flop,0,164,-164,CHECK,0,0,0,"['5d', '2d']","['Ah', '7d']","['Ad', '4d', '4h']","['8s', '6h', '5s']","['3h', '5h', '8d']",12,12
9,Flop,1,164,-164,RAISE,15,0,0,"['5d', '2d']","['Ah', '7d']","['Ad', '4d', '4h']","['8s', '6h', '5s']","['3h', '5h', '8d']",12,12
9,Flop,0,164,-164,CALL,0,0,0,"['5d', '2d']","['Ah', '7d']","['Ad', '4d', '4h']","['8s', '6h', '5s']","['3h', '5h', '8d']",12,12
9,Turn,0,164,-164,CHECK,0,0,0,"['5d', '2d']","['Ah', '7d']","['Ad', '4d', '4h', '6s']","['8s', '6h', '5s']","['3h', '5h', '8d']",27,27
9,Turn,1,164,-164,RAISE,40,0,0,"['5d', '2d']","['Ah', '7d']","['Ad', '4d', '4h', '6s']","['8s', '6h', '5s']","['3h', '5h', '8d']",27,27
9,Turn,0,164,-164,FOLD,0,0,0,"['5d', '2d']","['Ah', '7d']","['Ad', '4d', '4h', '6s']","['8s', '6h', '5s']","['3h', '5h', '8d']",27,27
10,Pre-Flop,0,137,-137,CALL,0,0,0,"['3h', '4h', '8s', '4d', '2h']","['5d', '3d', '8d', 'Ad', 'As']",[],[],[],1,1
10,Pre-Flop,1,137,-137,RAISE,9,0,0,"['3h', '4h', '8s', '4d', '2h']","['5d', '3d', '8d', 'Ad', 'As']",[],[],[],2,2
10,Pre-Flop,0,137,-137,CALL,0,0,0,"['3h', '4h', '8s', '4d', '2h']","['5d', '3d', '8d', 'Ad', 'As']",[],[],[],2,2
10,Flop,1,137,-137,DISCARD,0,3,4,"['3h', '4h', '8s', '4d', '2h']","['5d', '3d', '8d', 'Ad', 'As']","['Ah', '2d', '6s']",[],[],11,11
10,Flop,0,137,-137,DISCARD,0,0,1,"['3h', '4h', '8s', '4d', '2h']","['Ad', 'As']","['Ah', '2d', '6s']",[],"['5d', '3d', '8d']",11,11
10,Flop,1,137,-137,RAISE,12,0,0,"['3h', '4h']","['Ad', 'As']","['Ah', '2d', '6s']","['8s', '4d', '2h']","['5d', '3d', '8d']",11,11
10,Flop,0,137,-137,FOLD,0,0,0,"['3h', '4h']","['Ad', 'As']","['Ah', '2d', '6s']","['8s', '4d', '2h']","['5d', '3d', '8d']",11,11
11,Pre-Flop,1,126,-126,CALL,0,0,0,"['8h', 'As', '3d', '5d', '6h']","['Ah', '9d', '9h', '4s', '5h']",[],[],[],1,1
11,Pre-Flop,0,126,-126,RAISE,9,0,0,"['8h', 'As', '3d', '5d', '6h']","['Ah', '9d', '9h', '4s', '5h']",[],[],[],2,2
11,Pre-Flop,1,126,-126,RAISE,11,0,0,"['8h', 'As', '3d', '5d', '6h']","['Ah', '9d', '9h', '4s', '5h']",[],[],[],2,2
11,Pre-Flop,0,126,-126,CALL,0,0,0,"['8h', 'As', '3d', '5d', '6h']","['Ah', '9d', '9h', '4s', '5h']",[],[],[],11,11
11,Flop,0,126,-126,DISCARD,0,0,3,"['8h', 'As', '3d', '5d', '6h']","['Ah', '9d', '9h', '4s', '5h']","['8d', '5s', '9s']",[],[],22,22
11,Flop,1,126,-126,DISCARD,0,1,2,"['8h', '5d']","['Ah', '9d', '9h', '4s', '5h']","['8d', '5s', '9s']","['As', '3d', '6h']",[],22,22
11,Flop,0,126,-126,CHECK,0,0,0,"['8h', '5d']","['9d', '9h']","['8d', '5s', '9s']","['As', '3d', '6h']","['Ah', '4s', '5h']",22,22
11,Flop,1,126,-126,RAISE,25,0,0,"['8h', '5d']","['9d', '9h']","['8d', '5s', '9s']","['As', '3d', '6h']","['Ah', '4s', '5h']",22,22
11,Flop,0,126,-126,FOLD,0,0,0,"['8h', '5d']","['9d', '9h']","['8d', '5s', '9s']","['As', '3d', '6h']","['Ah', '4s', '5h']",22,22
12,Pre-Flop,0,104,-104,CALL,0,0,0,"['2h', '8d', '2d', '7h', '5d']","['9s', '4s', '9d', '9h', '7s']",[],[],[],1,1
12,Pre-Flop,1,104,-104,RAISE,9,0,0,"['2h', '8d', '2d', '7h', '5d']","['9s', '4s', '9d', '9h', '7s']",[],[],[],2,2
12,Pre-Flop,0,104,-104,FOLD,0,0,0,"['2h', '8d', '2d', '7h', '5d']","['9s', '4s', '9d', '9h', '7s']",[],[],[],2,2
13,Pre-Flop,1,102,-102,RAISE,10,0,0,"['7h', '7s', '6d', 'Ad', '5h']","['8d', '2s', '4d', '2h', 'As']",[],[],[],1,1
13,Pre-Flop,0,102,-102,CALL,0,0,0,"['7h', '7s', '6d', 'Ad', '5h']","['8d', '2s', '4d', '2h', 'As']",[],[],[],2,2
13,Flop,0,102,-102,DISCARD,0,1,2,"['7h', '7s', '6d', 'Ad', '5h']","['8d', '2s', '4d', '2h', 'As']","['8s', '9h', '4s']",[],[],12,12
13,Flop,1,102,-102,DISCARD,0,0,2,"['7s', '6d']","['8d', '2s', '4d', '2h', 'As']","['8s', '9h', '4s']","['7h', 'Ad', '5h']",[],12,12
13,Flop,0,102,-102,CHECK,0,0,0,"['7s', '6d']","['8d', '4d']","['8s', '9h', '4s']","['7h', 'Ad', '5h']","['2s', '2h', 'As']",12,12
13,Flop,1,102,-102,RAISE,10,0,0,"['7s', '6d']","['8d', '4d']","['8s', '9h', '4s']","['7h', 'Ad', '5h']","['2s', '2h', 'As']",12,12
13,Flop,0,102,-102,CALL,0,0,0,"['7s', '6d']","['8d', '4d']","['8s', '9h', '4s']","['7h', 'Ad', '5h']","['2s', '2h', 'As']",12,12
13,Turn,0,102,-102,CHECK,0,0,0,"['7s', '6d']","['8d', '4d']","['8s', '9h', '4s', '8h']","['7h', 'Ad', '5h']","['2s', '2h', 'As']",22,22
13,Turn,1,102,-102,RAISE,35,0,0,"['7s', '6d']","['8d', '4d']","['8s', '9h', '4s', '8h']","['7h', 'Ad', '5h']","['2s', '2h', 'As']",22,22
13,Turn,0,102,-102,FOLD,0,0,0,"['7s', '6d']","['8d', '4d']","['8s', '9h', '4s', '8h']","['7h', 'Ad', '5h']","['2s', '2h', 'As']",22,22
14,Pre-Flop,0,80,-80,CALL,0,0,0,"['4d', '8s', '4h', '9d', '3s']","['9h', '2h', '9s', '2d', '4s']",[],[],[],1,1
14,Pre-Flop,1,80,-80,RAISE,9,0,0,"['4d', '8s', '4h', '9d', '3s']","['9h', '2h', '9s', '2d', '4s']",[],[],[],2,2
14,Pre-Flop,0,80,-80,FOLD,0,0,0,"['4d', '8s', '4h', '9d', '3s']","['9h', '2h', '9s', '2d', '4s']",[],[],[],2,2
15,Pre-Flop,1,78,-78,RAISE,8,0,0,"['3d', '5h', '2s', 'As', '9s']","['5s', '7h', '2d', '9h', '3s']",[],[],[],1,1
15,Pre-Flop,0,78,-78,FOLD,0,0,0,"['3d', '5h', '2s', 'As', '9s']","['5s', '7h', '2d', '9h', '3s']",[],[],[],2,2
16,Pre-Flop,0,76,-76,CALL,0,0,0,"['5s', 'As', '6h', '5d', '6d']","['4d', '8s', '2s', '4s', '3s']",[],[],[],1,1
16,Pre-Flop,1,76,-76,CHECK,0,0,0,"['5s', 'As', '6h', '5d', '6d']","['4d', '8s', '2s', '4s', '3s']",[],[],[],2,2
16,Flop,1,76,-76,DISCARD,0,1,2,"['5s', 'As', '6h', '5d', '6d']","['4d', '8s', '2s', '4s', '3s']","['9s', '2h', '9d']",[],[],2,2
16,Flop,0,76,-76,DISCARD,0,1,2,"['5s', 'As', '6h', '5d', '6d']","['8s', '2s']","['9s', '2h', '9d']",[],"['4d', '4s', '3s']",2,2
