# Team 0: Attention Is All You Need, Team 1: Ctrl+Alt+Defeat
hand_number,street,active_team,team_0_bankroll,team_1_bankroll,action_type,action_amount,action_keep_1,action_keep_2,team_0_cards,team_1_cards,board_cards,team_0_discarded,team_1_discarded,team_0_bet,team_1_bet
0,Pre-Flop,0,0,0,FOLD,0,0,0,"['2s', '9h', '8h', '6h', 'Ah']","['7s', '9s', '2h', '8s', '5d']",[],[],[],1,1
1,Pre-Flop,1,-1,1,RAISE,2,0,0,"['7d', '5d', '4d', '3s', '9h']","['Ad', 'Ah', '2h', '6s', '8h']",[],[],[],1,1
1,Pre-Flop,0,-1,1,FOLD,0,0,0,"['7d', '5d', '4d', '3s', '9h']","['Ad', 'Ah', '2h', '6s', '8h']",[],[],[],2,2
2,Pre-Flop,0,-3,3,FOLD,0,0,0,"['9s', '2h', '8d', '3h', 'Ah']","['As', '7d', '3s', '7h', 'Ad']",[],[],[],1,1
3,Pre-Flop,1,-4,4,FOLD,0,0,0,"['4h', '5h', '9s', '3h', '7h']","['2d', '3d', 'As', '4d', '4s']",[],[],[],1,1
4,Pre-Flop,0,-3,3,RAISE,98,0,0,"['Ad', '9h', '7s', '3s', '9d']","['6s', '5s', '5d', '2h', '8h']",[],[],[],1,1
4,Pre-Flop,1,-3,3,FOLD,0,0,0,"['Ad', '9h', '7s', '3s', '9d']","['6s', '5s', '5d', '2h', '8h']",[],[],[],2,2
5,Pre-Flop,1,-1,1,RAISE,8,0,0,"['7h', '8h', 'Ad', '4d', '8s']","['6s', '2d', '6d', '9h', '5h']",[],[],[],1,1
5,Pre-Flop,0,-1,1,RAISE,14,0,0,"['7h', '8h', 'Ad', '4d', '8s']","['6s', '2d', '6d', '9h', '5h']",[],[],[],2,2
5,Pre-Flop,1,-1,1,RAISE,24,0,0,"['7h', '8h', 'Ad', '4d', '8s']","['6s', '2d', '6d', '9h', '5h']",[],[],[],10,10
5,Pre-Flop,0,-1,1,CALL,0,0,0,"['7h', '8h', 'Ad', '4d', '8s']","['6s', '2d', '6d', '9h', '5h']",[],[],[],24,24
5,Flop,0,-1,1,DISCARD,0,2,3,"['7h', '8h', 'Ad', '4d', '8s']","['6s', '2d', '6d', '9h', '5h']","['2s', '3d', '4h']",[],[],48,48
5,Flop,1,-1,1,DISCARD,0,0,4,"['Ad', '4d']","['6s', '2d', '6d', '9h', '5h']","['2s', '3d', '4h']","['7h', '8h', '8s']",[],48,48
5,Flop,0,-1,1,CHECK,0,0,0,"['Ad', '4d']","['6s', '5h']","['2s', '3d', '4h']","['7h', '8h', '8s']","['2d', '6d', '9h']",48,48
5,Flop,1,-1,1,RAISE,51,0,0,"['Ad', '4d']","['6s', '5h']","['2s', '3d', '4h']","['7h', '8h', '8s']","['2d', '6d', '9h']",48,48
5,Flop,0,-1,1,FOLD,0,0,0,"['Ad', '4d']","['6s', '5h']","['2s', '3d', '4h']","['7h', '8h', '8s']","['2d', '6d', '9h']",48,48
6,Pre-Flop,0,-49,49,RAISE,98,0,0,"['7h', '9s', '9h', '3h', '2d']","['4h', '8h', 'Ad', '5h', '5d']",[],[],[],1,1
6,Pre-Flop,1,-49,49,CALL,0,0,0,"['7h', '9s', '9h', '3h', '2d']","['4h', '8h', 'Ad', '5h', '5d']",[],[],[],2,2
6,Flop,1,-49,49,DISCARD,0,3,4,"['7h', '9s', '9h', '3h', '2d']","['4h', '8h', 'Ad', '5h', '5d']","['9d', '5s', '6s']",[],[],100,100
6,Flop,0,-49,49,DISCARD,0,1,2,"['7h', '9s', '9h', '3h', '2d']","['5h', '5d']","['9d', '5s', '6s']",[],"['4h', '8h', 'Ad']",100,100
