# Team 0: Pulp Ficshun, Team 1: ALL IN
hand_number,street,active_team,team_0_bankroll,team_1_bankroll,action_type,action_amount,action_keep_1,action_keep_2,team_0_cards,team_1_cards,board_cards,team_0_discarded,team_1_discarded,team_0_bet,team_1_bet
0,Pre-Flop,0,0,0,RAISE,2,0,0,"['7d', 'Ah', '5h', '5d', '8d']","['7s', '2s', '5s', 'Ad', '3h']",[],[],[],1,1
0,Pre-Flop,1,0,0,CALL,0,0,0,"['7d', 'Ah', '5h', '5d', '8d']","['7s', '2s', '5s', 'Ad', '3h']",[],[],[],2,2
0,Flop,1,0,0,DISCARD,0,0,3,"['7d', 'Ah', '5h', '5d', '8d']","['7s', '2s', '5s', 'Ad', '3h']","['As', '9h', '4s']",[],[],4,4
0,Flop,0,0,0,DISCARD,0,1,4,"['7d', 'Ah', '5h', '5d', '8d']","['7s', 'Ad']","['As', '9h', '4s']",[],"['2s', '5s', '3h']",4,4
0,Flop,1,0,0,CHECK,0,0,0,"['Ah', '8d']","['7s', 'Ad']","['As', '9h', '4s']","['7d', '5h', '5d']","['2s', '5s', '3h']",4,4
0,Flop,0,0,0,RAISE,4,0,0,"['Ah', '8d']","['7s', 'Ad']","['As', '9h', '4s']","['7d', '5h', '5d']","['2s', '5s', '3h']",4,4
0,Flop,1,0,0,CALL,0,0,0,"['Ah', '8d']","['7s', 'Ad']","['As', '9h', '4s']","['7d', '5h', '5d']","['2s', '5s', '3h']",4,4
0,Turn,1,0,0,CHECK,0,0,0,"['Ah', '8d']","['7s', 'Ad']","['As', '9h', '4s', '6h']","['7d', '5h', '5d']","['2s', '5s', '3h']",8,8
0,Turn,0,0,0,RAISE,5,0,0,"['Ah', '8d']","['7s', 'Ad']","['As', '9h', '4s', '6h']","['7d', '5h', '5d']","['2s', '5s', '3h']",8,8
0,Turn,1,0,0,CALL,0,0,0,"['Ah', '8d']","['7s', 'Ad']","['As', '9h', '4s', '6h']","['7d', '5h', '5d']","['2s', '5s', '3h']",8,8
0,River,1,0,0,CHECK,0,0,0,"['Ah', '8d']","['7s', 'Ad']","['As', '9h', '4s', '6h', '6s']","['7d', '5h', '5d']","['2s', '5s', '3h']",13,13
0,River,0,0,0,CHECK,0,0,0,"['Ah', '8d']","['7s', 'Ad']","['As', '9h', '4s', '6h', '6s']","['7d', '5h', '5d']","['2s', '5s', '3h']",13,13
1,Pre-Flop,1,0,0,CALL,0,0,0,"['3d', '7d', '3h', 'Ad', '4s']","['5d', '4h', '7s', '5s', '8d']",[],[],[],1,1
1,Pre-Flop,0,0,0,CHECK,0,0,0,"['3d', '7d', '3h', 'Ad', '4s']","['5d', '4h', '7s', '5s', '8d']",[],[],[],2,2
1,Flop,0,0,0,DISCARD,0,0,4,"['3d', '7d', '3h', 'Ad', '4s']","['5d', '4h', '7s', '5s', '8d']","['2s', '6s', '9s']",[],[],2,2
1,Flop,1,0,0,DISCARD,0,2,3,"['3d', '4s']","['5d', '4h', '7s', '5s', '8d']","['2s', '6s', '9s']","['7d', '3h', 'Ad']",[],2,2
1,Flop,0,0,0,RAISE,2,0,0,"['3d', '4s']","['7s', '5s']","['2s', '6s', '9s']","['7d', '3h', 'Ad']","['5d', '4h', '8d']",2,2
1,Flop,1,0,0,CALL,0,0,0,"['3d', '4s']","['7s', '5s']","['2s', '6s', '9s']","['7d', '3h', 'Ad']","['5d', '4h', '8d']",2,2
1,Turn,0,0,0,CHECK,0,0,0,"['3d', '4s']","['7s', '5s']","['2s', '6s', '9s', '8h']","['7d', '3h', 'Ad']","['5d', '4h', '8d']",4,4
1,Turn,1,0,0,RAISE,3,0,0,"['3d', '4s']","['7s', '5s']","['2s', '6s', '9s', '8h']","['7d', '3h', 'Ad']","['5d', '4h', '8d']",4,4
1,Turn,0,0,0,FOLD,0,0,0,"['3d', '4s']","['7s', '5s']","['2s', '6s', '9s', '8h']","['7d', '3h', 'Ad']","['5d', '4h', '8d']",4,4
2,Pre-Flop,0,-4,4,RAISE,2,0,0,"['8s', '3d', '6s', '9s', '4h']","['3h', '7h', '7s', '9d', 'Ad']",[],[],[],1,1
2,Pre-Flop,1,-4,4,CALL,0,0,0,"['8s', '3d', '6s', '9s', '4h']","['3h', '7h', '7s', '9d', 'Ad']",[],[],[],2,2
2,Flop,1,-4,4,DISCARD,0,1,2,"['8s', '3d', '6s', '9s', '4h']","['3h', '7h', '7s', '9d', 'Ad']","['4s', '6h', '6d']",[],[],4,4
2,Flop,0,-4,4,DISCARD,0,2,4,"['8s', '3d', '6s', '9s', '4h']","['7h', '7s']","['4s', '6h', '6d']",[],"['3h', '9d', 'Ad']",4,4
2,Flop,1,-4,4,CHECK,0,0,0,"['6s', '4h']","['7h', '7s']","['4s', '6h', '6d']","['8s', '3d', '9s']","['3h', '9d', 'Ad']",4,4
2,Flop,0,-4,4,RAISE,4,0,0,"['6s', '4h']","['7h', '7s']","['4s', '6h', '6d']","['8s', '3d', '9s']","['3h', '9d', 'Ad']",4,4
2,Flop,1,-4,4,CALL,0,0,0,"['6s', '4h']","['7h', '7s']","['4s', '6h', '6d']","['8s', '3d', '9s']","['3h', '9d', 'Ad']",4,4
2,Turn,1,-4,4,CHECK,0,0,0,"['6s', '4h']","['7h', '7s']","['4s', '6h', '6d', '2h']","['8s', '3d', '9s']","['3h', '9d', 'Ad']",8,8
2,Turn,0,-4,4,RAISE,10,0,0,"['6s', '4h']","['7h', '7s']","['4s', '6h', '6d', '2h']","['8s', '3d', '9s']","['3h', '9d', 'Ad']",8,8
