# Team 0: Pulp Ficshun, Team 1: AA998
hand_number,street,active_team,team_0_bankroll,team_1_bankroll,action_type,action_amount,action_keep_1,action_keep_2,team_0_cards,team_1_cards,board_cards,team_0_discarded,team_1_discarded,team_0_bet,team_1_bet
0,Pre-Flop,0,0,0,FOLD,0,0,0,"['4h', '3h', '2h', '3s', '6h']","['5d', '7d', '8s', '5h', 'Ah']",[],[],[],1,1
1,Pre-Flop,1,-1,1,RAISE,6,0,0,"['8s', '5s', '2s', '4h', '8h']","['9s', '3h', '9h', '7d', 'Ah']",[],[],[],1,1
1,Pre-Flop,0,-1,1,RAISE,14,0,0,"['8s', '5s', '2s', '4h', '8h']","['9s', '3h', '9h', '7d', 'Ah']",[],[],[],2,2
1,Pre-Flop,1,-1,1,CALL,0,0,0,"['8s', '5s', '2s', '4h', '8h']","['9s', '3h', '9h', '7d', 'Ah']",[],[],[],8,8
1,Flop,0,-1,1,DISCARD,0,2,3,"['8s', '5s', '2s', '4h', '8h']","['9s', '3h', '9h', '7d', 'Ah']","['2d', '2h', '4s']",[],[],22,22
1,Flop,1,-1,1,DISCARD,0,0,2,"['2s', '4h']","['9s', '3h', '9h', '7d', 'Ah']","['2d', '2h', '4s']","['8s', '5s', '8h']",[],22,22
1,Flop,0,-1,1,RAISE,28,0,0,"['2s', '4h']","['9s', '9h']","['2d', '2h', '4s']","['8s', '5s', '8h']","['3h', '7d', 'Ah']",22,22
1,Flop,1,-1,1,FOLD,0,0,0,"['2s', '4h']","['9s', '9h']","['2d', '2h', '4s']","['8s', '5s', '8h']","['3h', '7d', 'Ah']",22,22
2,Pre-Flop,0,21,-21,RAISE,8,0,0,"['5h', '6d', '2h', '9h', '6s']","['2s', '9s', '7s', '3s', 'Ah']",[],[],[],1,1
2,Pre-Flop,1,21,-21,FOLD,0,0,0,"['5h', '6d', '2h', '9h', '6s']","['2s', '9s', '7s', '3s', 'Ah']",[],[],[],2,2
3,Pre-Flop,1,23,-23,CALL,0,0,0,"['4s', '2d', '9h', '7d', '6d']","['4d', '3s', '8s', '2s', '9d']",[],[],[],1,1
3,Pre-Flop,0,23,-23,RAISE,12,0,0,"['4s', '2d', '9h', '7d', '6d']","['4d', '3s', '8s', '2s', '9d']",[],[],[],2,2
3,Pre-Flop,1,23,-23,CALL,0,0,0,"['4s', '2d', '9h', '7d', '6d']","['4d', '3s', '8s', '2s', '9d']",[],[],[],2,2
3,Flop,0,23,-23,DISCARD,0,2,4,"['4s', '2d', '9h', '7d', '6d']","['4d', '3s', '8s', '2s', '9d']","['5d', '7s', '8d']",[],[],14,14
