# Team 0: necromergers, Team 1: Pulp Ficshun
hand_number,street,active_team,team_0_bankroll,team_1_bankroll,action_type,action_amount,action_keep_1,action_keep_2,team_0_cards,team_1_cards,board_cards,team_0_discarded,team_1_discarded,team_0_bet,team_1_bet
0,Pre-Flop,0,0,0,RAISE,2,0,0,"['5s', 'As', '6h', '2d', '9s']","['7s', '6d', '4d', '3h', '5h']",[],[],[],1,1
0,Pre-Flop,1,0,0,FOLD,0,0,0,"['5s', 'As', '6h', '2d', '9s']","['7s', '6d', '4d', '3h', '5h']",[],[],[],2,2
1,Pre-Flop,1,2,-2,RAISE,2,0,0,"['9d', '5d', '7d', '3h', '5h']","['Ah', '2s', '3s', '8d', '4s']",[],[],[],1,1
1,Pre-Flop,0,2,-2,RAISE,4,0,0,"['9d', '5d', '7d', '3h', '5h']","['Ah', '2s', '3s', '8d', '4s']",[],[],[],2,2
1,Pre-Flop,1,2,-2,RAISE,9,0,0,"['9d', '5d', '7d', '3h', '5h']","['Ah', '2s', '3s', '8d', '4s']",[],[],[],4,4
1,Pre-Flop,0,2,-2,RAISE,19,0,0,"['9d', '5d', '7d', '3h', '5h']","['Ah', '2s', '3s', '8d', '4s']",[],[],[],8,8
1,Pre-Flop,1,2,-2,RAISE,49,0,0,"['9d', '5d', '7d', '3h', '5h']","['Ah', '2s', '3s', '8d', '4s']",[],[],[],17,17
1,Pre-Flop,0,2,-2,RAISE,15,0,0,"['9d', '5d', '7d', '3h', '5h']","['Ah', '2s', '3s', '8d', '4s']",[],[],[],36,36
1,Pre-Flop,1,2,-2,CALL,0,0,0,"['9d', '5d', '7d', '3h', '5h']","['Ah', '2s', '3s', '8d', '4s']",[],[],[],85,85
1,Flop,0,2,-2,DISCARD,0,1,4,"['9d', '5d', '7d', '3h', '5h']","['Ah', '2s', '3s', '8d', '4s']","['4d', '5s', '4h']",[],[],100,100
