# Team 0: super-quantum-frogtron-500M-params, Team 1: Pulp Ficshun
hand_number,street,active_team,team_0_bankroll,team_1_bankroll,action_type,action_amount,action_keep_1,action_keep_2,team_0_cards,team_1_cards,board_cards,team_0_discarded,team_1_discarded,team_0_bet,team_1_bet
0,Pre-Flop,0,0,0,CALL,0,0,0,"['9s', '6s', '7d', '3s', '5d']","['2h', '2s', '3h', '2d', 'Ah']",[],[],[],1,1
0,Pre-Flop,1,0,0,CHECK,0,0,0,"['9s', '6s', '7d', '3s', '5d']","['2h', '2s', '3h', '2d', 'Ah']",[],[],[],2,2
0,Flop,1,0,0,DISCARD,0,2,4,"['9s', '6s', '7d', '3s', '5d']","['2h', '2s', '3h', '2d', 'Ah']","['5h', 'As', '9d']",[],[],2,2
0,Flop,0,0,0,DISCARD,0,0,4,"['9s', '6s', '7d', '3s', '5d']","['3h', 'Ah']","['5h', 'As', '9d']",[],"['2h', '2s', '2d']",2,2
0,Flop,1,0,0,RAISE,2,0,0,"['9s', '5d']","['3h', 'Ah']","['5h', 'As', '9d']","['6s', '7d', '3s']","['2h', '2s', '2d']",2,2
0,Flop,0,0,0,CALL,0,0,0,"['9s', '5d']","['3h', 'Ah']","['5h', 'As', '9d']","['6s', '7d', '3s']","['2h', '2s', '2d']",2,2
0,Turn,1,0,0,RAISE,5,0,0,"['9s', '5d']","['3h', 'Ah']","['5h', 'As', '9d', '8h']","['6s', '7d', '3s']","['2h', '2s', '2d']",4,4
0,Turn,0,0,0,CALL,0,0,0,"['9s', '5d']","['3h', 'Ah']","['5h', 'As', '9d', '8h']","['6s', '7d', '3s']","['2h', '2s', '2d']",4,4
0,River,1,0,0,CHECK,0,0,0,"['9s', '5d']","['3h', 'Ah']","['5h', 'As', '9d', '8h', '4d']","['6s', '7d', '3s']","['2h', '2s', '2d']",9,9
0,River,0,0,0,RAISE,6,0,0,"['9s', '5d']","['3h', 'Ah']","['5h', 'As', '9d', '8h', '4d']","['6s', '7d', '3s']","['2h', '2s', '2d']",9,9
0,River,1,0,0,FOLD,0,0,0,"['9s', '5d']","['3h', 'Ah']","['5h', 'As', '9d', '8h', '4d']","['6s', '7d', '3s']","['2h', '2s', '2d']",9,9
1,Pre-Flop,1,9,-9,RAISE,2,0,0,"['5d', '3h', '2h', '7d', '4s']","['9d', '9h', '4d', '7s', '8d']",[],[],[],1,1
1,Pre-Flop,0,9,-9,FOLD,0,0,0,"['5d', '3h', '2h', '7d', '4s']","['9d', '9h', '4d', '7s', '8d']",[],[],[],2,2
2,Pre-Flop,0,7,-7,CALL,0,0,0,"['4s', 'As', '2s', '9s', '9d']","['9h', '7h', '2h', '5h', '8s']",[],[],[],1,1
2,Pre-Flop,1,7,-7,RAISE,13,0,0,"['4s', 'As', '2s', '9s', '9d']","['9h', '7h', '2h', '5h', '8s']",[],[],[],2,2
2,Pre-Flop,0,7,-7,FOLD,0,0,0,"['4s', 'As', '2s', '9s', '9d']","['9h', '7h', '2h', '5h', '8s']",[],[],[],2,2
3,Pre-Flop,1,5,-5,RAISE,11,0,0,"['2d', '9s', 'Ad', '6h', '3d']","['9h', '7h', '4h', '8h', 'Ah']",[],[],[],1,1
3,Pre-Flop,0,5,-5,FOLD,0,0,0,"['2d', '9s', 'Ad', '6h', '3d']","['9h', '7h', '4h', '8h', 'Ah']",[],[],[],2,2
4,Pre-Flop,0,3,-3,CALL,0,0,0,"['7h', '4s', '6s', '2s', '3d']","['9h', '8d', 'Ad', '4h', '5s']",[],[],[],1,1
4,Pre-Flop,1,3,-3,RAISE,11,0,0,"['7h', '4s', '6s', '2s', '3d']","['9h', '8d', 'Ad', '4h', '5s']",[],[],[],2,2
4,Pre-Flop,0,3,-3,FOLD,0,0,0,"['7h', '4s', '6s', '2s', '3d']","['9h', '8d', 'Ad', '4h', '5s']",[],[],[],2,2
5,Pre-Flop,1,1,-1,RAISE,11,0,0,"['4s', '7h', '6h', '3h', '7d']","['3s', '8h', '3d', '8s', '2d']",[],[],[],1,1
5,Pre-Flop,0,1,-1,FOLD,0,0,0,"['4s', '7h', '6h', '3h', '7d']","['3s', '8h', '3d', '8s', '2d']",[],[],[],2,2
6,Pre-Flop,0,-1,1,CALL,0,0,0,"['4h', '2h', '6s', '2d', '7d']","['6h', '8h', '5d', '5h', '4d']",[],[],[],1,1
6,Pre-Flop,1,-1,1,CHECK,0,0,0,"['4h', '2h', '6s', '2d', '7d']","['6h', '8h', '5d', '5h', '4d']",[],[],[],2,2
6,Flop,1,-1,1,DISCARD,0,1,4,"['4h', '2h', '6s', '2d', '7d']","['6h', '8h', '5d', '5h', '4d']","['4s', '8s', '8d']",[],[],2,2
6,Flop,0,-1,1,DISCARD,0,0,2,"['4h', '2h', '6s', '2d', '7d']","['8h', '4d']","['4s', '8s', '8d']",[],"['6h', '5d', '5h']",2,2
6,Flop,1,-1,1,RAISE,2,0,0,"['4h', '6s']","['8h', '4d']","['4s', '8s', '8d']","['2h', '2d', '7d']","['6h', '5d', '5h']",2,2
6,Flop,0,-1,1,CALL,0,0,0,"['4h', '6s']","['8h', '4d']","['4s', '8s', '8d']","['2h', '2d', '7d']","['6h', '5d', '5h']",2,2
