# Team 0: WW, Team 1: Pulp Ficshun
hand_number,street,active_team,team_0_bankroll,team_1_bankroll,action_type,action_amount,action_keep_1,action_keep_2,team_0_cards,team_1_cards,board_cards,team_0_discarded,team_1_discarded,team_0_bet,team_1_bet
0,Pre-Flop,0,0,0,RAISE,5,0,0,"['5h', '7d', 'Ah', '8h', '2d']","['4s', '9d', '9h', '3d', '9s']",[],[],[],1,1
0,Pre-Flop,1,0,0,RAISE,12,0,0,"['5h', '7d', 'Ah', '8h', '2d']","['4s', '9d', '9h', '3d', '9s']",[],[],[],2,2
0,Pre-Flop,0,0,0,RAISE,28,0,0,"['5h', '7d', 'Ah', '8h', '2d']","['4s', '9d', '9h', '3d', '9s']",[],[],[],7,7
0,Pre-Flop,1,0,0,RAISE,53,0,0,"['5h', '7d', 'Ah', '8h', '2d']","['4s', '9d', '9h', '3d', '9s']",[],[],[],19,19
0,Pre-Flop,0,0,0,CALL,0,0,0,"['5h', '7d', 'Ah', '8h', '2d']","['4s', '9d', '9h', '3d', '9s']",[],[],[],47,47
0,Flop,1,0,0,DISCARD,0,0,4,"['5h', '7d', 'Ah', '8h', '2d']","['4s', '9d', '9h', '3d', '9s']","['6s', '4d', '3s']",[],[],100,100
0,Flop,0,0,0,DISCARD,0,0,1,"['5h', '7d', 'Ah', '8h', '2d']","['4s', '9s']","['6s', '4d', '3s']",[],"['9d', '9h', '3d']",100,100
0,Flop,1,0,0,CHECK,0,0,0,"['5h', '7d']","['4s', '9s']","['6s', '4d', '3s']","['Ah', '8h', '2d']","['9d', '9h', '3d']",100,100
0,Flop,0,0,0,CHECK,0,0,0,"['5h', '7d']","['4s', '9s']","['6s', '4d', '3s']","['Ah', '8h', '2d']","['9d', '9h', '3d']",100,100
0,Turn,1,0,0,CHECK,0,0,0,"['5h', '7d']","['4s', '9s']","['6s', '4d', '3s', '4h']","['Ah', '8h', '2d']","['9d', '9h', '3d']",100,100
0,Turn,0,0,0,CHECK,0,0,0,"['5h', '7d']","['4s', '9s']","['6s', '4d', '3s', '4h']","['Ah', '8h', '2d']","['9d', '9h', '3d']",100,100
0,River,1,0,0,CHECK,0,0,0,"['5h', '7d']","['4s', '9s']","['6s', '4d', '3s', '4h', '5s']","['Ah', '8h', '2d']","['9d', '9h', '3d']",100,100
0,River,0,0,0,CHECK,0,0,0,"['5h', '7d']","['4s', '9s']","['6s', '4d', '3s', '4h', '5s']","['Ah', '8h', '2d']","['9d', '9h', '3d']",100,100
1,Pre-Flop,1,-100,100,CALL,0,0,0,"['9d', '5d', '9s', '9h', '4h']","['Ah', '7h', '7s', '3h', '5h']",[],[],[],1,1
1,Pre-Flop,0,-100,100,RAISE,5,0,0,"['9d', '5d', '9s', '9h', '4h']","['Ah', '7h', '7s', '3h', '5h']",[],[],[],2,2
1,Pre-Flop,1,-100,100,RAISE,8,0,0,"['9d', '5d', '9s', '9h', '4h']","['Ah', '7h', '7s', '3h', '5h']",[],[],[],2,2
1,Pre-Flop,0,-100,100,RAISE,19,0,0,"['9d', '5d', '9s', '9h', '4h']","['Ah', '7h', '7s', '3h', '5h']",[],[],[],7,7
1,Pre-Flop,1,-100,100,RAISE,34,0,0,"['9d', '5d', '9s', '9h', '4h']","['Ah', '7h', '7s', '3h', '5h']",[],[],[],15,15
1,Pre-Flop,0,-100,100,RAISE,32,0,0,"['9d', '5d', '9s', '9h', '4h']","['Ah', '7h', '7s', '3h', '5h']",[],[],[],34,34
1,Pre-Flop,1,-100,100,CALL,0,0,0,"['9d', '5d', '9s', '9h', '4h']","['Ah', '7h', '7s', '3h', '5h']",[],[],[],68,68
1,Flop,0,-100,100,DISCARD,0,2,3,"['9d', '5d', '9s', '9h', '4h']","['Ah', '7h', '7s', '3h', '5h']","['8h', '3d', '5s']",[],[],100,100
1,Flop,1,-100,100,DISCARD,0,3,4,"['9s', '9h']","['Ah', '7h', '7s', '3h', '5h']","['8h', '3d', '5s']","['9d', '5d', '4h']",[],100,100
1,Flop,0,-100,100,CHECK,0,0,0,"['9s', '9h']","['3h', '5h']","['8h', '3d', '5s']","['9d', '5d', '4h']","['Ah', '7h', '7s']",100,100
1,Flop,1,-100,100,CHECK,0,0,0,"['9s', '9h']","['3h', '5h']","['8h', '3d', '5s']","['9d', '5d', '4h']","['Ah', '7h', '7s']",100,100
1,Turn,0,-100,100,CHECK,0,0,0,"['9s', '9h']","['3h', '5h']","['8h', '3d', '5s', '6h']","['9d', '5d', '4h']","['Ah', '7h', '7s']",100,100
1,Turn,1,-100,100,CHECK,0,0,0,"['9s', '9h']","['3h', '5h']","['8h', '3d', '5s', '6h']","['9d', '5d', '4h']","['Ah', '7h', '7s']",100,100
1,River,0,-100,100,CHECK,0,0,0,"['9s', '9h']","['3h', '5h']","['8h', '3d', '5s', '6h', '3s']","['9d', '5d', '4h']","['Ah', '7h', '7s']",100,100
1,River,1,-100,100,CHECK,0,0,0,"['9s', '9h']","['3h', '5h']","['8h', '3d', '5s', '6h', '3s']","['9d', '5d', '4h']","['Ah', '7h', '7s']",100,100
2,Pre-Flop,0,-200,200,RAISE,5,0,0,"['6h', '9h', '7h', '2s', '3h']","['5s', '5h', '2d', '8d', '4s']",[],[],[],1,1
2,Pre-Flop,1,-200,200,FOLD,0,0,0,"['6h', '9h', '7h', '2s', '3h']","['5s', '5h', '2d', '8d', '4s']",[],[],[],2,2
3,Pre-Flop,1,-198,198,RAISE,11,0,0,"['As', '3h', '4h', '6h', 'Ah']","['7s', '9d', '8h', '2s', '7d']",[],[],[],1,1
3,Pre-Flop,0,-198,198,RAISE,25,0,0,"['As', '3h', '4h', '6h', 'Ah']","['7s', '9d', '8h', '2s', '7d']",[],[],[],2,2
3,Pre-Flop,1,-198,198,RAISE,38,0,0,"['As', '3h', '4h', '6h', 'Ah']","['7s', '9d', '8h', '2s', '7d']",[],[],[],13,13
3,Pre-Flop,0,-198,198,RAISE,24,0,0,"['As', '3h', '4h', '6h', 'Ah']","['7s', '9d', '8h', '2s', '7d']",[],[],[],38,38
3,Pre-Flop,1,-198,198,CALL,0,0,0,"['As', '3h', '4h', '6h', 'Ah']","['7s', '9d', '8h', '2s', '7d']",[],[],[],76,76
3,Flop,0,-198,198,DISCARD,0,0,4,"['As', '3h', '4h', '6h', 'Ah']","['7s', '9d', '8h', '2s', '7d']","['8d', '9s', '4d']",[],[],100,100
3,Flop,1,-198,198,DISCARD,0,1,4,"['As', 'Ah']","['7s', '9d', '8h', '2s', '7d']","['8d', '9s', '4d']","['3h', '4h', '6h']",[],100,100
3,Flop,0,-198,198,CHECK,0,0,0,"['As', 'Ah']","['9d', '7d']","['8d', '9s', '4d']","['3h', '4h', '6h']","['7s', '8h', '2s']",100,100
3,Flop,1,-198,198,CHECK,0,0,0,"['As', 'Ah']","['9d', '7d']","['8d', '9s', '4d']","['3h', '4h', '6h']","['7s', '8h', '2s']",100,100
3,Turn,0,-198,198,CHECK,0,0,0,"['As', 'Ah']","['9d', '7d']","['8d', '9s', '4d', '4s']","['3h', '4h', '6h']","['7s', '8h', '2s']",100,100
3,Turn,1,-198,198,CHECK,0,0,0,"['As', 'Ah']","['9d', '7d']","['8d', '9s', '4d', '4s']","['3h', '4h', '6h']","['7s', '8h', '2s']",100,100
3,River,0,-198,198,CHECK,0,0,0,"['As', 'Ah']","['9d', '7d']","['8d', '9s', '4d', '4s', '5h']","['3h', '4h', '6h']","['7s', '8h', '2s']",100,100
3,River,1,-198,198,CHECK,0,0,0,"['As', 'Ah']","['9d', '7d']","['8d', '9s', '4d', '4s', '5h']","['3h', '4h', '6h']","['7s', '8h', '2s']",100,100
4,Pre-Flop,0,-98,98,CALL,0,0,0,"['2h', '4d', '8s', '5d', '9h']","['3d', '7s', 'Ad', '3h', 'As']",[],[],[],1,1
4,Pre-Flop,1,-98,98,RAISE,11,0,0,"['2h', '4d', '8s', '5d', '9h']","['3d', '7s', 'Ad', '3h', 'As']",[],[],[],2,2
4,Pre-Flop,0,-98,98,CALL,0,0,0,"['2h', '4d', '8s', '5d', '9h']","['3d', '7s', 'Ad', '3h', 'As']",[],[],[],2,2
4,Flop,1,-98,98,DISCARD,0,2,4,"['2h', '4d', '8s', '5d', '9h']","['3d', '7s', 'Ad', '3h', 'As']","['6h', '6s', 'Ah']",[],[],13,13
4,Flop,0,-98,98,DISCARD,0,0,4,"['2h', '4d', '8s', '5d', '9h']","['Ad', 'As']","['6h', '6s', 'Ah']",[],"['3d', '7s', '3h']",13,13
4,Flop,1,-98,98,RAISE,14,0,0,"['2h', '9h']","['Ad', 'As']","['6h', '6s', 'Ah']","['4d', '8s', '5d']","['3d', '7s', '3h']",13,13
4,Flop,0,-98,98,CALL,0,0,0,"['2h', '9h']","['Ad', 'As']","['6h', '6s', 'Ah']","['4d', '8s', '5d']","['3d', '7s', '3h']",13,13
4,Turn,1,-98,98,RAISE,40,0,0,"['2h', '9h']","['Ad', 'As']","['6h', '6s', 'Ah', '2s']","['4d', '8s', '5d']","['3d', '7s', '3h']",27,27
4,Turn,0,-98,98,FOLD,0,0,0,"['2h', '9h']","['Ad', 'As']","['6h', '6s', 'Ah', '2s']","['4d', '8s', '5d']","['3d', '7s', '3h']",27,27
5,Pre-Flop,1,-125,125,FOLD,0,0,0,"['As', '7h', '2d', '6s', '3h']","['4d', '5s', '5d', '8h', '6d']",[],[],[],1,1
6,Pre-Flop,0,-124,124,RAISE,5,0,0,"['3d', '2d', '7d', 'Ah', '4s']","['2s', '4d', '8s', 'Ad', 'As']",[],[],[],1,1
6,Pre-Flop,1,-124,124,RAISE,12,0,0,"['3d', '2d', '7d', 'Ah', '4s']","['2s', '4d', '8s', 'Ad', 'As']",[],[],[],2,2
6,Pre-Flop,0,-124,124,CALL,0,0,0,"['3d', '2d', '7d', 'Ah', '4s']","['2s', '4d', '8s', 'Ad', 'As']",[],[],[],7,7
6,Flop,1,-124,124,DISCARD,0,2,4,"['3d', '2d', '7d', 'Ah', '4s']","['2s', '4d', '8s', 'Ad', 'As']","['7s', '9d', '3s']",[],[],19,19
6,Flop,0,-124,124,DISCARD,0,0,2,"['3d', '2d', '7d', 'Ah', '4s']","['8s', 'As']","['7s', '9d', '3s']",[],"['2s', '4d', 'Ad']",19,19
6,Flop,1,-124,124,RAISE,23,0,0,"['3d', '7d']","['8s', 'As']","['7s', '9d', '3s']","['2d', 'Ah', '4s']","['2s', '4d', 'Ad']",19,19
6,Flop,0,-124,124,CALL,0,0,0,"['3d', '7d']","['8s', 'As']","['7s', '9d', '3s']","['2d', 'Ah', '4s']","['2s', '4d', 'Ad']",19,19
6,Turn,1,-124,124,CHECK,0,0,0,"['3d', '7d']","['8s', 'As']","['7s', '9d', '3s', '3h']","['2d', 'Ah', '4s']","['2s', '4d', 'Ad']",42,42
6,Turn,0,-124,124,RAISE,42,0,0,"['3d', '7d']","['8s', 'As']","['7s', '9d', '3s', '3h']","['2d', 'Ah', '4s']","['2s', '4d', 'Ad']",42,42
6,Turn,1,-124,124,CALL,0,0,0,"['3d', '7d']","['8s', 'As']","['7s', '9d', '3s', '3h']","['2d', 'Ah', '4s']","['2s', '4d', 'Ad']",42,42
6,River,1,-124,124,CHECK,0,0,0,"['3d', '7d']","['8s', 'As']","['7s', '9d', '3s', '3h', '5h']","['2d', 'Ah', '4s']","['2s', '4d', 'Ad']",84,84
6,River,0,-124,124,CHECK,0,0,0,"['3d', '7d']","['8s', 'As']","['7s', '9d', '3s', '3h', '5h']","['2d', 'Ah', '4s']","['2s', '4d', 'Ad']",84,84
7,Pre-Flop,1,-40,40,CALL,0,0,0,"['7s', 'Ah', 'As', '2h', '8h']","['2s', '6h', '6s', '5h', '9h']",[],[],[],1,1
7,Pre-Flop,0,-40,40,RAISE,6,0,0,"['7s', 'Ah', 'As', '2h', '8h']","['2s', '6h', '6s', '5h', '9h']",[],[],[],2,2
7,Pre-Flop,1,-40,40,FOLD,0,0,0,"['7s', 'Ah', 'As', '2h', '8h']","['2s', '6h', '6s', '5h', '9h']",[],[],[],2,2
8,Pre-Flop,0,-38,38,RAISE,5,0,0,"['3h', '8d', '2h', '6d', '4d']","['3d', '5d', '8h', 'As', '9h']",[],[],[],1,1
8,Pre-Flop,1,-38,38,RAISE,11,0,0,"['3h', '8d', '2h', '6d', '4d']","['3d', '5d', '8h', 'As', '9h']",[],[],[],2,2
8,Pre-Flop,0,-38,38,RAISE,26,0,0,"['3h', '8d', '2h', '6d', '4d']","['3d', '5d', '8h', 'As', '9h']",[],[],[],7,7
8,Pre-Flop,1,-38,38,RAISE,44,0,0,"['3h', '8d', '2h', '6d', '4d']","['3d', '5d', '8h', 'As', '9h']",[],[],[],18,18
8,Pre-Flop,0,-38,38,CALL,0,0,0,"['3h', '8d', '2h', '6d', '4d']","['3d', '5d', '8h', 'As', '9h']",[],[],[],44,44
8,Flop,1,-38,38,DISCARD,0,2,3,"['3h', '8d', '2h', '6d', '4d']","['3d', '5d', '8h', 'As', '9h']","['Ah', '7d', '8s']",[],[],88,88
8,Flop,0,-38,38,DISCARD,0,1,3,"['3h', '8d', '2h', '6d', '4d']","['8h', 'As']","['Ah', '7d', '8s']",[],"['3d', '5d', '9h']",88,88
8,Flop,1,-38,38,RAISE,11,0,0,"['8d', '6d']","['8h', 'As']","['Ah', '7d', '8s']","['3h', '2h', '4d']","['3d', '5d', '9h']",88,88
8,Flop,0,-38,38,CALL,0,0,0,"['8d', '6d']","['8h', 'As']","['Ah', '7d', '8s']","['3h', '2h', '4d']","['3d', '5d', '9h']",88,88
8,Turn,1,-38,38,RAISE,1,0,0,"['8d', '6d']","['8h', 'As']","['Ah', '7d', '8s', '7h']","['3h', '2h', '4d']","['3d', '5d', '9h']",99,99
8,Turn,0,-38,38,CALL,0,0,0,"['8d', '6d']","['8h', 'As']","['Ah', '7d', '8s', '7h']","['3h', '2h', '4d']","['3d', '5d', '9h']",99,99
8,River,1,-38,38,CHECK,0,0,0,"['8d', '6d']","['8h', 'As']","['Ah', '7d', '8s', '7h', '9d']","['3h', '2h', '4d']","['3d', '5d', '9h']",100,100
8,River,0,-38,38,CHECK,0,0,0,"['8d', '6d']","['8h', 'As']","['Ah', '7d', '8s', '7h', '9d']","['3h', '2h', '4d']","['3d', '5d', '9h']",100,100
9,Pre-Flop,1,62,-62,FOLD,0,0,0,"['7h', '7s', '6d', '9d', '8d']","['Ad', '5d', '2s', '2d', '6s']",[],[],[],1,1
10,Pre-Flop,0,63,-63,RAISE,5,0,0,"['Ad', '9s', '5h', '8h', '9d']","['2h', 'As', '4d', '2s', '3s']",[],[],[],1,1
10,Pre-Flop,1,63,-63,FOLD,0,0,0,"['Ad', '9s', '5h', '8h', '9d']","['2h', 'As', '4d', '2s', '3s']",[],[],[],2,2
11,Pre-Flop,1,65,-65,FOLD,0,0,0,"['7h', '9s', '5s', '8d', '6d']","['7d', '4h', '4s', '5h', '3h']",[],[],[],1,1
12,Pre-Flop,0,66,-66,CALL,0,0,0,"['6s', '4d', '3h', '2s', '4h']","['5d', '9h', '2h', '3d', '6h']",[],[],[],1,1
12,Pre-Flop,1,66,-66,CHECK,0,0,0,"['6s', '4d', '3h', '2s', '4h']","['5d', '9h', '2h', '3d', '6h']",[],[],[],2,2
12,Flop,1,66,-66,DISCARD,0,0,4,"['6s', '4d', '3h', '2s', '4h']","['5d', '9h', '2h', '3d', '6h']","['5h', '5s', '6d']",[],[],2,2
12,Flop,0,66,-66,DISCARD,0,2,4,"['6s', '4d', '3h', '2s', '4h']","['5d', '6h']","['5h', '5s', '6d']",[],"['9h', '2h', '3d']",2,2
12,Flop,1,66,-66,RAISE,2,0,0,"['3h', '4h']","['5d', '6h']","['5h', '5s', '6d']","['6s', '4d', '2s']","['9h', '2h', '3d']",2,2
12,Flop,0,66,-66,CALL,0,0,0,"['3h', '4h']","['5d', '6h']","['5h', '5s', '6d']","['6s', '4d', '2s']","['9h', '2h', '3d']",2,2
12,Turn,1,66,-66,RAISE,5,0,0,"['3h', '4h']","['5d', '6h']","['5h', '5s', '6d', '9s']","['6s', '4d', '2s']","['9h', '2h', '3d']",4,4
12,Turn,0,66,-66,CALL,0,0,0,"['3h', '4h']","['5d', '6h']","['5h', '5s', '6d', '9s']","['6s', '4d', '2s']","['9h', '2h', '3d']",4,4
12,River,1,66,-66,RAISE,14,0,0,"['3h', '4h']","['5d', '6h']","['5h', '5s', '6d', '9s', '8s']","['6s', '4d', '2s']","['9h', '2h', '3d']",9,9
12,River,0,66,-66,FOLD,0,0,0,"['3h', '4h']","['5d', '6h']","['5h', '5s', '6d', '9s', '8s']","['6s', '4d', '2s']","['9h', '2h', '3d']",9,9
13,Pre-Flop,1,57,-57,CALL,0,0,0,"['3h', '2s', 'Ad', '7h', '4d']","['9d', '8h', '7s', '3d', '5h']",[],[],[],1,1
13,Pre-Flop,0,57,-57,CHECK,0,0,0,"['3h', '2s', 'Ad', '7h', '4d']","['9d', '8h', '7s', '3d', '5h']",[],[],[],2,2
13,Flop,0,57,-57,DISCARD,0,2,3,"['3h', '2s', 'Ad', '7h', '4d']","['9d', '8h', '7s', '3d', '5h']","['8s', 'As', 'Ah']",[],[],2,2
13,Flop,1,57,-57,DISCARD,0,0,1,"['Ad', '7h']","['9d', '8h', '7s', '3d', '5h']","['8s', 'As', 'Ah']","['3h', '2s', '4d']",[],2,2
13,Flop,0,57,-57,RAISE,6,0,0,"['Ad', '7h']","['9d', '8h']","['8s', 'As', 'Ah']","['3h', '2s', '4d']","['7s', '3d', '5h']",2,2
13,Flop,1,57,-57,CALL,0,0,0,"['Ad', '7h']","['9d', '8h']","['8s', 'As', 'Ah']","['3h', '2s', '4d']","['7s', '3d', '5h']",2,2
13,Turn,0,57,-57,RAISE,11,0,0,"['Ad', '7h']","['9d', '8h']","['8s', 'As', 'Ah', '3s']","['3h', '2s', '4d']","['7s', '3d', '5h']",8,8
13,Turn,1,57,-57,FOLD,0,0,0,"['Ad', '7h']","['9d', '8h']","['8s', 'As', 'Ah', '3s']","['3h', '2s', '4d']","['7s', '3d', '5h']",8,8
14,Pre-Flop,0,65,-65,CALL,0,0,0,"['8s', '4s', '6s', '5h', '4h']","['9d', '4d', '8h', '7d', '2s']",[],[],[],1,1
14,Pre-Flop,1,65,-65,RAISE,8,0,0,"['8s', '4s', '6s', '5h', '4h']","['9d', '4d', '8h', '7d', '2s']",[],[],[],2,2
14,Pre-Flop,0,65,-65,CALL,0,0,0,"['8s', '4s', '6s', '5h', '4h']","['9d', '4d', '8h', '7d', '2s']",[],[],[],2,2
14,Flop,1,65,-65,DISCARD,0,0,2,"['8s', '4s', '6s', '5h', '4h']","['9d', '4d', '8h', '7d', '2s']","['7h', 'Ad', '6h']",[],[],10,10
14,Flop,0,65,-65,DISCARD,0,3,4,"['8s', '4s', '6s', '5h', '4h']","['9d', '8h']","['7h', 'Ad', '6h']",[],"['4d', '7d', '2s']",10,10
14,Flop,1,65,-65,RAISE,6,0,0,"['5h', '4h']","['9d', '8h']","['7h', 'Ad', '6h']","['8s', '4s', '6s']","['4d', '7d', '2s']",10,10
14,Flop,0,65,-65,CALL,0,0,0,"['5h', '4h']","['9d', '8h']","['7h', 'Ad', '6h']","['8s', '4s', '6s']","['4d', '7d', '2s']",10,10
14,Turn,1,65,-65,RAISE,25,0,0,"['5h', '4h']","['9d', '8h']","['7h', 'Ad', '6h', '9s']","['8s', '4s', '6s']","['4d', '7d', '2s']",16,16
14,Turn,0,65,-65,CALL,0,0,0,"['5h', '4h']","['9d', '8h']","['7h', 'Ad', '6h', '9s']","['8s', '4s', '6s']","['4d', '7d', '2s']",16,16
14,River,1,65,-65,RAISE,59,0,0,"['5h', '4h']","['9d', '8h']","['7h', 'Ad', '6h', '9s', 'As']","['8s', '4s', '6s']","['4d', '7d', '2s']",41,41
14,River,0,65,-65,FOLD,0,0,0,"['5h', '4h']","['9d', '8h']","['7h', 'Ad', '6h', '9s', 'As']","['8s', '4s', '6s']","['4d', '7d', '2s']",41,41
15,Pre-Flop,1,24,-24,RAISE,9,0,0,"['Ah', '9s', 'Ad', '7h', '8s']","['6s', '7d', '8d', '9h', '2s']",[],[],[],1,1
15,Pre-Flop,0,24,-24,RAISE,21,0,0,"['Ah', '9s', 'Ad', '7h', '8s']","['6s', '7d', '8d', '9h', '2s']",[],[],[],2,2
15,Pre-Flop,1,24,-24,RAISE,32,0,0,"['Ah', '9s', 'Ad', '7h', '8s']","['6s', '7d', '8d', '9h', '2s']",[],[],[],11,11
15,Pre-Flop,0,24,-24,RAISE,36,0,0,"['Ah', '9s', 'Ad', '7h', '8s']","['6s', '7d', '8d', '9h', '2s']",[],[],[],32,32
15,Pre-Flop,1,24,-24,CALL,0,0,0,"['Ah', '9s', 'Ad', '7h', '8s']","['6s', '7d', '8d', '9h', '2s']",[],[],[],64,64
15,Flop,0,24,-24,DISCARD,0,0,2,"['Ah', '9s', 'Ad', '7h', '8s']","['6s', '7d', '8d', '9h', '2s']","['6d', '5s', '6h']",[],[],100,100
