# Team 0: Pulp Ficshun, Team 1: Pazare
hand_number,street,active_team,team_0_bankroll,team_1_bankroll,action_type,action_amount,action_keep_1,action_keep_2,team_0_cards,team_1_cards,board_cards,team_0_discarded,team_1_discarded,team_0_bet,team_1_bet
0,Pre-Flop,0,0,0,FOLD,0,0,0,"['3d', 'Ad', '3s', '7s', '4s']","['3h', '9s', '7d', '9d', '2s']",[],[],[],1,1
1,Pre-Flop,1,-1,1,CALL,0,0,0,"['5s', '7d', '4s', '8d', '2h']","['Ad', '4d', '5d', '7h', '9h']",[],[],[],1,1
1,Pre-Flop,0,-1,1,RAISE,11,0,0,"['5s', '7d', '4s', '8d', '2h']","['Ad', '4d', '5d', '7h', '9h']",[],[],[],2,2
1,Pre-Flop,1,-1,1,CALL,0,0,0,"['5s', '7d', '4s', '8d', '2h']","['Ad', '4d', '5d', '7h', '9h']",[],[],[],2,2
1,Flop,0,-1,1,DISCARD,0,0,2,"['5s', '7d', '4s', '8d', '2h']","['Ad', '4d', '5d', '7h', '9h']","['6d', '6s', '7s']",[],[],13,13
1,Flop,1,-1,1,DISCARD,0,2,3,"['5s', '4s']","['Ad', '4d', '5d', '7h', '9h']","['6d', '6s', '7s']","['7d', '8d', '2h']",[],13,13
1,Flop,0,-1,1,RAISE,13,0,0,"['5s', '4s']","['5d', '7h']","['6d', '6s', '7s']","['7d', '8d', '2h']","['Ad', '4d', '9h']",13,13
1,Flop,1,-1,1,FOLD,0,0,0,"['5s', '4s']","['5d', '7h']","['6d', '6s', '7s']","['7d', '8d', '2h']","['Ad', '4d', '9h']",13,13
2,Pre-Flop,0,12,-12,RAISE,2,0,0,"['2s', '9d', '6h', '5h', '9h']","['5s', '3d', '6d', '4s', '8d']",[],[],[],1,1
2,Pre-Flop,1,12,-12,CALL,0,0,0,"['2s', '9d', '6h', '5h', '9h']","['5s', '3d', '6d', '4s', '8d']",[],[],[],2,2
2,Flop,1,12,-12,DISCARD,0,2,4,"['2s', '9d', '6h', '5h', '9h']","['5s', '3d', '6d', '4s', '8d']","['Ah', '8s', '6s']",[],[],4,4
2,Flop,0,12,-12,DISCARD,0,1,4,"['2s', '9d', '6h', '5h', '9h']","['6d', '8d']","['Ah', '8s', '6s']",[],"['5s', '3d', '4s']",4,4
2,Flop,1,12,-12,CHECK,0,0,0,"['9d', '9h']","['6d', '8d']","['Ah', '8s', '6s']","['2s', '6h', '5h']","['5s', '3d', '4s']",4,4
2,Flop,0,12,-12,RAISE,5,0,0,"['9d', '9h']","['6d', '8d']","['Ah', '8s', '6s']","['2s', '6h', '5h']","['5s', '3d', '4s']",4,4
2,Flop,1,12,-12,CALL,0,0,0,"['9d', '9h']","['6d', '8d']","['Ah', '8s', '6s']","['2s', '6h', '5h']","['5s', '3d', '4s']",4,4
2,Turn,1,12,-12,CHECK,0,0,0,"['9d', '9h']","['6d', '8d']","['Ah', '8s', '6s', '7h']","['2s', '6h', '5h']","['5s', '3d', '4s']",9,9
