# Team 0: Stockfish 🐟 3.0, Team 1: Ctrl+Alt+Defeat
hand_number,street,active_team,team_0_bankroll,team_1_bankroll,action_type,action_amount,action_keep_1,action_keep_2,team_0_cards,team_1_cards,board_cards,team_0_discarded,team_1_discarded,team_0_bet,team_1_bet
0,Pre-Flop,0,0,0,CALL,0,0,0,"['6s', '4s', 'Ah', '2d', '5s']","['3h', '2s', '9d', '2h', '3s']",[],[],[],1,1
0,Pre-Flop,1,0,0,CHECK,0,0,0,"['6s', '4s', 'Ah', '2d', '5s']","['3h', '2s', '9d', '2h', '3s']",[],[],[],2,2
0,Flop,1,0,0,DISCARD,0,0,4,"['6s', '4s', 'Ah', '2d', '5s']","['3h', '2s', '9d', '2h', '3s']","['3d', '9s', '8s']",[],[],2,2
0,Flop,0,0,0,DISCARD,0,0,4,"['6s', '4s', 'Ah', '2d', '5s']","['3h', '3s']","['3d', '9s', '8s']",[],"['2s', '9d', '2h']",2,2
0,Flop,1,0,0,RAISE,2,0,0,"['6s', '5s']","['3h', '3s']","['3d', '9s', '8s']","['4s', 'Ah', '2d']","['2s', '9d', '2h']",2,2
0,Flop,0,0,0,CALL,0,0,0,"['6s', '5s']","['3h', '3s']","['3d', '9s', '8s']","['4s', 'Ah', '2d']","['2s', '9d', '2h']",2,2
0,Turn,1,0,0,RAISE,2,0,0,"['6s', '5s']","['3h', '3s']","['3d', '9s', '8s', '6h']","['4s', 'Ah', '2d']","['2s', '9d', '2h']",4,4
0,Turn,0,0,0,CALL,0,0,0,"['6s', '5s']","['3h', '3s']","['3d', '9s', '8s', '6h']","['4s', 'Ah', '2d']","['2s', '9d', '2h']",4,4
0,River,1,0,0,RAISE,94,0,0,"['6s', '5s']","['3h', '3s']","['3d', '9s', '8s', '6h', '4d']","['4s', 'Ah', '2d']","['2s', '9d', '2h']",6,6
0,River,0,0,0,FOLD,0,0,0,"['6s', '5s']","['3h', '3s']","['3d', '9s', '8s', '6h', '4d']","['4s', 'Ah', '2d']","['2s', '9d', '2h']",6,6
1,Pre-Flop,1,-6,6,RAISE,2,0,0,"['2s', '7h', '6s', '8d', 'Ah']","['As', '6h', '9d', '2h', '4d']",[],[],[],1,1
1,Pre-Flop,0,-6,6,CALL,0,0,0,"['2s', '7h', '6s', '8d', 'Ah']","['As', '6h', '9d', '2h', '4d']",[],[],[],2,2
1,Flop,0,-6,6,DISCARD,0,1,4,"['2s', '7h', '6s', '8d', 'Ah']","['As', '6h', '9d', '2h', '4d']","['3h', '5h', '9s']",[],[],4,4
1,Flop,1,-6,6,DISCARD,0,0,2,"['7h', 'Ah']","['As', '6h', '9d', '2h', '4d']","['3h', '5h', '9s']","['2s', '6s', '8d']",[],4,4
1,Flop,0,-6,6,CHECK,0,0,0,"['7h', 'Ah']","['As', '9d']","['3h', '5h', '9s']","['2s', '6s', '8d']","['6h', '2h', '4d']",4,4
1,Flop,1,-6,6,CHECK,0,0,0,"['7h', 'Ah']","['As', '9d']","['3h', '5h', '9s']","['2s', '6s', '8d']","['6h', '2h', '4d']",4,4
1,Turn,0,-6,6,RAISE,8,0,0,"['7h', 'Ah']","['As', '9d']","['3h', '5h', '9s', '7d']","['2s', '6s', '8d']","['6h', '2h', '4d']",4,4
1,Turn,1,-6,6,FOLD,0,0,0,"['7h', 'Ah']","['As', '9d']","['3h', '5h', '9s', '7d']","['2s', '6s', '8d']","['6h', '2h', '4d']",4,4
