# Team 0: ALL IN, Team 1: Ctrl+Alt+Defeat
hand_number,street,active_team,team_0_bankroll,team_1_bankroll,action_type,action_amount,action_keep_1,action_keep_2,team_0_cards,team_1_cards,board_cards,team_0_discarded,team_1_discarded,team_0_bet,team_1_bet
0,Pre-Flop,0,0,0,RAISE,6,0,0,"['3s', '5d', '6h', 'As', '5s']","['3d', '9d', '6d', '5h', '3h']",[],[],[],1,1
0,Pre-Flop,1,0,0,FOLD,0,0,0,"['3s', '5d', '6h', 'As', '5s']","['3d', '9d', '6d', '5h', '3h']",[],[],[],2,2
1,Pre-Flop,1,2,-2,RAISE,8,0,0,"['Ah', '9h', '8s', '4h', '3d']","['8h', '6h', '9s', '7d', '3s']",[],[],[],1,1
1,Pre-Flop,0,2,-2,CALL,0,0,0,"['Ah', '9h', '8s', '4h', '3d']","['8h', '6h', '9s', '7d', '3s']",[],[],[],2,2
1,Flop,0,2,-2,DISCARD,0,0,4,"['Ah', '9h', '8s', '4h', '3d']","['8h', '6h', '9s', '7d', '3s']","['2d', '3h', 'Ad']",[],[],10,10
1,Flop,1,2,-2,DISCARD,0,3,4,"['Ah', '3d']","['8h', '6h', '9s', '7d', '3s']","['2d', '3h', 'Ad']","['9h', '8s', '4h']",[],10,10
1,Flop,0,2,-2,CHECK,0,0,0,"['Ah', '3d']","['7d', '3s']","['2d', '3h', 'Ad']","['9h', '8s', '4h']","['8h', '6h', '9s']",10,10
1,Flop,1,2,-2,CHECK,0,0,0,"['Ah', '3d']","['7d', '3s']","['2d', '3h', 'Ad']","['9h', '8s', '4h']","['8h', '6h', '9s']",10,10
1,Turn,0,2,-2,RAISE,6,0,0,"['Ah', '3d']","['7d', '3s']","['2d', '3h', 'Ad', '7s']","['9h', '8s', '4h']","['8h', '6h', '9s']",10,10
1,Turn,1,2,-2,CALL,0,0,0,"['Ah', '3d']","['7d', '3s']","['2d', '3h', 'Ad', '7s']","['9h', '8s', '4h']","['8h', '6h', '9s']",10,10
1,River,0,2,-2,CHECK,0,0,0,"['Ah', '3d']","['7d', '3s']","['2d', '3h', 'Ad', '7s', '9d']","['9h', '8s', '4h']","['8h', '6h', '9s']",16,16
1,River,1,2,-2,CHECK,0,0,0,"['Ah', '3d']","['7d', '3s']","['2d', '3h', 'Ad', '7s', '9d']","['9h', '8s', '4h']","['8h', '6h', '9s']",16,16
2,Pre-Flop,0,18,-18,CALL,0,0,0,"['7h', '8h', '9d', '4d', '3h']","['6h', '9s', '2d', '5h', '8s']",[],[],[],1,1
2,Pre-Flop,1,18,-18,RAISE,13,0,0,"['7h', '8h', '9d', '4d', '3h']","['6h', '9s', '2d', '5h', '8s']",[],[],[],2,2
2,Pre-Flop,0,18,-18,CALL,0,0,0,"['7h', '8h', '9d', '4d', '3h']","['6h', '9s', '2d', '5h', '8s']",[],[],[],2,2
2,Flop,1,18,-18,DISCARD,0,0,4,"['7h', '8h', '9d', '4d', '3h']","['6h', '9s', '2d', '5h', '8s']","['7d', '4s', '5d']",[],[],15,15
2,Flop,0,18,-18,DISCARD,0,2,3,"['7h', '8h', '9d', '4d', '3h']","['6h', '8s']","['7d', '4s', '5d']",[],"['9s', '2d', '5h']",15,15
2,Flop,1,18,-18,CHECK,0,0,0,"['9d', '4d']","['6h', '8s']","['7d', '4s', '5d']","['7h', '8h', '3h']","['9s', '2d', '5h']",15,15
2,Flop,0,18,-18,RAISE,9,0,0,"['9d', '4d']","['6h', '8s']","['7d', '4s', '5d']","['7h', '8h', '3h']","['9s', '2d', '5h']",15,15
