# Team 0: Poker? I Barely Know Her, Team 1: Ctrl+Alt+Defeat
hand_number,street,active_team,team_0_bankroll,team_1_bankroll,action_type,action_amount,action_keep_1,action_keep_2,team_0_cards,team_1_cards,board_cards,team_0_discarded,team_1_discarded,team_0_bet,team_1_bet
0,Pre-Flop,0,0,0,RAISE,4,0,0,"['8d', '5d', '9s', '8h', 'Ad']","['7s', '7d', '9h', '4d', '8s']",[],[],[],1,1
0,Pre-Flop,1,0,0,RAISE,10,0,0,"['8d', '5d', '9s', '8h', 'Ad']","['7s', '7d', '9h', '4d', '8s']",[],[],[],2,2
0,Pre-Flop,0,0,0,CALL,0,0,0,"['8d', '5d', '9s', '8h', 'Ad']","['7s', '7d', '9h', '4d', '8s']",[],[],[],6,6
0,Flop,1,0,0,DISCARD,0,1,3,"['8d', '5d', '9s', '8h', 'Ad']","['7s', '7d', '9h', '4d', '8s']","['3h', '6d', '5s']",[],[],16,16
0,Flop,0,0,0,DISCARD,0,1,4,"['8d', '5d', '9s', '8h', 'Ad']","['7d', '4d']","['3h', '6d', '5s']",[],"['7s', '9h', '8s']",16,16
0,Flop,1,0,0,RAISE,16,0,0,"['5d', 'Ad']","['7d', '4d']","['3h', '6d', '5s']","['8d', '9s', '8h']","['7s', '9h', '8s']",16,16
0,Flop,0,0,0,CALL,0,0,0,"['5d', 'Ad']","['7d', '4d']","['3h', '6d', '5s']","['8d', '9s', '8h']","['7s', '9h', '8s']",16,16
0,Turn,1,0,0,RAISE,38,0,0,"['5d', 'Ad']","['7d', '4d']","['3h', '6d', '5s', '2d']","['8d', '9s', '8h']","['7s', '9h', '8s']",32,32
0,Turn,0,0,0,FOLD,0,0,0,"['5d', 'Ad']","['7d', '4d']","['3h', '6d', '5s', '2d']","['8d', '9s', '8h']","['7s', '9h', '8s']",32,32
1,Pre-Flop,1,-32,32,RAISE,2,0,0,"['4s', '5d', '4h', '7d', '2d']","['8d', 'As', 'Ah', '3h', '9s']",[],[],[],1,1
1,Pre-Flop,0,-32,32,CALL,0,0,0,"['4s', '5d', '4h', '7d', '2d']","['8d', 'As', 'Ah', '3h', '9s']",[],[],[],2,2
1,Flop,0,-32,32,DISCARD,0,1,3,"['4s', '5d', '4h', '7d', '2d']","['8d', 'As', 'Ah', '3h', '9s']","['3s', '8s', '9h']",[],[],4,4
1,Flop,1,-32,32,DISCARD,0,1,4,"['5d', '7d']","['8d', 'As', 'Ah', '3h', '9s']","['3s', '8s', '9h']","['4s', '4h', '2d']",[],4,4
1,Flop,0,-32,32,CHECK,0,0,0,"['5d', '7d']","['As', '9s']","['3s', '8s', '9h']","['4s', '4h', '2d']","['8d', 'Ah', '3h']",4,4
1,Flop,1,-32,32,RAISE,5,0,0,"['5d', '7d']","['As', '9s']","['3s', '8s', '9h']","['4s', '4h', '2d']","['8d', 'Ah', '3h']",4,4
1,Flop,0,-32,32,FOLD,0,0,0,"['5d', '7d']","['As', '9s']","['3s', '8s', '9h']","['4s', '4h', '2d']","['8d', 'Ah', '3h']",4,4
2,Pre-Flop,0,-36,36,CALL,0,0,0,"['9d', '2s', '4h', '8h', 'As']","['2d', '6h', '7s', '5h', '3h']",[],[],[],1,1
2,Pre-Flop,1,-36,36,CHECK,0,0,0,"['9d', '2s', '4h', '8h', 'As']","['2d', '6h', '7s', '5h', '3h']",[],[],[],2,2
2,Flop,1,-36,36,DISCARD,0,2,4,"['9d', '2s', '4h', '8h', 'As']","['2d', '6h', '7s', '5h', '3h']","['5d', '4s', '6d']",[],[],2,2
2,Flop,0,-36,36,DISCARD,0,0,3,"['9d', '2s', '4h', '8h', 'As']","['7s', '3h']","['5d', '4s', '6d']",[],"['2d', '6h', '5h']",2,2
2,Flop,1,-36,36,CHECK,0,0,0,"['9d', '8h']","['7s', '3h']","['5d', '4s', '6d']","['2s', '4h', 'As']","['2d', '6h', '5h']",2,2
2,Flop,0,-36,36,CHECK,0,0,0,"['9d', '8h']","['7s', '3h']","['5d', '4s', '6d']","['2s', '4h', 'As']","['2d', '6h', '5h']",2,2
2,Turn,1,-36,36,RAISE,2,0,0,"['9d', '8h']","['7s', '3h']","['5d', '4s', '6d', '8s']","['2s', '4h', 'As']","['2d', '6h', '5h']",2,2
2,Turn,0,-36,36,FOLD,0,0,0,"['9d', '8h']","['7s', '3h']","['5d', '4s', '6d', '8s']","['2s', '4h', 'As']","['2d', '6h', '5h']",2,2
3,Pre-Flop,1,-38,38,RAISE,11,0,0,"['3h', '4s', '3s', '8d', '3d']","['8h', 'As', '4h', '7d', '5s']",[],[],[],1,1
3,Pre-Flop,0,-38,38,RAISE,17,0,0,"['3h', '4s', '3s', '8d', '3d']","['8h', 'As', '4h', '7d', '5s']",[],[],[],2,2
3,Pre-Flop,1,-38,38,RAISE,38,0,0,"['3h', '4s', '3s', '8d', '3d']","['8h', 'As', '4h', '7d', '5s']",[],[],[],13,13
3,Pre-Flop,0,-38,38,RAISE,32,0,0,"['3h', '4s', '3s', '8d', '3d']","['8h', 'As', '4h', '7d', '5s']",[],[],[],30,30
3,Pre-Flop,1,-38,38,CALL,0,0,0,"['3h', '4s', '3s', '8d', '3d']","['8h', 'As', '4h', '7d', '5s']",[],[],[],68,68
