# Team 0: Pulp Ficshun, Team 1: Poker? I Barely Know Her
hand_number,street,active_team,team_0_bankroll,team_1_bankroll,action_type,action_amount,action_keep_1,action_keep_2,team_0_cards,team_1_cards,board_cards,team_0_discarded,team_1_discarded,team_0_bet,team_1_bet
0,Pre-Flop,0,0,0,RAISE,2,0,0,"['9d', '3h', '7d', 'Ad', '8s']","['As', '9s', '9h', '3s', '8h']",[],[],[],1,1
0,Pre-Flop,1,0,0,RAISE,4,0,0,"['9d', '3h', '7d', 'Ad', '8s']","['As', '9s', '9h', '3s', '8h']",[],[],[],2,2
0,Pre-Flop,0,0,0,RAISE,10,0,0,"['9d', '3h', '7d', 'Ad', '8s']","['As', '9s', '9h', '3s', '8h']",[],[],[],4,4
0,Pre-Flop,1,0,0,RAISE,37,0,0,"['9d', '3h', '7d', 'Ad', '8s']","['As', '9s', '9h', '3s', '8h']",[],[],[],8,8
0,Pre-Flop,0,0,0,RAISE,45,0,0,"['9d', '3h', '7d', 'Ad', '8s']","['As', '9s', '9h', '3s', '8h']",[],[],[],18,18
0,Pre-Flop,1,0,0,CALL,0,0,0,"['9d', '3h', '7d', 'Ad', '8s']","['As', '9s', '9h', '3s', '8h']",[],[],[],55,55
0,Flop,1,0,0,DISCARD,0,1,2,"['9d', '3h', '7d', 'Ad', '8s']","['As', '9s', '9h', '3s', '8h']","['6s', '5d', '2h']",[],[],100,100
0,Flop,0,0,0,DISCARD,0,2,4,"['9d', '3h', '7d', 'Ad', '8s']","['9s', '9h']","['6s', '5d', '2h']",[],"['As', '3s', '8h']",100,100
0,Flop,1,0,0,CHECK,0,0,0,"['7d', '8s']","['9s', '9h']","['6s', '5d', '2h']","['9d', '3h', 'Ad']","['As', '3s', '8h']",100,100
0,Flop,0,0,0,CHECK,0,0,0,"['7d', '8s']","['9s', '9h']","['6s', '5d', '2h']","['9d', '3h', 'Ad']","['As', '3s', '8h']",100,100
0,Turn,1,0,0,CHECK,0,0,0,"['7d', '8s']","['9s', '9h']","['6s', '5d', '2h', '7h']","['9d', '3h', 'Ad']","['As', '3s', '8h']",100,100
0,Turn,0,0,0,CHECK,0,0,0,"['7d', '8s']","['9s', '9h']","['6s', '5d', '2h', '7h']","['9d', '3h', 'Ad']","['As', '3s', '8h']",100,100
0,River,1,0,0,CHECK,0,0,0,"['7d', '8s']","['9s', '9h']","['6s', '5d', '2h', '7h', '4d']","['9d', '3h', 'Ad']","['As', '3s', '8h']",100,100
0,River,0,0,0,CHECK,0,0,0,"['7d', '8s']","['9s', '9h']","['6s', '5d', '2h', '7h', '4d']","['9d', '3h', 'Ad']","['As', '3s', '8h']",100,100
1,Pre-Flop,1,100,-100,RAISE,2,0,0,"['5s', '6d', '6s', 'As', '4h']","['2s', '7s', '9h', '8h', '9d']",[],[],[],1,1
1,Pre-Flop,0,100,-100,RAISE,8,0,0,"['5s', '6d', '6s', 'As', '4h']","['2s', '7s', '9h', '8h', '9d']",[],[],[],2,2
1,Pre-Flop,1,100,-100,CALL,0,0,0,"['5s', '6d', '6s', 'As', '4h']","['2s', '7s', '9h', '8h', '9d']",[],[],[],4,4
