# Team 0: Pulp Ficshun, Team 1: Ctrl+Alt+Defeat
hand_number,street,active_team,team_0_bankroll,team_1_bankroll,action_type,action_amount,action_keep_1,action_keep_2,team_0_cards,team_1_cards,board_cards,team_0_discarded,team_1_discarded,team_0_bet,team_1_bet
0,Pre-Flop,0,0,0,FOLD,0,0,0,"['3h', '4s', '7h', '2s', '5s']","['7s', '9d', '5h', 'Ah', '9h']",[],[],[],1,1
1,Pre-Flop,1,-1,1,RAISE,2,0,0,"['6s', '9s', '5s', '8d', '9h']","['8s', '4h', '7h', 'As', '2h']",[],[],[],1,1
1,Pre-Flop,0,-1,1,RAISE,4,0,0,"['6s', '9s', '5s', '8d', '9h']","['8s', '4h', '7h', 'As', '2h']",[],[],[],2,2
1,Pre-Flop,1,-1,1,RAISE,9,0,0,"['6s', '9s', '5s', '8d', '9h']","['8s', '4h', '7h', 'As', '2h']",[],[],[],4,4
1,Pre-Flop,0,-1,1,RAISE,83,0,0,"['6s', '9s', '5s', '8d', '9h']","['8s', '4h', '7h', 'As', '2h']",[],[],[],8,8
1,Pre-Flop,1,-1,1,CALL,0,0,0,"['6s', '9s', '5s', '8d', '9h']","['8s', '4h', '7h', 'As', '2h']",[],[],[],17,17
1,Flop,0,-1,1,DISCARD,0,0,1,"['6s', '9s', '5s', '8d', '9h']","['8s', '4h', '7h', 'As', '2h']","['2s', '6h', '7s']",[],[],100,100
1,Flop,1,-1,1,DISCARD,0,2,4,"['6s', '9s']","['8s', '4h', '7h', 'As', '2h']","['2s', '6h', '7s']","['5s', '8d', '9h']",[],100,100
1,Flop,0,-1,1,CHECK,0,0,0,"['6s', '9s']","['7h', '2h']","['2s', '6h', '7s']","['5s', '8d', '9h']","['8s', '4h', 'As']",100,100
1,Flop,1,-1,1,CHECK,0,0,0,"['6s', '9s']","['7h', '2h']","['2s', '6h', '7s']","['5s', '8d', '9h']","['8s', '4h', 'As']",100,100
1,Turn,0,-1,1,CHECK,0,0,0,"['6s', '9s']","['7h', '2h']","['2s', '6h', '7s', '4d']","['5s', '8d', '9h']","['8s', '4h', 'As']",100,100
1,Turn,1,-1,1,CHECK,0,0,0,"['6s', '9s']","['7h', '2h']","['2s', '6h', '7s', '4d']","['5s', '8d', '9h']","['8s', '4h', 'As']",100,100
1,River,0,-1,1,CHECK,0,0,0,"['6s', '9s']","['7h', '2h']","['2s', '6h', '7s', '4d', '3d']","['5s', '8d', '9h']","['8s', '4h', 'As']",100,100
1,River,1,-1,1,CHECK,0,0,0,"['6s', '9s']","['7h', '2h']","['2s', '6h', '7s', '4d', '3d']","['5s', '8d', '9h']","['8s', '4h', 'As']",100,100
2,Pre-Flop,0,-101,101,RAISE,13,0,0,"['9d', '3s', '7d', '9s', '2h']","['8s', 'As', '7h', 'Ad', '4h']",[],[],[],1,1
2,Pre-Flop,1,-101,101,RAISE,85,0,0,"['9d', '3s', '7d', '9s', '2h']","['8s', 'As', '7h', 'Ad', '4h']",[],[],[],2,2
2,Pre-Flop,0,-101,101,CALL,0,0,0,"['9d', '3s', '7d', '9s', '2h']","['8s', 'As', '7h', 'Ad', '4h']",[],[],[],15,15
2,Flop,1,-101,101,DISCARD,0,0,4,"['9d', '3s', '7d', '9s', '2h']","['8s', 'As', '7h', 'Ad', '4h']","['8d', '4d', '7s']",[],[],100,100
2,Flop,0,-101,101,DISCARD,0,0,2,"['9d', '3s', '7d', '9s', '2h']","['8s', '4h']","['8d', '4d', '7s']",[],"['As', '7h', 'Ad']",100,100
2,Flop,1,-101,101,CHECK,0,0,0,"['9d', '7d']","['8s', '4h']","['8d', '4d', '7s']","['3s', '9s', '2h']","['As', '7h', 'Ad']",100,100
2,Flop,0,-101,101,CHECK,0,0,0,"['9d', '7d']","['8s', '4h']","['8d', '4d', '7s']","['3s', '9s', '2h']","['As', '7h', 'Ad']",100,100
2,Turn,1,-101,101,CHECK,0,0,0,"['9d', '7d']","['8s', '4h']","['8d', '4d', '7s', '5h']","['3s', '9s', '2h']","['As', '7h', 'Ad']",100,100
2,Turn,0,-101,101,CHECK,0,0,0,"['9d', '7d']","['8s', '4h']","['8d', '4d', '7s', '5h']","['3s', '9s', '2h']","['As', '7h', 'Ad']",100,100
2,River,1,-101,101,CHECK,0,0,0,"['9d', '7d']","['8s', '4h']","['8d', '4d', '7s', '5h', '6s']","['3s', '9s', '2h']","['As', '7h', 'Ad']",100,100
2,River,0,-101,101,CHECK,0,0,0,"['9d', '7d']","['8s', '4h']","['8d', '4d', '7s', '5h', '6s']","['3s', '9s', '2h']","['As', '7h', 'Ad']",100,100
3,Pre-Flop,1,-1,1,RAISE,2,0,0,"['6d', '5h', '2d', '9s', '4h']","['8d', '5s', '7h', '3d', '7d']",[],[],[],1,1
