# Team 0: Pulp Ficshun, Team 1: JumpStreet
hand_number,street,active_team,team_0_bankroll,team_1_bankroll,action_type,action_amount,action_keep_1,action_keep_2,team_0_cards,team_1_cards,board_cards,team_0_discarded,team_1_discarded,team_0_bet,team_1_bet
0,Pre-Flop,0,0,0,RAISE,2,0,0,"['4d', '8h', 'Ah', '2h', 'As']","['9s', '7h', '9h', '3d', '7s']",[],[],[],1,1
0,Pre-Flop,1,0,0,RAISE,5,0,0,"['4d', '8h', 'Ah', '2h', 'As']","['9s', '7h', '9h', '3d', '7s']",[],[],[],2,2
0,Pre-Flop,0,0,0,RAISE,13,0,0,"['4d', '8h', 'Ah', '2h', 'As']","['9s', '7h', '9h', '3d', '7s']",[],[],[],4,4
0,Pre-Flop,1,0,0,RAISE,78,0,0,"['4d', '8h', 'Ah', '2h', 'As']","['9s', '7h', '9h', '3d', '7s']",[],[],[],9,9
0,Pre-Flop,0,0,0,CALL,0,0,0,"['4d', '8h', 'Ah', '2h', 'As']","['9s', '7h', '9h', '3d', '7s']",[],[],[],22,22
0,Flop,1,0,0,DISCARD,0,0,2,"['4d', '8h', 'Ah', '2h', 'As']","['9s', '7h', '9h', '3d', '7s']","['4s', '4h', '6d']",[],[],100,100
0,Flop,0,0,0,DISCARD,0,0,3,"['4d', '8h', 'Ah', '2h', 'As']","['9s', '9h']","['4s', '4h', '6d']",[],"['7h', '3d', '7s']",100,100
0,Flop,1,0,0,CHECK,0,0,0,"['4d', '2h']","['9s', '9h']","['4s', '4h', '6d']","['8h', 'Ah', 'As']","['7h', '3d', '7s']",100,100
0,Flop,0,0,0,CHECK,0,0,0,"['4d', '2h']","['9s', '9h']","['4s', '4h', '6d']","['8h', 'Ah', 'As']","['7h', '3d', '7s']",100,100
0,Turn,1,0,0,CHECK,0,0,0,"['4d', '2h']","['9s', '9h']","['4s', '4h', '6d', '8d']","['8h', 'Ah', 'As']","['7h', '3d', '7s']",100,100
0,Turn,0,0,0,CHECK,0,0,0,"['4d', '2h']","['9s', '9h']","['4s', '4h', '6d', '8d']","['8h', 'Ah', 'As']","['7h', '3d', '7s']",100,100
0,River,1,0,0,CHECK,0,0,0,"['4d', '2h']","['9s', '9h']","['4s', '4h', '6d', '8d', '9d']","['8h', 'Ah', 'As']","['7h', '3d', '7s']",100,100
0,River,0,0,0,CHECK,0,0,0,"['4d', '2h']","['9s', '9h']","['4s', '4h', '6d', '8d', '9d']","['8h', 'Ah', 'As']","['7h', '3d', '7s']",100,100
