# Team 0: sheep army, Team 1: Pulp Ficshun
hand_number,street,active_team,team_0_bankroll,team_1_bankroll,action_type,action_amount,action_keep_1,action_keep_2,team_0_cards,team_1_cards,board_cards,team_0_discarded,team_1_discarded,team_0_bet,team_1_bet
0,Pre-Flop,0,0,0,RAISE,7,0,0,"['9d', '8d', '8s', '7d', '2d']","['8h', '7h', '6s', '9h', '2s']",[],[],[],1,1
0,Pre-Flop,1,0,0,RAISE,18,0,0,"['9d', '8d', '8s', '7d', '2d']","['8h', '7h', '6s', '9h', '2s']",[],[],[],2,2
0,Pre-Flop,0,0,0,FOLD,0,0,0,"['9d', '8d', '8s', '7d', '2d']","['8h', '7h', '6s', '9h', '2s']",[],[],[],9,9
1,Pre-Flop,1,-9,9,RAISE,2,0,0,"['7h', '4h', '5d', '4s', '9s']","['4d', '3h', '9h', 'As', '9d']",[],[],[],1,1
1,Pre-Flop,0,-9,9,CALL,0,0,0,"['7h', '4h', '5d', '4s', '9s']","['4d', '3h', '9h', 'As', '9d']",[],[],[],2,2
1,Flop,0,-9,9,DISCARD,0,1,3,"['7h', '4h', '5d', '4s', '9s']","['4d', '3h', '9h', 'As', '9d']","['2d', '8d', '2s']",[],[],4,4
1,Flop,1,-9,9,DISCARD,0,2,4,"['4h', '4s']","['4d', '3h', '9h', 'As', '9d']","['2d', '8d', '2s']","['7h', '5d', '9s']",[],4,4
1,Flop,0,-9,9,RAISE,4,0,0,"['4h', '4s']","['9h', '9d']","['2d', '8d', '2s']","['7h', '5d', '9s']","['4d', '3h', 'As']",4,4
1,Flop,1,-9,9,RAISE,7,0,0,"['4h', '4s']","['9h', '9d']","['2d', '8d', '2s']","['7h', '5d', '9s']","['4d', '3h', 'As']",4,4
1,Flop,0,-9,9,FOLD,0,0,0,"['4h', '4s']","['9h', '9d']","['2d', '8d', '2s']","['7h', '5d', '9s']","['4d', '3h', 'As']",8,8
2,Pre-Flop,0,-17,17,RAISE,7,0,0,"['5h', 'Ad', '6h', '8h', '5s']","['2h', 'As', '8d', '9d', '7h']",[],[],[],1,1
2,Pre-Flop,1,-17,17,RAISE,11,0,0,"['5h', 'Ad', '6h', '8h', '5s']","['2h', 'As', '8d', '9d', '7h']",[],[],[],2,2
2,Pre-Flop,0,-17,17,CALL,0,0,0,"['5h', 'Ad', '6h', '8h', '5s']","['2h', 'As', '8d', '9d', '7h']",[],[],[],9,9
2,Flop,1,-17,17,DISCARD,0,2,3,"['5h', 'Ad', '6h', '8h', '5s']","['2h', 'As', '8d', '9d', '7h']","['3h', '3d', '8s']",[],[],20,20
2,Flop,0,-17,17,DISCARD,0,1,3,"['5h', 'Ad', '6h', '8h', '5s']","['8d', '9d']","['3h', '3d', '8s']",[],"['2h', 'As', '7h']",20,20
2,Flop,1,-17,17,RAISE,14,0,0,"['Ad', '8h']","['8d', '9d']","['3h', '3d', '8s']","['5h', '6h', '5s']","['2h', 'As', '7h']",20,20
2,Flop,0,-17,17,CALL,0,0,0,"['Ad', '8h']","['8d', '9d']","['3h', '3d', '8s']","['5h', '6h', '5s']","['2h', 'As', '7h']",20,20
2,Turn,1,-17,17,CHECK,0,0,0,"['Ad', '8h']","['8d', '9d']","['3h', '3d', '8s', '4h']","['5h', '6h', '5s']","['2h', 'As', '7h']",34,34
2,Turn,0,-17,17,RAISE,36,0,0,"['Ad', '8h']","['8d', '9d']","['3h', '3d', '8s', '4h']","['5h', '6h', '5s']","['2h', 'As', '7h']",34,34
2,Turn,1,-17,17,CALL,0,0,0,"['Ad', '8h']","['8d', '9d']","['3h', '3d', '8s', '4h']","['5h', '6h', '5s']","['2h', 'As', '7h']",34,34
2,River,1,-17,17,CHECK,0,0,0,"['Ad', '8h']","['8d', '9d']","['3h', '3d', '8s', '4h', '7s']","['5h', '6h', '5s']","['2h', 'As', '7h']",70,70
2,River,0,-17,17,RAISE,30,0,0,"['Ad', '8h']","['8d', '9d']","['3h', '3d', '8s', '4h', '7s']","['5h', '6h', '5s']","['2h', 'As', '7h']",70,70
2,River,1,-17,17,CALL,0,0,0,"['Ad', '8h']","['8d', '9d']","['3h', '3d', '8s', '4h', '7s']","['5h', '6h', '5s']","['2h', 'As', '7h']",70,70
3,Pre-Flop,1,83,-83,RAISE,2,0,0,"['2h', '3s', '9d', '3d', '4s']","['4h', '8d', '6s', '5s', 'Ah']",[],[],[],1,1
3,Pre-Flop,0,83,-83,CALL,0,0,0,"['2h', '3s', '9d', '3d', '4s']","['4h', '8d', '6s', '5s', 'Ah']",[],[],[],2,2
3,Flop,0,83,-83,DISCARD,0,3,4,"['2h', '3s', '9d', '3d', '4s']","['4h', '8d', '6s', '5s', 'Ah']","['5h', 'Ad', '2d']",[],[],4,4
3,Flop,1,83,-83,DISCARD,0,3,4,"['3d', '4s']","['4h', '8d', '6s', '5s', 'Ah']","['5h', 'Ad', '2d']","['2h', '3s', '9d']",[],4,4
3,Flop,0,83,-83,RAISE,6,0,0,"['3d', '4s']","['5s', 'Ah']","['5h', 'Ad', '2d']","['2h', '3s', '9d']","['4h', '8d', '6s']",4,4
3,Flop,1,83,-83,RAISE,7,0,0,"['3d', '4s']","['5s', 'Ah']","['5h', 'Ad', '2d']","['2h', '3s', '9d']","['4h', '8d', '6s']",4,4
3,Flop,0,83,-83,RAISE,22,0,0,"['3d', '4s']","['5s', 'Ah']","['5h', 'Ad', '2d']","['2h', '3s', '9d']","['4h', '8d', '6s']",10,10
3,Flop,1,83,-83,RAISE,35,0,0,"['3d', '4s']","['5s', 'Ah']","['5h', 'Ad', '2d']","['2h', '3s', '9d']","['4h', '8d', '6s']",17,17
3,Flop,0,83,-83,RAISE,26,0,0,"['3d', '4s']","['5s', 'Ah']","['5h', 'Ad', '2d']","['2h', '3s', '9d']","['4h', '8d', '6s']",39,39
3,Flop,1,83,-83,CALL,0,0,0,"['3d', '4s']","['5s', 'Ah']","['5h', 'Ad', '2d']","['2h', '3s', '9d']","['4h', '8d', '6s']",74,74
3,Turn,0,83,-83,CHECK,0,0,0,"['3d', '4s']","['5s', 'Ah']","['5h', 'Ad', '2d', '2s']","['2h', '3s', '9d']","['4h', '8d', '6s']",100,100
3,Turn,1,83,-83,CHECK,0,0,0,"['3d', '4s']","['5s', 'Ah']","['5h', 'Ad', '2d', '2s']","['2h', '3s', '9d']","['4h', '8d', '6s']",100,100
3,River,0,83,-83,CHECK,0,0,0,"['3d', '4s']","['5s', 'Ah']","['5h', 'Ad', '2d', '2s', '8s']","['2h', '3s', '9d']","['4h', '8d', '6s']",100,100
3,River,1,83,-83,CHECK,0,0,0,"['3d', '4s']","['5s', 'Ah']","['5h', 'Ad', '2d', '2s', '8s']","['2h', '3s', '9d']","['4h', '8d', '6s']",100,100
4,Pre-Flop,0,183,-183,RAISE,7,0,0,"['3d', '8h', '3s', '6s', '4h']","['7s', '4d', '7h', '7d', '6h']",[],[],[],1,1
4,Pre-Flop,1,183,-183,FOLD,0,0,0,"['3d', '8h', '3s', '6s', '4h']","['7s', '4d', '7h', '7d', '6h']",[],[],[],2,2
5,Pre-Flop,1,185,-185,RAISE,2,0,0,"['4d', '7h', '8s', '8h', '7d']","['6s', '6h', '7s', '3h', '3s']",[],[],[],1,1
5,Pre-Flop,0,185,-185,CALL,0,0,0,"['4d', '7h', '8s', '8h', '7d']","['6s', '6h', '7s', '3h', '3s']",[],[],[],2,2
5,Flop,0,185,-185,DISCARD,0,2,3,"['4d', '7h', '8s', '8h', '7d']","['6s', '6h', '7s', '3h', '3s']","['As', 'Ah', '6d']",[],[],4,4
5,Flop,1,185,-185,DISCARD,0,0,1,"['8s', '8h']","['6s', '6h', '7s', '3h', '3s']","['As', 'Ah', '6d']","['4d', '7h', '7d']",[],4,4
5,Flop,0,185,-185,RAISE,4,0,0,"['8s', '8h']","['6s', '6h']","['As', 'Ah', '6d']","['4d', '7h', '7d']","['7s', '3h', '3s']",4,4
5,Flop,1,185,-185,RAISE,5,0,0,"['8s', '8h']","['6s', '6h']","['As', 'Ah', '6d']","['4d', '7h', '7d']","['7s', '3h', '3s']",4,4
5,Flop,0,185,-185,CALL,0,0,0,"['8s', '8h']","['6s', '6h']","['As', 'Ah', '6d']","['4d', '7h', '7d']","['7s', '3h', '3s']",8,8
5,Turn,0,185,-185,RAISE,13,0,0,"['8s', '8h']","['6s', '6h']","['As', 'Ah', '6d', '4h']","['4d', '7h', '7d']","['7s', '3h', '3s']",13,13
5,Turn,1,185,-185,RAISE,29,0,0,"['8s', '8h']","['6s', '6h']","['As', 'Ah', '6d', '4h']","['4d', '7h', '7d']","['7s', '3h', '3s']",13,13
5,Turn,0,185,-185,FOLD,0,0,0,"['8s', '8h']","['6s', '6h']","['As', 'Ah', '6d', '4h']","['4d', '7h', '7d']","['7s', '3h', '3s']",26,26
6,Pre-Flop,0,159,-159,RAISE,7,0,0,"['7h', '4h', '6d', '8d', 'As']","['8s', '8h', '7d', '4d', '2h']",[],[],[],1,1
6,Pre-Flop,1,159,-159,RAISE,18,0,0,"['7h', '4h', '6d', '8d', 'As']","['8s', '8h', '7d', '4d', '2h']",[],[],[],2,2
6,Pre-Flop,0,159,-159,CALL,0,0,0,"['7h', '4h', '6d', '8d', 'As']","['8s', '8h', '7d', '4d', '2h']",[],[],[],9,9
6,Flop,1,159,-159,DISCARD,0,2,3,"['7h', '4h', '6d', '8d', 'As']","['8s', '8h', '7d', '4d', '2h']","['Ad', '5s', '3d']",[],[],27,27
6,Flop,0,159,-159,DISCARD,0,2,3,"['7h', '4h', '6d', '8d', 'As']","['7d', '4d']","['Ad', '5s', '3d']",[],"['8s', '8h', '2h']",27,27
6,Flop,1,159,-159,RAISE,33,0,0,"['6d', '8d']","['7d', '4d']","['Ad', '5s', '3d']","['7h', '4h', 'As']","['8s', '8h', '2h']",27,27
6,Flop,0,159,-159,CALL,0,0,0,"['6d', '8d']","['7d', '4d']","['Ad', '5s', '3d']","['7h', '4h', 'As']","['8s', '8h', '2h']",27,27
6,Turn,1,159,-159,RAISE,40,0,0,"['6d', '8d']","['7d', '4d']","['Ad', '5s', '3d', '9s']","['7h', '4h', 'As']","['8s', '8h', '2h']",60,60
6,Turn,0,159,-159,FOLD,0,0,0,"['6d', '8d']","['7d', '4d']","['Ad', '5s', '3d', '9s']","['7h', '4h', 'As']","['8s', '8h', '2h']",60,60
