# Team 0: Ctrl+Alt+Defeat, Team 1: Pulp Ficshun
hand_number,street,active_team,team_0_bankroll,team_1_bankroll,action_type,action_amount,action_keep_1,action_keep_2,team_0_cards,team_1_cards,board_cards,team_0_discarded,team_1_discarded,team_0_bet,team_1_bet
0,Pre-Flop,0,0,0,RAISE,2,0,0,"['8h', '9s', 'As', '6h', '7h']","['2s', '3h', '4d', '7s', '4s']",[],[],[],1,1
0,Pre-Flop,1,0,0,FOLD,0,0,0,"['8h', '9s', 'As', '6h', '7h']","['2s', '3h', '4d', '7s', '4s']",[],[],[],2,2
1,Pre-Flop,1,2,-2,RAISE,2,0,0,"['4h', '8h', '3h', '5s', '2s']","['6h', '9s', '7d', '5d', '8d']",[],[],[],1,1
1,Pre-Flop,0,2,-2,FOLD,0,0,0,"['4h', '8h', '3h', '5s', '2s']","['6h', '9s', '7d', '5d', '8d']",[],[],[],2,2
2,Pre-Flop,0,0,0,RAISE,2,0,0,"['9s', '4s', '5h', '8d', '8s']","['3s', 'Ad', '4d', '9d', '8h']",[],[],[],1,1
2,Pre-Flop,1,0,0,RAISE,5,0,0,"['9s', '4s', '5h', '8d', '8s']","['3s', 'Ad', '4d', '9d', '8h']",[],[],[],2,2
2,Pre-Flop,0,0,0,RAISE,12,0,0,"['9s', '4s', '5h', '8d', '8s']","['3s', 'Ad', '4d', '9d', '8h']",[],[],[],4,4
2,Pre-Flop,1,0,0,RAISE,21,0,0,"['9s', '4s', '5h', '8d', '8s']","['3s', 'Ad', '4d', '9d', '8h']",[],[],[],9,9
2,Pre-Flop,0,0,0,RAISE,58,0,0,"['9s', '4s', '5h', '8d', '8s']","['3s', 'Ad', '4d', '9d', '8h']",[],[],[],21,21
2,Pre-Flop,1,0,0,CALL,0,0,0,"['9s', '4s', '5h', '8d', '8s']","['3s', 'Ad', '4d', '9d', '8h']",[],[],[],42,42
2,Flop,1,0,0,DISCARD,0,2,4,"['9s', '4s', '5h', '8d', '8s']","['3s', 'Ad', '4d', '9d', '8h']","['6h', '4h', '2s']",[],[],100,100
2,Flop,0,0,0,DISCARD,0,3,4,"['9s', '4s', '5h', '8d', '8s']","['4d', '8h']","['6h', '4h', '2s']",[],"['3s', 'Ad', '9d']",100,100
2,Flop,1,0,0,CHECK,0,0,0,"['8d', '8s']","['4d', '8h']","['6h', '4h', '2s']","['9s', '4s', '5h']","['3s', 'Ad', '9d']",100,100
2,Flop,0,0,0,CHECK,0,0,0,"['8d', '8s']","['4d', '8h']","['6h', '4h', '2s']","['9s', '4s', '5h']","['3s', 'Ad', '9d']",100,100
2,Turn,1,0,0,CHECK,0,0,0,"['8d', '8s']","['4d', '8h']","['6h', '4h', '2s', '2d']","['9s', '4s', '5h']","['3s', 'Ad', '9d']",100,100
2,Turn,0,0,0,CHECK,0,0,0,"['8d', '8s']","['4d', '8h']","['6h', '4h', '2s', '2d']","['9s', '4s', '5h']","['3s', 'Ad', '9d']",100,100
2,River,1,0,0,CHECK,0,0,0,"['8d', '8s']","['4d', '8h']","['6h', '4h', '2s', '2d', '7s']","['9s', '4s', '5h']","['3s', 'Ad', '9d']",100,100
2,River,0,0,0,CHECK,0,0,0,"['8d', '8s']","['4d', '8h']","['6h', '4h', '2s', '2d', '7s']","['9s', '4s', '5h']","['3s', 'Ad', '9d']",100,100
3,Pre-Flop,1,100,-100,FOLD,0,0,0,"['2s', 'Ad', 'Ah', '9h', '5d']","['4d', '5s', '4h', '8d', '4s']",[],[],[],1,1
4,Pre-Flop,0,101,-101,RAISE,13,0,0,"['9s', '7s', '9d', 'Ah', '3d']","['7d', '6h', '4s', '3s', '3h']",[],[],[],1,1
4,Pre-Flop,1,101,-101,FOLD,0,0,0,"['9s', '7s', '9d', 'Ah', '3d']","['7d', '6h', '4s', '3s', '3h']",[],[],[],2,2
5,Pre-Flop,1,103,-103,RAISE,2,0,0,"['7d', 'As', '2h', '6d', '4s']","['3d', '8d', '9s', '8h', '3s']",[],[],[],1,1
5,Pre-Flop,0,103,-103,RAISE,4,0,0,"['7d', 'As', '2h', '6d', '4s']","['3d', '8d', '9s', '8h', '3s']",[],[],[],2,2
5,Pre-Flop,1,103,-103,RAISE,9,0,0,"['7d', 'As', '2h', '6d', '4s']","['3d', '8d', '9s', '8h', '3s']",[],[],[],4,4
5,Pre-Flop,0,103,-103,RAISE,21,0,0,"['7d', 'As', '2h', '6d', '4s']","['3d', '8d', '9s', '8h', '3s']",[],[],[],8,8
5,Pre-Flop,1,103,-103,RAISE,62,0,0,"['7d', 'As', '2h', '6d', '4s']","['3d', '8d', '9s', '8h', '3s']",[],[],[],17,17
5,Pre-Flop,0,103,-103,CALL,0,0,0,"['7d', 'As', '2h', '6d', '4s']","['3d', '8d', '9s', '8h', '3s']",[],[],[],38,38
5,Flop,0,103,-103,DISCARD,0,0,1,"['7d', 'As', '2h', '6d', '4s']","['3d', '8d', '9s', '8h', '3s']","['5h', 'Ah', '7h']",[],[],100,100
5,Flop,1,103,-103,DISCARD,0,1,3,"['7d', 'As']","['3d', '8d', '9s', '8h', '3s']","['5h', 'Ah', '7h']","['2h', '6d', '4s']",[],100,100
5,Flop,0,103,-103,CHECK,0,0,0,"['7d', 'As']","['8d', '8h']","['5h', 'Ah', '7h']","['2h', '6d', '4s']","['3d', '9s', '3s']",100,100
5,Flop,1,103,-103,CHECK,0,0,0,"['7d', 'As']","['8d', '8h']","['5h', 'Ah', '7h']","['2h', '6d', '4s']","['3d', '9s', '3s']",100,100
5,Turn,0,103,-103,CHECK,0,0,0,"['7d', 'As']","['8d', '8h']","['5h', 'Ah', '7h', '9d']","['2h', '6d', '4s']","['3d', '9s', '3s']",100,100
5,Turn,1,103,-103,CHECK,0,0,0,"['7d', 'As']","['8d', '8h']","['5h', 'Ah', '7h', '9d']","['2h', '6d', '4s']","['3d', '9s', '3s']",100,100
5,River,0,103,-103,CHECK,0,0,0,"['7d', 'As']","['8d', '8h']","['5h', 'Ah', '7h', '9d', '6h']","['2h', '6d', '4s']","['3d', '9s', '3s']",100,100
5,River,1,103,-103,CHECK,0,0,0,"['7d', 'As']","['8d', '8h']","['5h', 'Ah', '7h', '9d', '6h']","['2h', '6d', '4s']","['3d', '9s', '3s']",100,100
6,Pre-Flop,0,3,-3,RAISE,12,0,0,"['8d', '6h', '7h', '7s', '8h']","['5d', '7d', 'As', '6s', 'Ad']",[],[],[],1,1
