# Team 0: Pulp Ficshun, Team 1: jinchanchanhaowan
hand_number,street,active_team,team_0_bankroll,team_1_bankroll,action_type,action_amount,action_keep_1,action_keep_2,team_0_cards,team_1_cards,board_cards,team_0_discarded,team_1_discarded,team_0_bet,team_1_bet
0,Pre-Flop,0,0,0,RAISE,13,0,0,"['3s', '8s', '9s', '9h', '3d']","['6h', '4d', '5s', '5h', '3h']",[],[],[],1,1
0,Pre-Flop,1,0,0,FOLD,0,0,0,"['3s', '8s', '9s', '9h', '3d']","['6h', '4d', '5s', '5h', '3h']",[],[],[],2,2
1,Pre-Flop,1,2,-2,CALL,0,0,0,"['8d', '5d', '9s', '9d', '2s']","['7s', '8s', '3s', '7h', 'As']",[],[],[],1,1
1,Pre-Flop,0,2,-2,RAISE,12,0,0,"['8d', '5d', '9s', '9d', '2s']","['7s', '8s', '3s', '7h', 'As']",[],[],[],2,2
1,Pre-Flop,1,2,-2,CALL,0,0,0,"['8d', '5d', '9s', '9d', '2s']","['7s', '8s', '3s', '7h', 'As']",[],[],[],2,2
1,Flop,0,2,-2,DISCARD,0,2,3,"['8d', '5d', '9s', '9d', '2s']","['7s', '8s', '3s', '7h', 'As']","['6d', 'Ad', '9h']",[],[],14,14
1,Flop,1,2,-2,DISCARD,0,1,3,"['9s', '9d']","['7s', '8s', '3s', '7h', 'As']","['6d', 'Ad', '9h']","['8d', '5d', '2s']",[],14,14
1,Flop,0,2,-2,RAISE,17,0,0,"['9s', '9d']","['8s', '7h']","['6d', 'Ad', '9h']","['8d', '5d', '2s']","['7s', '3s', 'As']",14,14
1,Flop,1,2,-2,RAISE,50,0,0,"['9s', '9d']","['8s', '7h']","['6d', 'Ad', '9h']","['8d', '5d', '2s']","['7s', '3s', 'As']",14,14
1,Flop,0,2,-2,RAISE,19,0,0,"['9s', '9d']","['8s', '7h']","['6d', 'Ad', '9h']","['8d', '5d', '2s']","['7s', '3s', 'As']",31,31
1,Flop,1,2,-2,CALL,0,0,0,"['9s', '9d']","['8s', '7h']","['6d', 'Ad', '9h']","['8d', '5d', '2s']","['7s', '3s', 'As']",81,81
1,Turn,0,2,-2,CHECK,0,0,0,"['9s', '9d']","['8s', '7h']","['6d', 'Ad', '9h', '5s']","['8d', '5d', '2s']","['7s', '3s', 'As']",100,100
1,Turn,1,2,-2,CHECK,0,0,0,"['9s', '9d']","['8s', '7h']","['6d', 'Ad', '9h', '5s']","['8d', '5d', '2s']","['7s', '3s', 'As']",100,100
1,River,0,2,-2,CHECK,0,0,0,"['9s', '9d']","['8s', '7h']","['6d', 'Ad', '9h', '5s', '4s']","['8d', '5d', '2s']","['7s', '3s', 'As']",100,100
1,River,1,2,-2,CHECK,0,0,0,"['9s', '9d']","['8s', '7h']","['6d', 'Ad', '9h', '5s', '4s']","['8d', '5d', '2s']","['7s', '3s', 'As']",100,100
2,Pre-Flop,0,-98,98,RAISE,2,0,0,"['4d', '2s', 'Ah', 'As', '9d']","['6d', '2d', '8s', '2h', '4h']",[],[],[],1,1
2,Pre-Flop,1,-98,98,FOLD,0,0,0,"['4d', '2s', 'Ah', 'As', '9d']","['6d', '2d', '8s', '2h', '4h']",[],[],[],2,2
3,Pre-Flop,1,-96,96,FOLD,0,0,0,"['2s', '7h', '9s', '3s', '8d']","['As', '6h', '8s', '6d', '7d']",[],[],[],1,1
4,Pre-Flop,0,-95,95,RAISE,12,0,0,"['3h', '7h', '3d', '8h', '9s']","['2h', '7s', 'Ad', '7d', '2d']",[],[],[],1,1
4,Pre-Flop,1,-95,95,FOLD,0,0,0,"['3h', '7h', '3d', '8h', '9s']","['2h', '7s', 'Ad', '7d', '2d']",[],[],[],2,2
5,Pre-Flop,1,-93,93,FOLD,0,0,0,"['4d', '6s', '3d', '5h', 'As']","['4h', '8d', '6d', '9h', '2s']",[],[],[],1,1
6,Pre-Flop,0,-92,92,RAISE,10,0,0,"['6s', '8d', '9h', '8s', 'Ah']","['Ad', '6d', '3s', '7d', '9d']",[],[],[],1,1
6,Pre-Flop,1,-92,92,FOLD,0,0,0,"['6s', '8d', '9h', '8s', 'Ah']","['Ad', '6d', '3s', '7d', '9d']",[],[],[],2,2
7,Pre-Flop,1,-90,90,RAISE,2,0,0,"['2s', 'Ah', '5s', '4h', 'Ad']","['2d', '9s', '3d', '7d', '9d']",[],[],[],1,1
7,Pre-Flop,0,-90,90,CALL,0,0,0,"['2s', 'Ah', '5s', '4h', 'Ad']","['2d', '9s', '3d', '7d', '9d']",[],[],[],2,2
7,Flop,0,-90,90,DISCARD,0,1,4,"['2s', 'Ah', '5s', '4h', 'Ad']","['2d', '9s', '3d', '7d', '9d']","['4s', '8s', '9h']",[],[],4,4
7,Flop,1,-90,90,DISCARD,0,1,4,"['Ah', 'Ad']","['2d', '9s', '3d', '7d', '9d']","['4s', '8s', '9h']","['2s', '5s', '4h']",[],4,4
7,Flop,0,-90,90,RAISE,2,0,0,"['Ah', 'Ad']","['9s', '9d']","['4s', '8s', '9h']","['2s', '5s', '4h']","['2d', '3d', '7d']",4,4
7,Flop,1,-90,90,RAISE,11,0,0,"['Ah', 'Ad']","['9s', '9d']","['4s', '8s', '9h']","['2s', '5s', '4h']","['2d', '3d', '7d']",4,4
7,Flop,0,-90,90,CALL,0,0,0,"['Ah', 'Ad']","['9s', '9d']","['4s', '8s', '9h']","['2s', '5s', '4h']","['2d', '3d', '7d']",6,6
7,Turn,0,-90,90,RAISE,15,0,0,"['Ah', 'Ad']","['9s', '9d']","['4s', '8s', '9h', 'As']","['2s', '5s', '4h']","['2d', '3d', '7d']",17,17
7,Turn,1,-90,90,RAISE,68,0,0,"['Ah', 'Ad']","['9s', '9d']","['4s', '8s', '9h', 'As']","['2s', '5s', '4h']","['2d', '3d', '7d']",17,17
7,Turn,0,-90,90,CALL,0,0,0,"['Ah', 'Ad']","['9s', '9d']","['4s', '8s', '9h', 'As']","['2s', '5s', '4h']","['2d', '3d', '7d']",32,32
7,River,0,-90,90,CHECK,0,0,0,"['Ah', 'Ad']","['9s', '9d']","['4s', '8s', '9h', 'As', '6d']","['2s', '5s', '4h']","['2d', '3d', '7d']",100,100
7,River,1,-90,90,CHECK,0,0,0,"['Ah', 'Ad']","['9s', '9d']","['4s', '8s', '9h', 'As', '6d']","['2s', '5s', '4h']","['2d', '3d', '7d']",100,100
8,Pre-Flop,0,10,-10,FOLD,0,0,0,"['3s', '7h', '3h', '3d', '7s']","['9h', '6d', '4d', '7d', 'Ah']",[],[],[],1,1
