# Team 0: Pulp Ficshun, Team 1: semielastic-super-quantum-frogtron-1B-quantized_v2
hand_number,street,active_team,team_0_bankroll,team_1_bankroll,action_type,action_amount,action_keep_1,action_keep_2,team_0_cards,team_1_cards,board_cards,team_0_discarded,team_1_discarded,team_0_bet,team_1_bet
0,Pre-Flop,0,0,0,RAISE,13,0,0,"['5d', '3d', 'Ad', '8s', 'Ah']","['6s', '7d', '8h', '3s', '5h']",[],[],[],1,1
0,Pre-Flop,1,0,0,CALL,0,0,0,"['5d', '3d', 'Ad', '8s', 'Ah']","['6s', '7d', '8h', '3s', '5h']",[],[],[],2,2
0,Flop,1,0,0,DISCARD,0,3,4,"['5d', '3d', 'Ad', '8s', 'Ah']","['6s', '7d', '8h', '3s', '5h']","['3h', 'As', '2d']",[],[],15,15
0,Flop,0,0,0,DISCARD,0,2,4,"['5d', '3d', 'Ad', '8s', 'Ah']","['3s', '5h']","['3h', 'As', '2d']",[],"['6s', '7d', '8h']",15,15
0,Flop,1,0,0,CHECK,0,0,0,"['Ad', 'Ah']","['3s', '5h']","['3h', 'As', '2d']","['5d', '3d', '8s']","['6s', '7d', '8h']",15,15
0,Flop,0,0,0,RAISE,17,0,0,"['Ad', 'Ah']","['3s', '5h']","['3h', 'As', '2d']","['5d', '3d', '8s']","['6s', '7d', '8h']",15,15
0,Flop,1,0,0,FOLD,0,0,0,"['Ad', 'Ah']","['3s', '5h']","['3h', 'As', '2d']","['5d', '3d', '8s']","['6s', '7d', '8h']",15,15
1,Pre-Flop,1,15,-15,RAISE,6,0,0,"['9s', '2h', '4s', '4d', '6h']","['9d', '4h', '8s', '9h', 'Ah']",[],[],[],1,1
1,Pre-Flop,0,15,-15,FOLD,0,0,0,"['9s', '2h', '4s', '4d', '6h']","['9d', '4h', '8s', '9h', 'Ah']",[],[],[],2,2
2,Pre-Flop,0,13,-13,RAISE,2,0,0,"['2d', '8d', '2s', '7d', '7s']","['4d', '3h', '9s', '6h', '2h']",[],[],[],1,1
2,Pre-Flop,1,13,-13,CALL,0,0,0,"['2d', '8d', '2s', '7d', '7s']","['4d', '3h', '9s', '6h', '2h']",[],[],[],2,2
2,Flop,1,13,-13,DISCARD,0,2,3,"['2d', '8d', '2s', '7d', '7s']","['4d', '3h', '9s', '6h', '2h']","['6s', 'Ad', '8s']",[],[],4,4
2,Flop,0,13,-13,DISCARD,0,2,4,"['2d', '8d', '2s', '7d', '7s']","['9s', '6h']","['6s', 'Ad', '8s']",[],"['4d', '3h', '2h']",4,4
2,Flop,1,13,-13,CHECK,0,0,0,"['2s', '7s']","['9s', '6h']","['6s', 'Ad', '8s']","['2d', '8d', '7d']","['4d', '3h', '2h']",4,4
2,Flop,0,13,-13,RAISE,5,0,0,"['2s', '7s']","['9s', '6h']","['6s', 'Ad', '8s']","['2d', '8d', '7d']","['4d', '3h', '2h']",4,4
2,Flop,1,13,-13,CALL,0,0,0,"['2s', '7s']","['9s', '6h']","['6s', 'Ad', '8s']","['2d', '8d', '7d']","['4d', '3h', '2h']",4,4
2,Turn,1,13,-13,CHECK,0,0,0,"['2s', '7s']","['9s', '6h']","['6s', 'Ad', '8s', '8h']","['2d', '8d', '7d']","['4d', '3h', '2h']",9,9
2,Turn,0,13,-13,CHECK,0,0,0,"['2s', '7s']","['9s', '6h']","['6s', 'Ad', '8s', '8h']","['2d', '8d', '7d']","['4d', '3h', '2h']",9,9
2,River,1,13,-13,CHECK,0,0,0,"['2s', '7s']","['9s', '6h']","['6s', 'Ad', '8s', '8h', '4s']","['2d', '8d', '7d']","['4d', '3h', '2h']",9,9
2,River,0,13,-13,RAISE,15,0,0,"['2s', '7s']","['9s', '6h']","['6s', 'Ad', '8s', '8h', '4s']","['2d', '8d', '7d']","['4d', '3h', '2h']",9,9
2,River,1,13,-13,FOLD,0,0,0,"['2s', '7s']","['9s', '6h']","['6s', 'Ad', '8s', '8h', '4s']","['2d', '8d', '7d']","['4d', '3h', '2h']",9,9
3,Pre-Flop,1,22,-22,CALL,0,0,0,"['Ah', '4h', '6d', '9d', '5h']","['4s', '2d', 'Ad', '3h', '9h']",[],[],[],1,1
3,Pre-Flop,0,22,-22,RAISE,10,0,0,"['Ah', '4h', '6d', '9d', '5h']","['4s', '2d', 'Ad', '3h', '9h']",[],[],[],2,2
3,Pre-Flop,1,22,-22,FOLD,0,0,0,"['Ah', '4h', '6d', '9d', '5h']","['4s', '2d', 'Ad', '3h', '9h']",[],[],[],2,2
4,Pre-Flop,0,24,-24,RAISE,2,0,0,"['Ah', '6s', '5h', '7s', '3h']","['5d', '9h', '2s', '8d', '4d']",[],[],[],1,1
4,Pre-Flop,1,24,-24,FOLD,0,0,0,"['Ah', '6s', '5h', '7s', '3h']","['5d', '9h', '2s', '8d', '4d']",[],[],[],2,2
5,Pre-Flop,1,26,-26,RAISE,10,0,0,"['7s', '3d', '5h', '6s', '9d']","['5s', 'Ad', '5d', 'As', '7d']",[],[],[],1,1
5,Pre-Flop,0,26,-26,RAISE,26,0,0,"['7s', '3d', '5h', '6s', '9d']","['5s', 'Ad', '5d', 'As', '7d']",[],[],[],2,2
5,Pre-Flop,1,26,-26,RAISE,62,0,0,"['7s', '3d', '5h', '6s', '9d']","['5s', 'Ad', '5d', 'As', '7d']",[],[],[],12,12
5,Pre-Flop,0,26,-26,CALL,0,0,0,"['7s', '3d', '5h', '6s', '9d']","['5s', 'Ad', '5d', 'As', '7d']",[],[],[],38,38
5,Flop,0,26,-26,DISCARD,0,2,3,"['7s', '3d', '5h', '6s', '9d']","['5s', 'Ad', '5d', 'As', '7d']","['3h', '8s', '4d']",[],[],100,100
5,Flop,1,26,-26,DISCARD,0,1,3,"['5h', '6s']","['5s', 'Ad', '5d', 'As', '7d']","['3h', '8s', '4d']","['7s', '3d', '9d']",[],100,100
5,Flop,0,26,-26,CHECK,0,0,0,"['5h', '6s']","['Ad', 'As']","['3h', '8s', '4d']","['7s', '3d', '9d']","['5s', '5d', '7d']",100,100
5,Flop,1,26,-26,CHECK,0,0,0,"['5h', '6s']","['Ad', 'As']","['3h', '8s', '4d']","['7s', '3d', '9d']","['5s', '5d', '7d']",100,100
5,Turn,0,26,-26,CHECK,0,0,0,"['5h', '6s']","['Ad', 'As']","['3h', '8s', '4d', '6d']","['7s', '3d', '9d']","['5s', '5d', '7d']",100,100
5,Turn,1,26,-26,CHECK,0,0,0,"['5h', '6s']","['Ad', 'As']","['3h', '8s', '4d', '6d']","['7s', '3d', '9d']","['5s', '5d', '7d']",100,100
5,River,0,26,-26,CHECK,0,0,0,"['5h', '6s']","['Ad', 'As']","['3h', '8s', '4d', '6d', '8d']","['7s', '3d', '9d']","['5s', '5d', '7d']",100,100
5,River,1,26,-26,CHECK,0,0,0,"['5h', '6s']","['Ad', 'As']","['3h', '8s', '4d', '6d', '8d']","['7s', '3d', '9d']","['5s', '5d', '7d']",100,100
6,Pre-Flop,0,-74,74,RAISE,11,0,0,"['Ah', '8s', '9h', '7s', '4h']","['9s', '6d', '2h', '8d', '6s']",[],[],[],1,1
6,Pre-Flop,1,-74,74,CALL,0,0,0,"['Ah', '8s', '9h', '7s', '4h']","['9s', '6d', '2h', '8d', '6s']",[],[],[],2,2
6,Flop,1,-74,74,DISCARD,0,1,3,"['Ah', '8s', '9h', '7s', '4h']","['9s', '6d', '2h', '8d', '6s']","['7h', '3d', '5h']",[],[],13,13
6,Flop,0,-74,74,DISCARD,0,0,4,"['Ah', '8s', '9h', '7s', '4h']","['6d', '8d']","['7h', '3d', '5h']",[],"['9s', '2h', '6s']",13,13
6,Flop,1,-74,74,CHECK,0,0,0,"['Ah', '4h']","['6d', '8d']","['7h', '3d', '5h']","['8s', '9h', '7s']","['9s', '2h', '6s']",13,13
6,Flop,0,-74,74,RAISE,15,0,0,"['Ah', '4h']","['6d', '8d']","['7h', '3d', '5h']","['8s', '9h', '7s']","['9s', '2h', '6s']",13,13
6,Flop,1,-74,74,FOLD,0,0,0,"['Ah', '4h']","['6d', '8d']","['7h', '3d', '5h']","['8s', '9h', '7s']","['9s', '2h', '6s']",13,13
7,Pre-Flop,1,-61,61,RAISE,6,0,0,"['9d', '7s', '4s', '9s', '6d']","['7h', 'Ah', 'As', '4h', '6s']",[],[],[],1,1
7,Pre-Flop,0,-61,61,RAISE,9,0,0,"['9d', '7s', '4s', '9s', '6d']","['7h', 'Ah', 'As', '4h', '6s']",[],[],[],2,2
7,Pre-Flop,1,-61,61,RAISE,42,0,0,"['9d', '7s', '4s', '9s', '6d']","['7h', 'Ah', 'As', '4h', '6s']",[],[],[],8,8
7,Pre-Flop,0,-61,61,RAISE,41,0,0,"['9d', '7s', '4s', '9s', '6d']","['7h', 'Ah', 'As', '4h', '6s']",[],[],[],17,17
7,Pre-Flop,1,-61,61,CALL,0,0,0,"['9d', '7s', '4s', '9s', '6d']","['7h', 'Ah', 'As', '4h', '6s']",[],[],[],59,59
7,Flop,0,-61,61,DISCARD,0,0,4,"['9d', '7s', '4s', '9s', '6d']","['7h', 'Ah', 'As', '4h', '6s']","['4d', '2d', '5h']",[],[],100,100
7,Flop,1,-61,61,DISCARD,0,0,4,"['9d', '6d']","['7h', 'Ah', 'As', '4h', '6s']","['4d', '2d', '5h']","['7s', '4s', '9s']",[],100,100
7,Flop,0,-61,61,CHECK,0,0,0,"['9d', '6d']","['7h', '6s']","['4d', '2d', '5h']","['7s', '4s', '9s']","['Ah', 'As', '4h']",100,100
7,Flop,1,-61,61,CHECK,0,0,0,"['9d', '6d']","['7h', '6s']","['4d', '2d', '5h']","['7s', '4s', '9s']","['Ah', 'As', '4h']",100,100
7,Turn,0,-61,61,CHECK,0,0,0,"['9d', '6d']","['7h', '6s']","['4d', '2d', '5h', '3d']","['7s', '4s', '9s']","['Ah', 'As', '4h']",100,100
7,Turn,1,-61,61,CHECK,0,0,0,"['9d', '6d']","['7h', '6s']","['4d', '2d', '5h', '3d']","['7s', '4s', '9s']","['Ah', 'As', '4h']",100,100
7,River,0,-61,61,CHECK,0,0,0,"['9d', '6d']","['7h', '6s']","['4d', '2d', '5h', '3d', '6h']","['7s', '4s', '9s']","['Ah', 'As', '4h']",100,100
7,River,1,-61,61,CHECK,0,0,0,"['9d', '6d']","['7h', '6s']","['4d', '2d', '5h', '3d', '6h']","['7s', '4s', '9s']","['Ah', 'As', '4h']",100,100
8,Pre-Flop,0,39,-39,RAISE,9,0,0,"['8h', '8s', '8d', '6s', '6h']","['6d', 'Ah', '3h', '3d', 'Ad']",[],[],[],1,1
8,Pre-Flop,1,39,-39,CALL,0,0,0,"['8h', '8s', '8d', '6s', '6h']","['6d', 'Ah', '3h', '3d', 'Ad']",[],[],[],2,2
8,Flop,1,39,-39,DISCARD,0,1,2,"['8h', '8s', '8d', '6s', '6h']","['6d', 'Ah', '3h', '3d', 'Ad']","['9h', '5h', '2h']",[],[],11,11
