# Team 0: Neural Nuts, Team 1: Pulp Ficshun
hand_number,street,active_team,team_0_bankroll,team_1_bankroll,action_type,action_amount,action_keep_1,action_keep_2,team_0_cards,team_1_cards,board_cards,team_0_discarded,team_1_discarded,team_0_bet,team_1_bet
0,Pre-Flop,0,0,0,CALL,0,0,0,"['5h', '9h', '9s', '2d', '4h']","['2s', '8s', '6d', '7d', '3d']",[],[],[],1,1
0,Pre-Flop,1,0,0,RAISE,12,0,0,"['5h', '9h', '9s', '2d', '4h']","['2s', '8s', '6d', '7d', '3d']",[],[],[],2,2
0,Pre-Flop,0,0,0,FOLD,0,0,0,"['5h', '9h', '9s', '2d', '4h']","['2s', '8s', '6d', '7d', '3d']",[],[],[],2,2
1,Pre-Flop,1,-2,2,RAISE,2,0,0,"['Ad', '7s', '6d', '3d', '5s']","['8s', '8h', '6h', '9d', '9s']",[],[],[],1,1
1,Pre-Flop,0,-2,2,CALL,0,0,0,"['Ad', '7s', '6d', '3d', '5s']","['8s', '8h', '6h', '9d', '9s']",[],[],[],2,2
1,Flop,0,-2,2,DISCARD,0,0,4,"['Ad', '7s', '6d', '3d', '5s']","['8s', '8h', '6h', '9d', '9s']","['Ah', '9h', '5h']",[],[],4,4
1,Flop,1,-2,2,DISCARD,0,1,2,"['Ad', '5s']","['8s', '8h', '6h', '9d', '9s']","['Ah', '9h', '5h']","['7s', '6d', '3d']",[],4,4
1,Flop,0,-2,2,CHECK,0,0,0,"['Ad', '5s']","['8h', '6h']","['Ah', '9h', '5h']","['7s', '6d', '3d']","['8s', '9d', '9s']",4,4
1,Flop,1,-2,2,RAISE,4,0,0,"['Ad', '5s']","['8h', '6h']","['Ah', '9h', '5h']","['7s', '6d', '3d']","['8s', '9d', '9s']",4,4
1,Flop,0,-2,2,FOLD,0,0,0,"['Ad', '5s']","['8h', '6h']","['Ah', '9h', '5h']","['7s', '6d', '3d']","['8s', '9d', '9s']",4,4
2,Pre-Flop,0,-6,6,CALL,0,0,0,"['4d', '8d', 'Ah', '6h', '3h']","['8h', '7d', '7h', '7s', '9d']",[],[],[],1,1
2,Pre-Flop,1,-6,6,RAISE,13,0,0,"['4d', '8d', 'Ah', '6h', '3h']","['8h', '7d', '7h', '7s', '9d']",[],[],[],2,2
2,Pre-Flop,0,-6,6,FOLD,0,0,0,"['4d', '8d', 'Ah', '6h', '3h']","['8h', '7d', '7h', '7s', '9d']",[],[],[],2,2
3,Pre-Flop,1,-8,8,RAISE,12,0,0,"['2h', '8h', '8s', '7s', 'Ah']","['7h', '2d', '9h', '7d', 'As']",[],[],[],1,1
3,Pre-Flop,0,-8,8,FOLD,0,0,0,"['2h', '8h', '8s', '7s', 'Ah']","['7h', '2d', '9h', '7d', 'As']",[],[],[],2,2
4,Pre-Flop,0,-10,10,RAISE,4,0,0,"['7s', 'Ah', '8s', '9s', '6s']","['3d', 'As', '3h', '2d', '5h']",[],[],[],1,1
4,Pre-Flop,1,-10,10,FOLD,0,0,0,"['7s', 'Ah', '8s', '9s', '6s']","['3d', 'As', '3h', '2d', '5h']",[],[],[],2,2
5,Pre-Flop,1,-8,8,FOLD,0,0,0,"['Ah', '8h', '9h', '7d', '5s']","['8d', '5h', '5d', '6s', '3h']",[],[],[],1,1
6,Pre-Flop,0,-7,7,RAISE,4,0,0,"['3h', 'As', '6s', 'Ah', '7d']","['5s', '9s', '2d', '4d', '5d']",[],[],[],1,1
6,Pre-Flop,1,-7,7,FOLD,0,0,0,"['3h', 'As', '6s', 'Ah', '7d']","['5s', '9s', '2d', '4d', '5d']",[],[],[],2,2
7,Pre-Flop,1,-5,5,CALL,0,0,0,"['6d', '9h', '4d', '5d', '4h']","['3d', '7d', '3h', '2s', '7s']",[],[],[],1,1
7,Pre-Flop,0,-5,5,CHECK,0,0,0,"['6d', '9h', '4d', '5d', '4h']","['3d', '7d', '3h', '2s', '7s']",[],[],[],2,2
7,Flop,0,-5,5,DISCARD,0,1,4,"['6d', '9h', '4d', '5d', '4h']","['3d', '7d', '3h', '2s', '7s']","['5h', '8h', '8d']",[],[],2,2
7,Flop,1,-5,5,DISCARD,0,1,4,"['9h', '4h']","['3d', '7d', '3h', '2s', '7s']","['5h', '8h', '8d']","['6d', '4d', '5d']",[],2,2
7,Flop,0,-5,5,CHECK,0,0,0,"['9h', '4h']","['7d', '7s']","['5h', '8h', '8d']","['6d', '4d', '5d']","['3d', '3h', '2s']",2,2
7,Flop,1,-5,5,CHECK,0,0,0,"['9h', '4h']","['7d', '7s']","['5h', '8h', '8d']","['6d', '4d', '5d']","['3d', '3h', '2s']",2,2
7,Turn,0,-5,5,CHECK,0,0,0,"['9h', '4h']","['7d', '7s']","['5h', '8h', '8d', '9s']","['6d', '4d', '5d']","['3d', '3h', '2s']",2,2
7,Turn,1,-5,5,CHECK,0,0,0,"['9h', '4h']","['7d', '7s']","['5h', '8h', '8d', '9s']","['6d', '4d', '5d']","['3d', '3h', '2s']",2,2
7,River,0,-5,5,CHECK,0,0,0,"['9h', '4h']","['7d', '7s']","['5h', '8h', '8d', '9s', '2h']","['6d', '4d', '5d']","['3d', '3h', '2s']",2,2
7,River,1,-5,5,CHECK,0,0,0,"['9h', '4h']","['7d', '7s']","['5h', '8h', '8d', '9s', '2h']","['6d', '4d', '5d']","['3d', '3h', '2s']",2,2
8,Pre-Flop,0,-3,3,RAISE,4,0,0,"['9h', 'As', '2d', '9s', '9d']","['5h', '6d', '7d', '8s', '2s']",[],[],[],1,1
8,Pre-Flop,1,-3,3,RAISE,9,0,0,"['9h', 'As', '2d', '9s', '9d']","['5h', '6d', '7d', '8s', '2s']",[],[],[],2,2
8,Pre-Flop,0,-3,3,RAISE,16,0,0,"['9h', 'As', '2d', '9s', '9d']","['5h', '6d', '7d', '8s', '2s']",[],[],[],6,6
8,Pre-Flop,1,-3,3,RAISE,31,0,0,"['9h', 'As', '2d', '9s', '9d']","['5h', '6d', '7d', '8s', '2s']",[],[],[],15,15
8,Pre-Flop,0,-3,3,CALL,0,0,0,"['9h', 'As', '2d', '9s', '9d']","['5h', '6d', '7d', '8s', '2s']",[],[],[],31,31
8,Flop,1,-3,3,DISCARD,0,3,4,"['9h', 'As', '2d', '9s', '9d']","['5h', '6d', '7d', '8s', '2s']","['3s', '7h', '6s']",[],[],62,62
8,Flop,0,-3,3,DISCARD,0,1,3,"['9h', 'As', '2d', '9s', '9d']","['8s', '2s']","['3s', '7h', '6s']",[],"['5h', '6d', '7d']",62,62
8,Flop,1,-3,3,RAISE,38,0,0,"['As', '9s']","['8s', '2s']","['3s', '7h', '6s']","['9h', '2d', '9d']","['5h', '6d', '7d']",62,62
8,Flop,0,-3,3,CALL,0,0,0,"['As', '9s']","['8s', '2s']","['3s', '7h', '6s']","['9h', '2d', '9d']","['5h', '6d', '7d']",62,62
8,Turn,1,-3,3,CHECK,0,0,0,"['As', '9s']","['8s', '2s']","['3s', '7h', '6s', '8h']","['9h', '2d', '9d']","['5h', '6d', '7d']",100,100
8,Turn,0,-3,3,CHECK,0,0,0,"['As', '9s']","['8s', '2s']","['3s', '7h', '6s', '8h']","['9h', '2d', '9d']","['5h', '6d', '7d']",100,100
8,River,1,-3,3,CHECK,0,0,0,"['As', '9s']","['8s', '2s']","['3s', '7h', '6s', '8h', 'Ad']","['9h', '2d', '9d']","['5h', '6d', '7d']",100,100
8,River,0,-3,3,CHECK,0,0,0,"['As', '9s']","['8s', '2s']","['3s', '7h', '6s', '8h', 'Ad']","['9h', '2d', '9d']","['5h', '6d', '7d']",100,100
9,Pre-Flop,1,97,-97,FOLD,0,0,0,"['4h', '4s', 'Ad', '9s', '5s']","['Ah', '5d', '3s', '3h', '2s']",[],[],[],1,1
10,Pre-Flop,0,98,-98,CALL,0,0,0,"['8s', '7d', '8h', '5h', '4d']","['2d', '6d', '9d', '4s', '8d']",[],[],[],1,1
10,Pre-Flop,1,98,-98,RAISE,8,0,0,"['8s', '7d', '8h', '5h', '4d']","['2d', '6d', '9d', '4s', '8d']",[],[],[],2,2
10,Pre-Flop,0,98,-98,CALL,0,0,0,"['8s', '7d', '8h', '5h', '4d']","['2d', '6d', '9d', '4s', '8d']",[],[],[],2,2
10,Flop,1,98,-98,DISCARD,0,1,3,"['8s', '7d', '8h', '5h', '4d']","['2d', '6d', '9d', '4s', '8d']","['5s', '2h', 'As']",[],[],10,10
10,Flop,0,98,-98,DISCARD,0,3,4,"['8s', '7d', '8h', '5h', '4d']","['6d', '4s']","['5s', '2h', 'As']",[],"['2d', '9d', '8d']",10,10
10,Flop,1,98,-98,RAISE,12,0,0,"['5h', '4d']","['6d', '4s']","['5s', '2h', 'As']","['8s', '7d', '8h']","['2d', '9d', '8d']",10,10
10,Flop,0,98,-98,CALL,0,0,0,"['5h', '4d']","['6d', '4s']","['5s', '2h', 'As']","['8s', '7d', '8h']","['2d', '9d', '8d']",10,10
10,Turn,1,98,-98,RAISE,27,0,0,"['5h', '4d']","['6d', '4s']","['5s', '2h', 'As', '6s']","['8s', '7d', '8h']","['2d', '9d', '8d']",22,22
10,Turn,0,98,-98,FOLD,0,0,0,"['5h', '4d']","['6d', '4s']","['5s', '2h', 'As', '6s']","['8s', '7d', '8h']","['2d', '9d', '8d']",22,22
11,Pre-Flop,1,76,-76,FOLD,0,0,0,"['8d', '2d', '6d', '9h', '5d']","['4d', '7h', '4h', '5h', '2h']",[],[],[],1,1
12,Pre-Flop,0,77,-77,RAISE,4,0,0,"['Ah', '2h', '5d', '9h', '9d']","['As', '7d', '6d', '3h', '8s']",[],[],[],1,1
12,Pre-Flop,1,77,-77,RAISE,8,0,0,"['Ah', '2h', '5d', '9h', '9d']","['As', '7d', '6d', '3h', '8s']",[],[],[],2,2
12,Pre-Flop,0,77,-77,CALL,0,0,0,"['Ah', '2h', '5d', '9h', '9d']","['As', '7d', '6d', '3h', '8s']",[],[],[],6,6
12,Flop,1,77,-77,DISCARD,0,2,3,"['Ah', '2h', '5d', '9h', '9d']","['As', '7d', '6d', '3h', '8s']","['4s', '5h', '2d']",[],[],14,14
12,Flop,0,77,-77,DISCARD,0,1,2,"['Ah', '2h', '5d', '9h', '9d']","['6d', '3h']","['4s', '5h', '2d']",[],"['As', '7d', '8s']",14,14
12,Flop,1,77,-77,RAISE,15,0,0,"['2h', '5d']","['6d', '3h']","['4s', '5h', '2d']","['Ah', '9h', '9d']","['As', '7d', '8s']",14,14
12,Flop,0,77,-77,CALL,0,0,0,"['2h', '5d']","['6d', '3h']","['4s', '5h', '2d']","['Ah', '9h', '9d']","['As', '7d', '8s']",14,14
12,Turn,1,77,-77,RAISE,26,0,0,"['2h', '5d']","['6d', '3h']","['4s', '5h', '2d', '3s']","['Ah', '9h', '9d']","['As', '7d', '8s']",29,29
12,Turn,0,77,-77,CALL,0,0,0,"['2h', '5d']","['6d', '3h']","['4s', '5h', '2d', '3s']","['Ah', '9h', '9d']","['As', '7d', '8s']",29,29
12,River,1,77,-77,CHECK,0,0,0,"['2h', '5d']","['6d', '3h']","['4s', '5h', '2d', '3s', '6s']","['Ah', '9h', '9d']","['As', '7d', '8s']",55,55
12,River,0,77,-77,CHECK,0,0,0,"['2h', '5d']","['6d', '3h']","['4s', '5h', '2d', '3s', '6s']","['Ah', '9h', '9d']","['As', '7d', '8s']",55,55
13,Pre-Flop,1,77,-77,CALL,0,0,0,"['4d', '7h', '9s', '6d', '6h']","['3s', '5d', '3h', '9d', '8h']",[],[],[],1,1
13,Pre-Flop,0,77,-77,CHECK,0,0,0,"['4d', '7h', '9s', '6d', '6h']","['3s', '5d', '3h', '9d', '8h']",[],[],[],2,2
13,Flop,0,77,-77,DISCARD,0,1,2,"['4d', '7h', '9s', '6d', '6h']","['3s', '5d', '3h', '9d', '8h']","['7s', 'As', '9h']",[],[],2,2
13,Flop,1,77,-77,DISCARD,0,3,4,"['7h', '9s']","['3s', '5d', '3h', '9d', '8h']","['7s', 'As', '9h']","['4d', '6d', '6h']",[],2,2
13,Flop,0,77,-77,CHECK,0,0,0,"['7h', '9s']","['9d', '8h']","['7s', 'As', '9h']","['4d', '6d', '6h']","['3s', '5d', '3h']",2,2
13,Flop,1,77,-77,CHECK,0,0,0,"['7h', '9s']","['9d', '8h']","['7s', 'As', '9h']","['4d', '6d', '6h']","['3s', '5d', '3h']",2,2
13,Turn,0,77,-77,RAISE,3,0,0,"['7h', '9s']","['9d', '8h']","['7s', 'As', '9h', '7d']","['4d', '6d', '6h']","['3s', '5d', '3h']",2,2
13,Turn,1,77,-77,FOLD,0,0,0,"['7h', '9s']","['9d', '8h']","['7s', 'As', '9h', '7d']","['4d', '6d', '6h']","['3s', '5d', '3h']",2,2
14,Pre-Flop,0,79,-79,RAISE,4,0,0,"['7s', '7d', '5s', '8d', '6s']","['As', '4s', '6h', '8h', '2s']",[],[],[],1,1
14,Pre-Flop,1,79,-79,RAISE,10,0,0,"['7s', '7d', '5s', '8d', '6s']","['As', '4s', '6h', '8h', '2s']",[],[],[],2,2
14,Pre-Flop,0,79,-79,FOLD,0,0,0,"['7s', '7d', '5s', '8d', '6s']","['As', '4s', '6h', '8h', '2s']",[],[],[],6,6
15,Pre-Flop,1,73,-73,RAISE,10,0,0,"['8s', '2d', '3d', '9s', '5h']","['8d', '5d', '3s', 'Ad', '7d']",[],[],[],1,1
15,Pre-Flop,0,73,-73,FOLD,0,0,0,"['8s', '2d', '3d', '9s', '5h']","['8d', '5d', '3s', 'Ad', '7d']",[],[],[],2,2
16,Pre-Flop,0,71,-71,RAISE,4,0,0,"['5h', '8h', '8s', '3d', '5s']","['3s', '3h', '7s', '9d', '5d']",[],[],[],1,1
16,Pre-Flop,1,71,-71,CALL,0,0,0,"['5h', '8h', '8s', '3d', '5s']","['3s', '3h', '7s', '9d', '5d']",[],[],[],2,2
16,Flop,1,71,-71,DISCARD,0,3,4,"['5h', '8h', '8s', '3d', '5s']","['3s', '3h', '7s', '9d', '5d']","['7d', 'Ad', '8d']",[],[],6,6
16,Flop,0,71,-71,DISCARD,0,1,2,"['5h', '8h', '8s', '3d', '5s']","['9d', '5d']","['7d', 'Ad', '8d']",[],"['3s', '3h', '7s']",6,6
16,Flop,1,71,-71,RAISE,8,0,0,"['8h', '8s']","['9d', '5d']","['7d', 'Ad', '8d']","['5h', '3d', '5s']","['3s', '3h', '7s']",6,6
16,Flop,0,71,-71,CALL,0,0,0,"['8h', '8s']","['9d', '5d']","['7d', 'Ad', '8d']","['5h', '3d', '5s']","['3s', '3h', '7s']",6,6
16,Turn,1,71,-71,RAISE,16,0,0,"['8h', '8s']","['9d', '5d']","['7d', 'Ad', '8d', '4s']","['5h', '3d', '5s']","['3s', '3h', '7s']",14,14
16,Turn,0,71,-71,CALL,0,0,0,"['8h', '8s']","['9d', '5d']","['7d', 'Ad', '8d', '4s']","['5h', '3d', '5s']","['3s', '3h', '7s']",14,14
16,River,1,71,-71,RAISE,70,0,0,"['8h', '8s']","['9d', '5d']","['7d', 'Ad', '8d', '4s', '9s']","['5h', '3d', '5s']","['3s', '3h', '7s']",30,30
16,River,0,71,-71,FOLD,0,0,0,"['8h', '8s']","['9d', '5d']","['7d', 'Ad', '8d', '4s', '9s']","['5h', '3d', '5s']","['3s', '3h', '7s']",30,30
