# Team 0: Pulp Ficshun, Team 1: Me & Claude <3
hand_number,street,active_team,team_0_bankroll,team_1_bankroll,action_type,action_amount,action_keep_1,action_keep_2,team_0_cards,team_1_cards,board_cards,team_0_discarded,team_1_discarded,team_0_bet,team_1_bet
0,Pre-Flop,0,0,0,RAISE,12,0,0,"['3s', '3d', '7h', '8h', '6h']","['7s', 'As', '2h', '8d', '8s']",[],[],[],1,1
0,Pre-Flop,1,0,0,RAISE,28,0,0,"['3s', '3d', '7h', '8h', '6h']","['7s', 'As', '2h', '8d', '8s']",[],[],[],2,2
0,Pre-Flop,0,0,0,RAISE,58,0,0,"['3s', '3d', '7h', '8h', '6h']","['7s', 'As', '2h', '8d', '8s']",[],[],[],14,14
0,Pre-Flop,1,0,0,CALL,0,0,0,"['3s', '3d', '7h', '8h', '6h']","['7s', 'As', '2h', '8d', '8s']",[],[],[],42,42
0,Flop,1,0,0,DISCARD,0,0,4,"['3s', '3d', '7h', '8h', '6h']","['7s', 'As', '2h', '8d', '8s']","['4h', '9d', '6s']",[],[],100,100
0,Flop,0,0,0,DISCARD,0,2,3,"['3s', '3d', '7h', '8h', '6h']","['7s', '8s']","['4h', '9d', '6s']",[],"['As', '2h', '8d']",100,100
0,Flop,1,0,0,CHECK,0,0,0,"['7h', '8h']","['7s', '8s']","['4h', '9d', '6s']","['3s', '3d', '6h']","['As', '2h', '8d']",100,100
0,Flop,0,0,0,CHECK,0,0,0,"['7h', '8h']","['7s', '8s']","['4h', '9d', '6s']","['3s', '3d', '6h']","['As', '2h', '8d']",100,100
0,Turn,1,0,0,CHECK,0,0,0,"['7h', '8h']","['7s', '8s']","['4h', '9d', '6s', '7d']","['3s', '3d', '6h']","['As', '2h', '8d']",100,100
0,Turn,0,0,0,CHECK,0,0,0,"['7h', '8h']","['7s', '8s']","['4h', '9d', '6s', '7d']","['3s', '3d', '6h']","['As', '2h', '8d']",100,100
0,River,1,0,0,CHECK,0,0,0,"['7h', '8h']","['7s', '8s']","['4h', '9d', '6s', '7d', '5s']","['3s', '3d', '6h']","['As', '2h', '8d']",100,100
0,River,0,0,0,CHECK,0,0,0,"['7h', '8h']","['7s', '8s']","['4h', '9d', '6s', '7d', '5s']","['3s', '3d', '6h']","['As', '2h', '8d']",100,100
1,Pre-Flop,1,0,0,FOLD,0,0,0,"['2d', '6s', '6d', '6h', '8h']","['3s', '8s', '4s', '7d', '5h']",[],[],[],1,1
2,Pre-Flop,0,1,-1,RAISE,12,0,0,"['Ad', '6h', '3h', '5h', '9d']","['2d', '8d', '2s', '3s', 'Ah']",[],[],[],1,1
2,Pre-Flop,1,1,-1,CALL,0,0,0,"['Ad', '6h', '3h', '5h', '9d']","['2d', '8d', '2s', '3s', 'Ah']",[],[],[],2,2
2,Flop,1,1,-1,DISCARD,0,1,4,"['Ad', '6h', '3h', '5h', '9d']","['2d', '8d', '2s', '3s', 'Ah']","['5d', '5s', '8s']",[],[],14,14
2,Flop,0,1,-1,DISCARD,0,1,3,"['Ad', '6h', '3h', '5h', '9d']","['8d', 'Ah']","['5d', '5s', '8s']",[],"['2d', '2s', '3s']",14,14
2,Flop,1,1,-1,RAISE,4,0,0,"['6h', '5h']","['8d', 'Ah']","['5d', '5s', '8s']","['Ad', '3h', '9d']","['2d', '2s', '3s']",14,14
2,Flop,0,1,-1,RAISE,17,0,0,"['6h', '5h']","['8d', 'Ah']","['5d', '5s', '8s']","['Ad', '3h', '9d']","['2d', '2s', '3s']",14,14
2,Flop,1,1,-1,CALL,0,0,0,"['6h', '5h']","['8d', 'Ah']","['5d', '5s', '8s']","['Ad', '3h', '9d']","['2d', '2s', '3s']",18,18
2,Turn,1,1,-1,RAISE,11,0,0,"['6h', '5h']","['8d', 'Ah']","['5d', '5s', '8s', '4h']","['Ad', '3h', '9d']","['2d', '2s', '3s']",35,35
2,Turn,0,1,-1,RAISE,53,0,0,"['6h', '5h']","['8d', 'Ah']","['5d', '5s', '8s', '4h']","['Ad', '3h', '9d']","['2d', '2s', '3s']",35,35
2,Turn,1,1,-1,CALL,0,0,0,"['6h', '5h']","['8d', 'Ah']","['5d', '5s', '8s', '4h']","['Ad', '3h', '9d']","['2d', '2s', '3s']",46,46
2,River,1,1,-1,RAISE,1,0,0,"['6h', '5h']","['8d', 'Ah']","['5d', '5s', '8s', '4h', '2h']","['Ad', '3h', '9d']","['2d', '2s', '3s']",99,99
2,River,0,1,-1,CALL,0,0,0,"['6h', '5h']","['8d', 'Ah']","['5d', '5s', '8s', '4h', '2h']","['Ad', '3h', '9d']","['2d', '2s', '3s']",99,99
3,Pre-Flop,1,101,-101,CALL,0,0,0,"['9h', '7d', '8d', '4h', '7h']","['5h', '5d', 'As', '2s', '2h']",[],[],[],1,1
3,Pre-Flop,0,101,-101,RAISE,12,0,0,"['9h', '7d', '8d', '4h', '7h']","['5h', '5d', 'As', '2s', '2h']",[],[],[],2,2
3,Pre-Flop,1,101,-101,CALL,0,0,0,"['9h', '7d', '8d', '4h', '7h']","['5h', '5d', 'As', '2s', '2h']",[],[],[],2,2
3,Flop,0,101,-101,DISCARD,0,0,4,"['9h', '7d', '8d', '4h', '7h']","['5h', '5d', 'As', '2s', '2h']","['9d', '6s', '6h']",[],[],14,14
3,Flop,1,101,-101,DISCARD,0,2,3,"['9h', '7h']","['5h', '5d', 'As', '2s', '2h']","['9d', '6s', '6h']","['7d', '8d', '4h']",[],14,14
3,Flop,0,101,-101,RAISE,9,0,0,"['9h', '7h']","['As', '2s']","['9d', '6s', '6h']","['7d', '8d', '4h']","['5h', '5d', '2h']",14,14
3,Flop,1,101,-101,CALL,0,0,0,"['9h', '7h']","['As', '2s']","['9d', '6s', '6h']","['7d', '8d', '4h']","['5h', '5d', '2h']",14,14
3,Turn,0,101,-101,RAISE,31,0,0,"['9h', '7h']","['As', '2s']","['9d', '6s', '6h', '4s']","['7d', '8d', '4h']","['5h', '5d', '2h']",23,23
3,Turn,1,101,-101,FOLD,0,0,0,"['9h', '7h']","['As', '2s']","['9d', '6s', '6h', '4s']","['7d', '8d', '4h']","['5h', '5d', '2h']",23,23
4,Pre-Flop,0,124,-124,FOLD,0,0,0,"['Ah', '2s', '3h', '6h', '2d']","['5h', '6s', '5d', '8d', 'As']",[],[],[],1,1
5,Pre-Flop,1,123,-123,CALL,0,0,0,"['5d', '2d', '8s', '6h', '7h']","['9h', '3d', '6s', '8h', '2h']",[],[],[],1,1
5,Pre-Flop,0,123,-123,RAISE,10,0,0,"['5d', '2d', '8s', '6h', '7h']","['9h', '3d', '6s', '8h', '2h']",[],[],[],2,2
5,Pre-Flop,1,123,-123,CALL,0,0,0,"['5d', '2d', '8s', '6h', '7h']","['9h', '3d', '6s', '8h', '2h']",[],[],[],2,2
5,Flop,0,123,-123,DISCARD,0,3,4,"['5d', '2d', '8s', '6h', '7h']","['9h', '3d', '6s', '8h', '2h']","['4h', 'Ah', '7s']",[],[],12,12
5,Flop,1,123,-123,DISCARD,0,0,3,"['6h', '7h']","['9h', '3d', '6s', '8h', '2h']","['4h', 'Ah', '7s']","['5d', '2d', '8s']",[],12,12
5,Flop,0,123,-123,RAISE,16,0,0,"['6h', '7h']","['9h', '8h']","['4h', 'Ah', '7s']","['5d', '2d', '8s']","['3d', '6s', '2h']",12,12
5,Flop,1,123,-123,CALL,0,0,0,"['6h', '7h']","['9h', '8h']","['4h', 'Ah', '7s']","['5d', '2d', '8s']","['3d', '6s', '2h']",12,12
5,Turn,0,123,-123,RAISE,33,0,0,"['6h', '7h']","['9h', '8h']","['4h', 'Ah', '7s', '6d']","['5d', '2d', '8s']","['3d', '6s', '2h']",28,28
5,Turn,1,123,-123,RAISE,39,0,0,"['6h', '7h']","['9h', '8h']","['4h', 'Ah', '7s', '6d']","['5d', '2d', '8s']","['3d', '6s', '2h']",28,28
5,Turn,0,123,-123,CALL,0,0,0,"['6h', '7h']","['9h', '8h']","['4h', 'Ah', '7s', '6d']","['5d', '2d', '8s']","['3d', '6s', '2h']",61,61
5,River,0,123,-123,CHECK,0,0,0,"['6h', '7h']","['9h', '8h']","['4h', 'Ah', '7s', '6d', 'As']","['5d', '2d', '8s']","['3d', '6s', '2h']",100,100
5,River,1,123,-123,CHECK,0,0,0,"['6h', '7h']","['9h', '8h']","['4h', 'Ah', '7s', '6d', 'As']","['5d', '2d', '8s']","['3d', '6s', '2h']",100,100
6,Pre-Flop,0,23,-23,RAISE,13,0,0,"['2d', '9h', 'As', '6s', '7s']","['7h', '6h', '2s', 'Ah', '7d']",[],[],[],1,1
6,Pre-Flop,1,23,-23,RAISE,30,0,0,"['2d', '9h', 'As', '6s', '7s']","['7h', '6h', '2s', 'Ah', '7d']",[],[],[],2,2
6,Pre-Flop,0,23,-23,RAISE,55,0,0,"['2d', '9h', 'As', '6s', '7s']","['7h', '6h', '2s', 'Ah', '7d']",[],[],[],15,15
